episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
32,0.6045030054384181,73.2,809.7577187273126,0.48408896492728826,288,1.0,0.6178039787366352,0.2979045295435687,0.02,0.3,74.4,73.2,2,1,2,"[11, 23]",3,22,16,1
33,0.6326575900513356,62.8,692.4078207755542,0.4211210926385106,336,0.6093418259023354,0.8268739958750503,0.5044821087952995,0.02,0.3,63.8,62.8,2,1,2,"[11, 23]",2,22,2,0
34,0.5099037106587097,68.6,857.9602307552337,0.503539175006102,304,0.8556263269639064,0.531926613764959,0.2340945711001252,0.02,0.3,69.4,68.6,2,1,1,[17],3,21,11,0
35,0.6893035698292433,68.0,722.795342255947,0.4160570388800178,304,0.8301486199575372,0.7727357328889896,0.5210956599382133,0.02,0.3,68.4,68.0,2,3,3,"[8, 17, 26]",3,23,18,1
36,0.7291158508775903,70.0,766.6131812202179,0.3872869026746745,320,0.9150743099787686,0.6946700804842943,0.6154813343466786,0.02,0.3,71.2,70.0,2,3,3,"[8, 17, 26]",2,23,13,1
37,0.47164054771258096,66.4,871.8929306842274,0.5056659855099387,272,0.7622080679405523,0.507104182184008,0.2271171816880323,0.02,0.3,66.8,66.4,2,5,1,[17],5,21,13,0
38,0.5374816134730087,73.2,936.6741252780035,0.4834696524524207,320,1.0,0.3916903156160496,0.2999362969704847,0.02,0.3,73.6,73.2,2,5,1,[17],2,23,21,1
39,0.747386326811072,69.6,721.5775024284478,0.387823824283473,320,0.8980891719745221,0.7749054305031432,0.6137198651694312,0.02,0.3,70.6,69.6,2,1,4,"[7, 14, 21, 28]",4,23,11,0
40,0.614874521107186,74.0,776.3017557935079,0.4898118442729559,240,1.0,0.6774089623458086,0.2791295810086085,0.02,0.3,75.2,74.0,3,1,2,"[11, 23]",2,23,20,1
41,0.8316926572647252,71.6,752.9928738500718,0.3301990217574633,272,0.9830148619957535,0.7189359549759583,0.8027685304330291,0.02,0.3,72.6,71.6,2,1,4,"[7, 14, 21, 28]",5,23,15,1
