tick,agent_1,agent_2,agent_3,agent_4
171,0.6784,0.6534,0.3807,0.0759
172,0.6805,0.4701,0.4731,0.0561
173,0.6378,0.4473,0.3545,0.0175
174,0.6548,0.3472,0.558,0.0199
175,0.6431,0.4054,0.61,0.0206
176,0.6415,0.3632,0.5807,0.0745
177,0.6702,0.2892,0.5526,0.2522
178,0.0659,0.3313,0.4875,0.2396
179,0.0822,0.2873,0.509,0.0694
180,0.1121,0.2333,0.7065,0.0344
181,0.0147,0.2548,0.7065,0.102
182,0.3644,0.3007,0.5815,0.0425
183,0.3458,0.266,0.3892,0.0651
184,0.6803,0.2638,0.384,0.026
185,0.6868,0.2775,0.398,0.1537
186,0.529,0.2967,0.4032,0.1518
187,0.5988,0.2552,0.0914,0.0058
188,0.4067,0.2633,0.0205,0.0355
189,0.8199,0.063,0.0415,0.0636
190,0.8227,0.0913,0.4293,0.1392
191,0.9636,0.1293,0.3858,0.1355
192,0.8504,0.0657,0.3927,0.0216
193,0.6327,0.0741,0.4077,0.1328
194,0.8977,0.0899,0.3947,0.1368
195,0.9048,0.0621,0.4366,0.0219
196,0.864,0.0554,0.3986,0.0517
197,0.9125,0.1042,0.2621,0.1523
198,0.9059,0.0781,0.6821,0.0216
199,0.9054,0.0568,0.6942,0.1224
200,0.7725,0.2919,0.6903,0.0316
201,0.7971,0.292,0.6871,0.0039
202,0.7772,0.2749,0.6857,0.1501
203,0.68,0.2852,0.6883,0.1611
204,0.2427,0.2843,0.6939,0.0522
205,0.8584,0.2734,0.7016,0.0035
206,0.6965,0.2923,0.6958,0.0113
207,0.5215,0.2856,0.6543,0.0058
208,0.482,0.2553,0.5838,0.139
209,0.4662,0.4272,0.5947,0.1394
210,0.2793,0.4153,0.3095,0.0053
211,0.7678,0.4242,0.3202,0.0088
212,0.8154,0.4315,0.0938,0.152
213,0.8003,0.477,0.3657,0.246
214,0.7895,0.427,0.4665,0.0052
215,0.6479,0.4501,0.4737,0.0261
216,0.7787,0.2551,0.6785,0.0545
217,0.6185,0.2732,0.7022,0.4654
218,0.6414,0.2861,0.67,0.4682
219,0.6496,0.0869,0.6777,0.7814
220,0.4758,0.0744,0.4753,0.698
221,0.4859,0.0801,0.8304,0.7605
222,0.3616,0.1049,0.6224,0.8003
223,0.6381,0.0806,0.9128,0.7934
224,0.6518,0.0261,0.9057,0.8023
225,0.6333,0.0731,0.921,0.7933
226,0.4428,0.0361,0.8946,0.795
227,0.8576,0.0421,0.8479,0.8434
228,0.8667,0.1476,0.9096,0.8443
229,0.8699,0.0746,0.9382,0.794
230,0.6606,0.3002,0.914,0.6349
231,0.6692,0.5568,0.9049,1.1182
232,0.6691,0.5763,0.73,1.1182
