tick,arrivals,completions
0,0.0,0.0
1,0.1,0.0
2,0.1,0.0
3,0.1,0.0
4,0.2,0.0
5,0.1,0.0
6,0.3,0.0
7,0.0,0.0
8,0.0,0.0
9,0.2,0.0
10,0.2,0.0
11,0.1,0.0
12,0.1,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.1,0.0
17,0.1,0.0
18,0.4,0.0
19,0.1,0.1
20,0.2,0.0
21,0.0,0.1
22,0.3,0.0
23,0.0,0.0
24,0.2,0.0
25,0.4,0.0
26,0.4,0.1
27,0.1,0.1
28,0.0,0.0
29,0.1,0.0
30,0.0,0.0
31,0.1,0.0
32,0.1,0.0
33,0.3,0.2
34,0.3,0.0
35,0.0,0.0
36,0.2,0.1
37,0.1,0.2
38,0.4,0.2
39,0.0,0.1
40,0.0,0.1
41,0.0,0.0
42,0.2,0.3
43,0.0,0.1
44,0.0,0.1
45,0.1,0.0
46,0.3,0.0
47,0.1,0.1
48,0.0,0.1
49,0.2,0.1
50,0.1,0.2
51,0.2,0.1
52,0.1,0.2
53,0.0,0.0
54,0.2,0.4
55,0.1,0.2
56,0.3,0.1
57,0.2,0.2
58,0.0,0.1
59,0.0,0.2
60,0.0,0.0
61,0.3,0.1
62,0.0,0.0
63,0.0,0.0
64,0.3,0.0
65,0.1,0.0
66,0.0,0.0
67,0.2,0.2
68,0.1,0.0
69,0.3,0.2
70,0.2,0.1
71,0.0,0.0
72,0.1,0.0
73,0.2,0.1
74,0.0,0.2
75,0.1,0.0
76,0.0,0.0
77,0.0,0.0
78,0.1,0.0
79,0.5,0.2
80,0.1,0.0
81,0.0,0.1
82,0.3,0.1
83,0.0,0.1
84,0.0,0.0
85,0.0,0.0
86,0.2,0.0
87,0.2,0.1
88,0.0,0.0
89,0.1,0.0
90,0.1,0.0
91,0.1,0.1
92,0.0,0.0
93,0.3,0.1
94,0.0,0.0
95,0.1,0.0
96,0.4,0.1
97,0.0,0.1
98,0.1,0.0
99,0.1,0.1
100,0.2,0.2
101,0.2,0.0
102,0.0,0.3
103,0.2,0.2
104,0.0,0.0
105,0.0,0.0
106,0.1,0.1
107,0.1,0.1
108,0.0,0.1
109,0.1,0.3
110,0.0,0.0
