episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
1,0.5756677340280456,232.0,2348.229671597033,0.1368646556787948,320,0.7031159280046448,0.1473794640414587,0.8012977910355362,0.1,0.3,352.0,232.0,2,5,1,[17],2,21,10,0
2,0.5855876693775248,243.66666666666666,2089.668997615747,0.1971681790897214,256,0.7482743048835558,0.27622826631235015,0.6955922450468824,0.1,0.3,355.3333333333333,243.66666666666666,2,5,2,"[11, 23]",3,20,8,1
3,0.5936247254901372,229.66666666666666,2255.5525670442807,0.12715023426011424,336,0.6940842526288625,0.19356333932181385,0.8183261197623356,0.1,0.3,378.3333333333333,229.66666666666666,2,3,1,[17],2,22,18,0
4,0.6838572179879626,277.3333333333333,2464.5019938620917,0.03285031484712844,320,0.878588478162699,0.08943736004542621,0.9836236663138125,0.1,0.3,357.6666666666667,277.3333333333333,2,5,3,"[8, 17, 26]",2,23,6,1
5,0.6812177808593463,282.0,2346.842085054474,0.06943060770940301,252,0.8966518289142635,0.14807094144714053,0.9195023743773124,0.1,0.3,367.6666666666667,282.0,3,3,3,"[8, 17, 26]",2,22,12,0
6,0.6121248123014156,248.0,2418.462540995677,0.09639239381553226,320,0.7650474162957228,0.11238024717401575,0.8722412831512351,0.1,0.3,379.0,248.0,2,3,1,[17],4,23,20,0
7,0.4884769285352359,206.33333333333334,1895.2964112576592,0.3152833842013718,272,0.6037674988710405,0.37309015393392886,0.4885490817343627,0.1,0.3,366.3333333333333,206.33333333333334,2,5,4,"[7, 14, 21, 28]",3,21,3,1
8,0.607141565621654,245.33333333333334,2079.8416932087075,0.17128329125626712,256,0.7547255015805432,0.28112551686055265,0.7409656502233131,0.1,0.3,356.3333333333333,245.33333333333334,2,1,2,"[11, 23]",3,20,3,1
9,0.5970271588336795,242.0,2030.6809963633148,0.19067008319000317,240,0.7418231081865686,0.30562381665918986,0.70698270344988,0.1,0.3,362.3333333333333,242.0,3,3,4,"[7, 14, 21, 28]",2,21,9,0
10,0.5709800813710652,231.66666666666666,2034.8424883208038,0.20981803085864525,320,0.7018256886652473,0.3035500161615116,0.6734184248075936,0.1,0.3,373.3333333333333,231.66666666666666,2,1,3,"[8, 17, 26]",2,21,8,0
11,0.6796632394706184,265.6666666666667,2404.3505151461018,0.03233555062823355,256,0.8334301012837881,0.11941270729386073,0.9845259922433094,0.1,0.3,356.0,265.6666666666667,2,3,3,"[8, 17, 26]",7,22,18,0
12,0.671892095345181,269.6666666666667,2411.1094638506893,0.04860231084606784,336,0.8489129733565577,0.11604451354735337,0.9560121231850195,0.1,0.3,380.3333333333333,269.6666666666667,2,3,4,"[7, 14, 21, 28]",3,23,21,0
13,0.621664171960306,243.33333333333334,2322.937451364103,0.09542623242569852,272,0.7469840655441584,0.15998336174022673,0.8739348594374763,0.1,0.3,369.6666666666667,243.33333333333334,2,5,2,"[11, 23]",7,23,16,0
14,0.4204371991840876,166.33333333333334,1496.0552103767059,0.4312024029855275,256,0.4489387781433456,0.5720444255120823,0.2853555952186481,0.1,0.3,367.3333333333333,166.33333333333334,2,1,1,[17],3,20,18,1
15,0.5836610800488822,244.33333333333334,2155.571321056148,0.18696843528700047,256,0.7508547835623508,0.2433870947938261,0.7134712913550729,0.1,0.3,344.6666666666667,244.33333333333334,2,5,2,"[11, 23]",5,20,14,0
16,0.576044881239349,228.33333333333334,2330.448438638881,0.13404552104242506,272,0.6889232952712728,0.15624040385214086,0.8062394287558123,0.1,0.3,372.3333333333333,228.33333333333334,2,5,1,[17],6,22,18,0
17,0.6244464684227253,250.33333333333334,2162.443877468732,0.13727121464226288,304,0.774079091671505,0.23996228680324722,0.8005851372007491,0.1,0.3,375.0,250.33333333333334,2,5,3,"[8, 17, 26]",2,22,7,1
18,0.6215996269301924,254.33333333333334,2138.163900890182,0.1531329228540384,288,0.7895619637442746,0.2520617520975629,0.7727812804441032,0.1,0.3,372.3333333333333,254.33333333333334,2,5,3,"[8, 17, 26]",2,19,8,0
19,0.6335703758721372,249.0,2273.3058907789764,0.09841258414023973,240,0.7689181343139152,0.18471630754269464,0.8687001082878854,0.1,0.3,353.6666666666667,249.0,2,3,1,[17],4,20,5,1
20,0.6838943014334671,276.6666666666667,2306.0824001537426,0.06547125743991562,272,0.8760079994839043,0.16838275646344222,0.926442686623158,0.1,0.3,373.3333333333333,276.6666666666667,2,3,2,"[11, 23]",4,20,13,0
21,0.5225925093990401,207.66666666666666,2157.8136936009046,0.21286199057753763,320,0.6089284562286303,0.24226965101481612,0.6680826930650154,0.1,0.3,365.3333333333333,207.66666666666666,2,5,1,[17],2,21,4,0
22,0.6677938792290107,269.0,2232.624169525039,0.09139944944572577,240,0.8463324946777627,0.20498927085600757,0.880993373922199,0.1,0.3,361.0,269.0,3,5,2,"[11, 23]",2,21,7,0
23,0.6661327175920466,269.6666666666667,2216.5037144257285,0.09830989068387867,272,0.8489129733565577,0.21302259355595612,0.8688801187957313,0.1,0.3,364.6666666666667,269.6666666666667,2,5,4,"[7, 14, 21, 28]",3,21,15,1
