tick,agent_1,agent_2,agent_3,agent_4
153,1.2866,0.8805,1.019,1.2206
154,1.0019,1.0486,1.1439,0.9765
155,1.0756,1.0488,1.1034,0.9777
156,1.277,1.0488,1.11,1.0162
157,1.0642,0.7869,1.0598,1.1704
158,1.2445,1.0736,1.1559,1.1363
159,1.1966,1.0084,0.939,1.0836
160,0.8759,0.8728,1.1286,0.9562
161,0.9584,0.9844,0.8862,1.0033
162,0.9842,0.8794,1.1263,0.9888
163,1.0647,0.7963,0.8751,1.063
164,0.9236,1.152,0.9797,0.9979
165,1.1237,1.1125,1.1094,1.0651
166,1.0615,1.1093,1.1511,1.0485
167,1.0761,0.9805,1.0538,0.9968
168,1.0994,1.1117,1.1201,0.8768
169,0.8452,1.079,0.8631,1.0365
170,1.226,1.1442,0.924,1.1612
171,1.1706,0.9658,1.1341,1.1502
172,0.8777,1.2086,1.027,1.1978
173,1.0662,0.8633,0.9557,1.0777
174,0.9788,1.1028,1.158,1.0331
175,1.2949,1.0954,1.1689,0.9892
176,1.292,0.912,1.1351,1.029
177,1.2979,0.9856,1.1351,0.8974
178,1.0574,1.0442,0.7905,0.9788
179,1.0959,0.9212,0.8791,0.962
180,0.7969,0.9314,0.8178,0.6926
181,1.187,1.0093,1.0903,0.9814
182,1.0164,0.9591,1.1235,0.683
183,1.1474,1.0844,1.1553,1.1602
184,0.9564,0.9591,1.1727,0.8936
185,1.157,0.8738,0.8857,1.2315
186,0.9128,1.0526,0.8315,1.2316
187,0.967,1.0393,0.9471,1.1915
188,1.0666,0.9916,1.0069,0.8948
189,1.1515,1.0032,1.0727,1.2373
190,1.1649,1.0003,0.8853,0.9907
191,1.2068,0.8802,0.9392,0.8928
192,1.0743,0.8321,0.9667,1.0965
193,0.8166,0.8393,0.8475,0.8776
194,0.9496,0.5666,0.9577,0.9259
195,1.0501,0.5726,1.021,1.078
196,1.0296,0.7487,1.0162,1.0515
197,0.9292,0.7369,0.9082,0.8118
198,1.0564,0.7715,0.914,0.7854
199,0.9097,0.5879,1.0657,0.7212
200,1.13,0.8022,0.9851,1.0261
201,1.13,1.1487,0.8651,1.0031
202,1.1657,0.8615,0.5695,0.9989
203,1.1304,1.1655,0.9907,1.0276
204,1.1248,0.704,0.953,0.9847
205,0.5674,1.0212,1.1744,0.9385
206,0.9216,1.0795,0.8851,0.9635
207,1.0617,1.1618,0.8025,0.9351
208,1.0507,0.9655,0.8831,0.961
209,0.873,1.0044,0.5043,1.0657
210,1.1062,0.961,0.7848,0.9156
211,0.9803,1.0604,0.9794,1.025
212,0.6973,1.1305,0.9437,1.0232
213,0.9199,1.1305,0.9675,1.0105
214,0.9456,1.1179,0.95,0.6501
215,1.0813,1.1179,0.6308,0.9741
216,1.0015,1.1043,0.8323,0.8402
217,1.0355,1.0391,0.8256,1.0471
218,1.0505,0.9613,1.0056,1.0431
219,0.9701,0.9581,1.0299,1.251
220,0.9651,0.8354,1.024,1.0723
221,0.8248,0.9927,1.0128,1.0303
222,0.9868,0.9841,0.8007,1.1699
223,0.9483,0.9648,0.9945,1.1705
224,0.9506,0.6518,0.9456,1.0004
225,0.9318,0.9593,1.0296,1.1791
226,0.6501,0.9807,0.9587,1.1836
227,0.739,0.9709,0.9633,1.1836
228,0.6225,0.8083,0.6248,0.9263
229,0.7731,1.1734,0.8094,1.1587
230,0.9285,1.178,0.9305,1.0763
231,0.9726,1.0679,0.6155,0.7741
232,0.863,0.8274,0.7074,1.2083
233,0.9028,0.9364,0.889,1.2388
234,0.973,0.6825,0.8815,0.8073
235,0.9765,0.6502,0.8862,1.0111
236,0.5998,0.8484,0.6274,1.21
237,0.8652,0.7348,0.9688,1.1495
238,1.0693,0.7137,0.7759,1.179
239,0.8345,0.8518,0.7986,0.9926
240,1.0153,0.7738,0.8754,1.181
241,1.1833,0.5672,0.7276,1.1521
242,1.1152,0.776,1.0486,1.1416
243,1.1657,1.1346,1.0191,1.0632
244,1.1555,0.9078,1.0484,0.9933
245,1.1319,0.9525,1.0973,1.1398
246,1.0649,1.0384,1.0764,1.1782
247,1.029,0.9031,1.0381,0.8259
248,1.1978,1.1172,1.0144,1.2151
249,1.1873,0.9023,0.8466,1.1442
250,1.0589,0.9443,0.8297,0.8539
251,1.174,1.0832,0.8495,0.8838
252,1.1381,1.0227,0.8174,0.8055
253,1.0352,0.9999,0.8702,1.1607
254,0.9688,1.0342,1.001,1.2072
255,0.7924,1.134,1.2171,0.8899
256,1.0701,1.079,1.2171,1.2116
257,0.9697,1.0911,1.2023,0.9996
258,0.9111,1.1024,0.4009,1.1917
259,1.2218,1.1155,0.9048,1.195
260,1.0474,1.1249,0.9561,1.064
261,1.1508,0.8195,0.8255,1.1777
262,0.9468,0.8956,0.8826,1.1548
263,1.1577,0.4329,1.0161,1.1012
264,1.057,0.7809,0.998,1.1122
265,1.2291,0.9485,0.7519,1.1071
266,1.2255,0.9037,0.9563,0.8857
267,1.1699,0.9496,0.838,1.1606
268,0.8039,0.8927,0.9526,1.136
269,1.1357,0.9296,0.9374,1.1664
270,0.9898,0.8232,0.9995,1.0239
271,0.7126,0.9134,1.0956,0.7471
272,1.1731,1.1166,1.1085,0.9964
273,1.1804,0.8235,0.971,0.6419
274,1.1264,1.1289,0.8563,0.7294
275,1.1215,1.1142,0.8468,0.9133
276,0.9601,1.0865,1.1022,1.1643
277,1.087,0.9852,0.9281,1.1318
278,0.9255,1.0362,0.984,0.9836
