tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6
0,,,,,,
1,0.1497,,,,,
2,0.6933,,,,,
3,0.7065,,,,,
4,0.3656,,,,,
5,0.4441,,,,,
6,0.9673,,,,,
7,1.1618,0.0671,,,,
8,1.1698,1.0394,,,,
9,1.1675,1.0396,,,,
10,1.1668,0.5275,,,,
11,1.1674,0.7475,,,,
12,1.1368,1.0547,,,,
13,1.1291,1.0611,,,,
14,1.169,0.9529,,,,
15,1.1048,0.9397,,,,
16,1.0965,1.071,0.0,,,
17,0.7905,1.0392,1.2316,,,
18,1.0564,0.8052,1.2319,,,
19,1.0211,0.8693,1.2319,,,
20,1.0598,1.0705,1.2319,0.0004,,
21,1.0886,1.0966,0.5851,1.3739,,
22,1.0713,1.0971,1.1052,0.8443,,
23,1.1556,1.0525,1.1575,,,
24,1.1344,1.0968,0.5657,,,
25,0.8378,0.9981,0.7296,,,
26,1.0105,0.7306,1.0007,,,
27,1.0055,0.9222,1.2097,,,
28,0.9886,1.0977,0.9238,,,
29,1.1676,0.9192,1.1999,,,
30,0.8675,1.1717,0.9232,,,
31,1.197,1.1914,0.9083,,0.0,
32,1.1972,1.0773,1.1077,,1.1357,
33,1.0218,1.1281,1.2029,0.0,1.1357,
34,1.2035,1.2006,1.2029,0.81,1.1357,
35,1.0742,1.2046,1.1745,0.936,1.1357,
36,1.2022,0.7018,1.136,0.7159,1.0952,
37,1.1694,1.1837,1.0636,1.2431,0.5538,
38,0.7879,1.1667,1.1882,1.0837,1.0016,
39,1.0266,0.7899,1.116,1.0538,1.1339,
40,1.0351,1.1381,0.8634,0.7585,1.1357,
41,0.9538,1.1869,1.0524,1.2997,1.1357,
42,0.8714,0.9496,1.056,1.2997,1.1305,
43,0.4651,1.1753,1.1477,1.2997,1.1347,
44,0.7956,1.1505,1.159,1.2997,1.1345,
45,0.7586,1.0865,1.1582,1.2997,0.568,
46,0.9747,0.5705,0.7731,1.2997,1.1215,
47,0.7952,0.8177,1.1388,1.2997,0.7567,
48,0.8251,0.8627,1.1739,0.8675,0.8619,
49,0.9857,1.0501,0.7551,1.2262,0.9727,
50,0.8612,0.8548,1.2198,1.2231,0.9794,
51,0.8472,1.0581,1.2199,0.941,1.029,
52,0.7779,1.0575,1.2199,0.6575,0.9148,
53,0.6515,0.8865,1.2543,0.9627,0.7009,0.04
54,0.6868,1.0822,0.8768,1.2733,0.7984,0.2335
55,0.7799,1.0853,0.783,0.8849,0.8548,0.275
56,0.9593,0.881,1.1551,0.8321,1.0851,1.0856
57,0.8491,0.842,1.2498,1.1032,1.1222,0.5595
58,0.8857,1.0577,1.2137,0.9792,1.1222,1.193
59,0.7703,0.8915,0.8066,1.0642,1.1222,0.5925
60,0.6113,1.1476,0.8564,1.0836,1.1222,1.0595
61,0.4741,1.1098,0.9691,0.7528,0.7481,1.1701
62,0.3257,0.9855,0.9693,1.2113,0.8446,1.1701
63,0.1306,1.0421,0.8214,1.2126,1.071,1.1701
64,0.3377,1.0177,0.9727,1.2126,1.0501,1.1701
65,0.3365,0.8508,0.803,1.2126,1.0501,1.1661
66,0.3421,0.9532,0.5581,1.2126,0.7878,1.1645
67,0.3295,0.872,0.659,1.2126,0.8997,1.1698
68,0.0787,0.7673,0.756,1.2126,1.004,1.1701
69,0.4466,0.546,0.7458,1.2126,1.0644,0.8941
70,0.4794,0.9007,0.6868,1.3517,1.0602,0.9424
71,0.5865,0.8681,0.7317,1.3517,1.0662,1.0841
72,0.5494,0.8322,0.6978,1.3517,1.0587,1.0138
73,0.7306,0.7476,0.6136,1.3517,1.0606,0.9082
74,0.7294,0.6517,0.4608,,1.0712,0.8639
75,0.6171,0.6514,0.4889,,0.8558,1.0861
76,0.8926,0.6393,0.8127,,0.9048,1.1425
77,0.6874,0.5462,0.816,,0.9059,0.857
78,0.9348,0.7828,0.8065,,0.4515,1.1613
79,0.8444,0.6598,0.7613,,1.0073,1.1613
80,0.8226,0.7788,0.6723,0.0002,0.6366,0.9291
81,0.8061,0.7611,0.3305,1.1663,1.05,1.1825
82,0.8441,0.7047,0.383,1.1663,0.9742,1.1819
83,0.8507,0.6999,0.2872,1.1662,0.7322,1.1825
84,0.7177,0.5721,0.2644,0.6024,1.0935,1.2066
85,0.7283,0.6386,0.3669,1.1317,0.8262,1.223
86,0.5201,0.5655,0.3474,1.2231,1.0475,1.0529
87,0.5055,0.5216,0.3556,1.2266,1.1343,1.2129
88,0.5796,0.3785,0.4042,1.1095,0.9804,0.9361
89,0.5909,0.3226,0.3731,1.0809,1.0683,0.9686
90,0.5754,0.3273,0.279,1.0546,1.1018,0.9363
91,0.5644,0.3049,0.5127,1.1542,1.1018,0.9327
92,0.5434,0.2531,0.7144,0.9619,1.1018,1.179
