row,col,avg_count
0,1,0.2
0,2,0.6
0,3,1.8
0,4,13.3
0,5,125.6
0,6,3211.5
0,7,921.5
0,8,1513.6
0,9,261.6
0,10,246.0
0,11,240.0
0,12,236.9
0,13,1091.7
0,14,611.4
0,15,1286.2
0,16,205.5
0,17,202.8
0,18,202.0
0,19,211.9
0,20,1392.1
0,21,574.8
0,22,779.0
0,23,245.5
0,24,246.1
0,25,250.5
0,26,267.2
0,27,2395.0
0,28,927.4
0,29,2442.7
0,30,75.5
0,31,2.8
0,32,1.2
0,33,0.2
1,1,169.0
1,2,281.3
1,3,191.4
1,4,181.7
1,5,391.9
1,6,1057.2
1,7,4608.2
1,8,1159.4
1,9,356.7
1,10,429.7
1,11,514.4
1,12,432.3
1,13,1055.8
1,14,2408.1
1,15,1055.8
1,16,663.5
1,17,480.1
1,18,635.0
1,19,736.7
1,20,859.6
1,21,2932.0
1,22,584.2
1,23,581.6
1,24,452.5
1,25,373.9
1,26,442.6
1,27,1265.8
1,28,4802.6
1,29,1090.3
1,30,139.1
1,31,194.7
1,32,278.8
1,33,172.8
1,34,0.3
2,0,1.1
2,1,273.8
2,4,8.9
2,5,412.7
2,8,311.8
2,9,140.8
2,12,140.1
2,13,341.0
2,16,314.4
2,17,16.0
2,18,247.4
2,21,511.6
2,22,241.2
2,25,134.5
2,26,334.0
2,29,407.9
2,30,11.9
2,33,274.4
2,34,0.6
3,0,1.3
3,1,178.9
3,4,15.3
3,5,340.1
3,8,233.4
3,9,128.6
3,12,63.9
3,13,298.8
3,16,177.9
3,17,24.2
3,18,139.4
3,21,301.1
3,22,79.8
3,25,122.0
3,26,214.8
3,29,365.0
3,30,16.6
3,33,181.8
3,34,1.1
4,0,2.3
4,1,169.3
4,4,23.0
4,5,312.7
4,8,215.3
4,9,126.9
4,12,66.5
4,13,272.8
4,16,165.2
4,17,34.5
4,18,127.2
4,21,284.5
4,22,80.6
4,25,119.4
4,26,203.4
4,29,334.8
4,30,25.5
4,33,173.3
4,34,1.3
5,0,2.5
5,1,159.1
5,4,30.1
5,5,285.3
5,8,209.2
5,9,116.2
5,12,69.2
5,13,255.8
5,16,147.3
5,17,42.5
5,18,110.7
5,21,267.2
5,22,81.3
5,25,114.2
5,26,184.7
5,29,299.3
5,30,34.3
5,33,160.0
5,34,2.2
6,0,2.8
6,1,152.0
6,4,38.5
6,5,259.5
6,8,190.3
6,9,115.9
6,12,72.2
6,13,235.0
6,16,130.4
6,17,56.2
6,18,94.5
6,21,242.7
6,22,83.2
6,25,113.3
6,26,171.9
6,29,274.0
6,30,44.5
6,33,153.9
6,34,2.0
7,0,2.4
7,1,138.8
7,4,46.1
7,5,231.4
7,8,178.4
7,9,111.1
7,12,71.9
7,13,208.5
7,16,112.5
7,17,62.5
7,18,83.7
7,21,222.2
7,22,88.6
7,25,105.5
7,26,160.2
7,29,251.1
7,30,49.7
7,33,141.4
7,34,1.6
8,0,1.8
8,1,129.1
8,4,53.9
8,5,202.5
8,8,160.9
8,9,107.2
8,12,74.9
8,13,191.6
8,16,105.3
8,17,64.9
8,18,75.1
8,21,203.1
8,22,93.1
8,25,105.9
