row,col,avg_count
0,3,0.5
0,4,2.7
0,5,39.4
0,6,3844.0
0,7,877.5
0,8,2440.3
0,9,218.0
0,10,203.4
0,11,189.8
0,12,198.3
0,13,2851.7
0,14,879.0
0,15,3173.5
0,16,207.1
0,17,189.0
0,18,201.9
0,19,214.0
0,20,3841.2
0,21,871.3
0,22,2272.8
0,23,203.9
0,24,206.1
0,25,208.4
0,26,225.9
0,27,2652.6
0,28,928.6
0,29,3494.0
0,30,7.1
0,31,1.0
0,32,0.1
1,1,0.2
1,2,0.6
1,3,218.0
1,4,397.0
1,5,241.9
1,6,839.0
1,7,8743.6
1,8,1003.9
1,9,425.6
1,10,768.7
1,11,410.9
1,12,330.0
1,13,1701.6
1,14,5670.5
1,15,1601.0
1,16,702.0
1,17,445.0
1,18,678.9
1,19,957.3
1,20,1512.2
1,21,7152.5
1,22,916.1
1,23,451.2
1,24,890.4
1,25,429.0
1,26,331.3
1,27,910.6
1,28,8301.1
1,29,811.4
1,30,419.3
1,31,219.3
1,32,0.2
2,1,0.1
2,2,2.5
2,3,399.4
2,6,48.9
2,7,320.5
2,8,235.0
2,11,469.3
2,12,45.0
2,13,530.6
2,16,447.2
2,17,23.8
2,18,459.0
2,21,1143.5
2,22,115.2
2,23,599.0
2,26,213.3
2,27,79.4
2,28,630.8
2,31,401.6
2,32,3.3
3,2,3.2
3,3,239.1
3,6,35.5
3,7,233.4
3,8,192.2
3,11,63.3
3,12,53.9
3,13,389.0
3,16,224.0
3,17,34.4
3,18,223.8
3,21,314.4
3,22,99.8
3,23,66.3
3,26,173.3
3,27,82.3
3,28,227.5
3,31,237.7
3,32,3.9
3,33,0.1
4,2,3.0
4,3,223.1
4,6,39.7
4,7,220.8
4,8,171.2
4,11,53.6
4,12,74.5
4,13,340.7
4,16,197.7
4,17,43.4
4,18,202.1
4,21,265.9
4,22,123.0
4,23,60.4
4,26,153.3
4,27,110.5
4,28,193.5
4,31,225.3
4,32,3.4
5,2,4.0
5,3,209.1
5,6,46.7
5,7,209.2
5,8,159.7
5,11,50.4
5,12,98.2
5,13,295.8
5,16,180.9
5,17,56.8
5,18,186.2
5,21,221.2
5,22,143.7
5,23,59.5
5,26,135.4
5,27,138.3
5,28,161.5
5,31,213.1
5,32,3.0
6,2,4.4
6,3,194.9
6,6,58.8
6,7,192.0
6,8,140.8
6,11,49.4
6,12,118.0
6,13,246.8
6,16,162.6
6,17,69.4
6,18,168.3
6,21,189.1
6,22,160.0
6,23,50.9
6,26,111.7
6,27,156.2
6,28,138.3
6,31,193.5
6,32,3.3
7,2,3.5
7,3,182.1
7,6,67.4
7,7,175.5
7,8,120.4
7,11,45.1
7,12,137.6
7,13,200.4
7,16,139.5
7,17,84.7
7,18,147.7
7,21,164.6
7,22,159.3
7,23,52.1
7,26,90.5
7,27,164.0
7,28,129.8
7,31,183.8
7,32,3.5
8,2,3.6
8,3,166.9
8,6,70.8
8,7,152.6
8,8,117.5
8,11,43.0
8,12,149.0
8,13,171.1
8,16,123.4
8,17,84.1
8,18,135.4
8,21,151.6
8,22,143.4
8,23,56.8
8,26,86.3
8,27,153.8
8,28,121.3
8,31,175.0
8,32,2.6
9,2,3.5
9,3,154.1
9,6,81.2
9,7,123.0
9,8,120.7
9,11,42.2
9,12,146.3
9,13,144.9
9,16,118.9
9,17,75.6
9,18,126.2
9,21,142.9
9,22,129.1
9,23,60.3
9,26,87.5
9,27,139.8
9,28,119.0
9,31,163.8
9,32,2.8
10,2,1.9
10,3,144.2
10,6,92.6
10,7,90.2
10,8,120.6
10,11,46.2
10,12,126.3
10,13,133.9
10,16,113.0
10,17,67.6
10,18,120.5
10,21,134.9
10,22,110.9
10,23,62.5
10,26,82.5
10,27,123.5
10,28,111.1
10,31,148.0
10,32,3.1
11,2,2.2
11,3,130.8
11,6,92.9
11,7,58.5
11,8,120.5
11,11,50.4
11,12,111.7
11,13,125.1
11,16,108.2
11,17,57.9
11,18,110.3
11,21,125.6
11,22,91.8
11,23,61.2
11,26,81.3
11,27,108.2
11,28,103.5
11,31,138.2
11,32,1.7
12,2,1.4
12,3,114.8
12,6,86.8
12,7,46.4
12,8,112.3
12,11,53.4
12,12,94.0
12,13,113.8
12,16,103.3
12,17,49.6
12,18,102.1
12,21,113.5
12,22,78.4
12,23,56.8
12,26,80.2
12,27,88.7
12,28,93.9
12,31,127.4
12,32,1.6
13,2,1.1
13,3,108.4
13,6,82.1
13,7,37.9
13,8,98.5
13,11,57.4
13,12,74.9
13,13,104.8
13,16,95.3
13,17,40.0
13,18,96.4
13,21,108.0
13,22,62.3
13,23,57.7
13,26,74.0
13,27,71.2
13,28,88.2
13,31,115.0
13,32,1.0
14,2,1.0
14,3,95.7
14,6,80.1
14,7,30.7
14,8,88.3
14,11,56.6
14,12,63.1
14,13,92.0
14,16,81.6
14,17,33.9
14,18,87.7
14,21,95.3
14,22,45.8
14,23,60.7
14,26,75.0
14,27,54.9
14,28,83.5
14,31,102.8
14,32,0.5
15,2,0.8
15,3,82.0
15,6,74.3
15,7,22.9
15,8,75.9
15,11,60.1
15,12,43.0
15,13,82.2
15,16,74.0
15,17,23.9
15,18,82.2
15,21,85.8
15,22,33.0
15,23,60.9
15,26,75.3
15,27,38.2
15,28,82.3
15,31,94.0
15,32,0.6
16,2,0.3
16,3,70.1
16,6,76.2
16,7,11.3
16,8,68.1
16,11,61.8
16,12,24.8
16,13,76.8
16,16,69.0
16,17,11.0
16,18,75.8
