tick,agent_id,picks,distance,idle_ticks,slow_ticks,walk_ticks
600,1,5.6,219.8,90.0,145.8,399.0
600,2,5.8,210.6,123.1,122.6,364.9
600,3,5.7,208.8,153.7,117.9,334.6
600,4,5.2,209.2,170.5,105.6,329.3
600,5,4.9,186.9,203.4,107.9,302.1
600,6,4.1,158.9,301.4,69.8,220.2
600,7,3.2,133.7,380.8,39.9,155.7
600,8,2.2,96.7,418.1,57.2,140.1
1200,1,12.2,448.3,184.2,273.4,776.4
1200,2,11.2,416.8,221.0,284.9,758.4
1200,3,11.2,414.7,243.3,292.2,735.8
1200,4,10.7,403.0,344.9,206.9,642.9
1200,5,9.5,362.0,394.2,228.8,619.9
1200,6,8.8,335.0,544.7,166.4,481.6
1200,7,6.5,262.8,729.4,113.6,341.1
1200,8,4.0,191.3,828.6,126.2,292.5
1800,1,18.3,676.9,263.4,431.7,1173.5
1800,2,16.6,613.5,321.9,454.0,1151.2
1800,3,16.7,619.0,378.5,427.4,1091.2
1800,4,16.5,607.5,491.8,342.0,983.0
1800,5,14.6,556.2,604.1,323.1,906.3
1800,6,14.3,537.0,718.6,278.4,800.9
1800,7,11.1,439.9,974.6,206.2,605.6
1800,8,7.1,313.2,1198.1,190.7,462.3
2400,1,24.6,909.4,337.6,594.8,1572.8
2400,2,22.7,836.1,412.4,602.8,1538.1
2400,3,23.4,843.3,488.2,550.5,1447.6
2400,4,22.2,813.2,625.8,480.6,1332.4
2400,5,20.2,771.6,761.6,433.7,1238.5
2400,6,19.3,721.9,921.2,386.0,1095.5
2400,7,15.5,597.6,1252.1,290.5,838.9
2400,8,10.1,434.6,1601.7,234.9,596.2
3000,1,30.8,1126.3,413.5,763.7,1976.0
3000,2,29.2,1062.4,517.1,733.0,1906.9
3000,3,29.6,1069.0,618.0,662.9,1794.4
3000,4,28.4,1022.9,785.1,592.2,1651.4
3000,5,25.2,962.1,979.8,520.5,1520.2
3000,6,24.0,878.4,1158.4,493.7,1364.8
3000,7,19.3,750.3,1578.4,348.4,1035.9
3000,8,12.4,547.1,2041.5,271.2,713.3
3600,1,36.5,1332.3,479.9,938.2,2394.8
3600,2,33.9,1247.2,598.1,937.5,2329.9
3600,3,34.6,1278.7,755.1,813.3,2154.6
3600,4,33.2,1191.4,930.8,762.5,2010.5
3600,5,30.3,1146.3,1169.3,642.0,1826.1
3600,6,28.2,1063.3,1386.9,614.3,1654.1
3600,7,22.9,893.3,1885.9,429.8,1256.1
3600,8,14.8,661.4,2462.7,313.6,843.3
4200,1,42.6,1558.0,556.5,1093.4,2796.1
4200,2,39.7,1470.8,723.8,1056.6,2684.6
4200,3,40.4,1479.4,900.7,939.5,2497.1
4200,4,38.7,1389.3,1072.4,899.1,2359.5
4200,5,35.3,1349.5,1314.8,778.0,2185.1
4200,6,32.6,1243.7,1555.8,759.7,1995.4
4200,7,26.9,1042.3,2208.8,491.6,1457.2
4200,8,17.2,772.1,2889.9,354.9,967.9
4800,1,49.0,1762.3,618.6,1271.9,3206.7
4800,2,46.3,1696.6,823.8,1187.9,3056.8
4800,3,46.4,1722.6,987.8,1074.0,2886.8
4800,4,44.3,1603.2,1204.3,1036.9,2715.7
4800,5,40.8,1546.3,1512.8,862.1,2472.7
4800,6,37.6,1432.4,1804.8,837.4,2243.8
4800,7,30.8,1195.8,2504.4,570.5,1681.2
4800,8,19.7,895.2,3314.5,386.7,1092.1
5400,1,55.1,1986.8,711.1,1414.5,3589.6
5400,2,52.7,1927.4,924.8,1308.0,3424.1
5400,3,51.9,1919.5,1109.1,1227.0,3254.8
5400,4,50.1,1807.2,1372.0,1156.8,3034.0
5400,5,46.1,1749.0,1707.4,963.4,2773.6
5400,6,42.9,1608.2,2017.3,938.8,2527.4
5400,7,35.1,1363.6,2774.3,647.1,1925.2
5400,8,22.2,997.2,3753.4,423.0,1205.6
6000,1,61.8,2225.8,787.7,1556.9,3983.0
6000,2,58.6,2156.3,1012.1,1456.2,3820.5
6000,3,57.7,2118.0,1229.8,1376.3,3619.7
6000,4,55.7,2021.8,1525.1,1265.6,3366.3
6000,5,51.1,1924.3,1937.5,1056.8,3043.8
6000,6,47.1,1775.7,2282.5,1030.3,2777.5
6000,7,38.4,1510.6,3101.2,713.3,2131.8
6000,8,24.7,1108.5,4152.8,483.6,1354.9
6600,1,67.9,2449.5,869.1,1717.1,4379.5
6600,2,64.6,2379.4,1127.9,1588.1,4184.6
6600,3,63.1,2329.2,1372.3,1512.8,3968.6
6600,4,61.2,2211.1,1687.5,1395.1,3691.8
6600,5,55.9,2121.8,2141.4,1159.7,3341.3
6600,6,51.9,1951.4,2506.7,1132.8,3058.0
6600,7,42.4,1658.9,3387.4,801.4,2366.2
6600,8,27.6,1241.8,4516.5,547.1,1532.6
7200,1,73.9,2683.5,938.8,1869.3,4786.3
7200,2,71.2,2597.9,1222.5,1718.5,4560.6
7200,3,69.3,2556.8,1500.2,1637.4,4318.5
7200,4,66.6,2412.5,1848.8,1516.1,4021.0
7200,5,61.1,2321.0,2316.2,1272.6,3664.3
7200,6,56.8,2142.9,2758.9,1208.6,3305.7
7200,7,46.5,1821.0,3698.0,862.2,2573.8
7200,8,30.4,1369.1,4948.7,567.6,1643.6
7800,1,79.6,2898.8,1027.5,2032.4,5185.5
7800,2,76.2,2793.9,1330.6,1877.6,4947.6
7800,3,74.2,2756.5,1623.2,1787.9,4697.8
7800,4,72.2,2622.7,2036.0,1615.3,4325.7
7800,5,65.9,2489.2,2553.6,1367.2,3931.9
7800,6,60.6,2287.3,3048.5,1310.9,3543.2
7800,7,49.0,1925.9,4086.4,929.3,2734.6
7800,8,31.6,1438.4,5439.6,605.4,1729.4
8400,1,85.6,3115.0,1124.6,2176.9,5565.9
8400,2,81.6,3003.6,1438.5,2030.6,5333.4
8400,3,78.8,2934.7,1744.8,1968.2,5084.2
8400,4,77.4,2825.5,2226.5,1722.5,4630.3
8400,5,70.1,2654.2,2772.2,1488.1,4227.6
8400,6,64.1,2429.4,3351.9,1399.7,3768.9
8400,7,51.5,2053.1,4408.0,1032.3,2964.2
8400,8,33.5,1527.6,5897.8,642.2,1834.2
9000,1,91.5,3335.7,1226.3,2317.5,5946.7
9000,2,86.9,3199.7,1557.3,2183.3,5705.1
9000,3,83.1,3104.7,1905.1,2148.1,5436.9
9000,4,82.0,3004.9,2375.7,1889.4,4986.8
9000,5,74.3,2823.4,2985.8,1621.1,4534.1
9000,6,67.7,2581.5,3632.7,1503.8,4017.7
9000,7,54.6,2173.5,4719.8,1141.7,3194.0
9000,8,35.0,1618.3,6310.5,726.1,1989.7
9600,1,97.1,3527.2,1303.5,2491.5,6357.3
9600,2,92.5,3394.0,1660.0,2349.9,6096.7
9600,3,88.1,3296.6,2047.5,2295.8,5794.5
9600,4,86.6,3184.7,2563.3,2016.6,5307.9
9600,5,78.4,2976.8,3220.3,1745.8,4814.9
9600,6,70.6,2703.2,3912.6,1621.2,4275.5
9600,7,57.2,2292.4,5072.9,1224.7,3385.9
9600,8,37.0,1715.6,6769.3,757.9,2092.3
10200,1,102.1,3724.3,1378.2,2678.5,6784.9
10200,2,98.0,3590.0,1780.1,2509.2,6464.2
10200,3,93.2,3497.4,2171.5,2449.3,6165.5
10200,4,91.7,3380.1,2737.5,2144.1,5632.0
10200,5,82.7,3122.7,3422.8,1898.3,5126.5
10200,6,74.5,2859.2,4132.5,1754.6,4578.5
10200,7,60.1,2422.9,5420.8,1302.8,3579.2
10200,8,38.7,1802.5,7224.9,804.9,2201.1
10800,1,107.0,3921.3,1466.1,2864.2,7199.0
10800,2,103.3,3787.8,1884.3,2679.9,6857.3
