tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
0,0.1268,,,,,,,
1,0.6236,,,,,,,
2,0.4246,,,,,,,
3,1.0298,,,,,,,
4,1.1121,,,,,,,
5,1.1146,,,,,,,
6,1.1157,,,,,,,
7,1.1156,,,,,,,
8,0.9824,0.0232,,,,,,
9,1.021,1.0948,,,,,,
10,0.9234,0.6077,,,,,,
11,0.9369,0.8289,,,,,,
12,1.049,1.059,,,,,,
13,1.1162,0.9582,,,,,,
14,1.1162,1.0716,0.0895,,,,,
15,0.6872,1.0867,1.2051,,,,,
16,1.0075,1.0632,0.7206,,,,,
17,0.9284,1.0867,1.2319,,,,,
18,1.1545,1.0849,1.2319,0.0339,,,,
19,1.1555,1.0867,1.2319,1.3735,0.0002,,,
20,1.0205,0.7568,1.2319,1.3748,1.1357,,,
21,1.14,0.948,1.2319,1.3748,1.1357,,,
22,1.1833,1.0642,1.2319,1.019,1.1357,,,
23,0.9684,0.5916,,0.91,1.1357,,,
24,1.0817,0.6987,,1.3556,1.1064,,,
25,0.9654,1.1796,,1.3748,0.9699,,,
26,1.151,1.1688,0.0222,1.3747,1.1064,,,
27,0.9441,0.7416,0.5635,0.8899,0.8115,,,
28,0.7244,0.6929,0.8605,0.6069,0.6793,,,
29,1.0029,0.6314,0.452,0.1613,1.1328,0.0003,,
30,0.7476,1.0339,0.8248,0.8812,1.1357,1.3137,,
31,0.9169,1.1056,1.0604,1.3744,1.1357,1.3174,,
32,0.9945,1.1521,1.125,1.3732,1.1357,1.3185,,
33,1.2119,0.9394,0.8607,0.4776,1.1353,1.3185,0.0643,
34,1.0093,1.0659,1.1032,1.2563,1.1357,0.9634,1.1224,
35,1.1973,1.0797,1.1491,0.9877,0.9113,0.5734,1.1208,
36,1.0476,1.0266,1.1196,1.3423,1.1346,0.7206,1.1264,
37,1.1934,1.0954,0.9773,1.3105,0.784,0.9811,1.0002,
38,1.1869,0.8764,0.966,1.3015,0.9545,0.8105,0.6456,
39,1.1178,0.9094,0.9593,0.8442,0.5679,0.4119,1.0974,
40,1.1534,1.0502,1.0079,1.2881,1.0256,0.9074,1.1264,
41,0.8279,1.0903,1.1568,1.3146,1.0484,1.3133,1.1264,
42,0.8983,0.9796,1.1744,1.2442,1.0984,1.3185,1.1264,
43,0.8646,1.047,1.0535,1.0499,0.9348,1.2941,1.1264,
44,0.739,0.8761,0.5802,1.0549,0.998,1.1946,1.1264,
45,0.869,0.866,0.8484,1.2416,1.061,0.6035,1.1264,
46,0.9438,0.4692,0.9516,1.055,1.061,1.1277,1.1264,
47,0.768,0.8236,1.0595,1.2707,1.061,1.1252,1.1264,
48,0.688,0.8396,0.9696,1.2667,0.5305,1.1189,1.1264,
49,0.6949,0.9414,1.0022,1.1679,1.0548,1.1189,,
50,0.4835,0.9203,0.587,1.06,0.9164,1.0912,0.0002,
51,0.733,0.9094,0.4704,1.0629,1.0709,0.473,1.1197,
52,0.7186,0.7287,0.5343,0.9028,1.1086,1.0899,1.1197,
53,0.6914,0.733,1.1109,0.8586,1.1018,1.1189,1.1197,
54,0.8557,0.7617,0.8948,0.6828,0.9471,,1.1197,
55,0.8252,0.7583,1.1494,0.3678,0.5346,,1.0465,0.0802
56,0.6974,0.6405,1.1495,0.8594,1.122,,0.744,1.1494
57,0.7942,0.9222,1.1258,0.7951,1.1222,,1.1192,1.1624
58,0.7646,0.9067,0.8462,0.8047,1.1222,0.0,1.0487,1.1631
59,0.7676,0.7521,0.9451,0.6538,1.1038,1.3185,0.5275,1.1423
60,0.7721,0.8912,0.8259,0.7827,1.1221,1.3185,0.8655,0.5932
61,0.5812,0.8019,0.8673,0.7891,1.1201,1.3185,1.1229,1.1476
62,0.5028,0.822,0.9134,0.4717,0.5957,1.3185,1.1231,1.1631
63,0.7053,0.7082,0.6642,1.0172,1.0519,1.3185,1.1231,1.1631
64,0.6988,0.6937,0.7689,0.7405,0.8224,0.6598,1.1231,1.1631
65,0.5733,0.6953,0.62,1.0645,0.7016,1.2187,1.1231,
66,0.6186,0.5762,0.572,1.0334,0.705,1.2187,1.1231,
67,0.502,0.5602,0.5279,0.9076,0.9608,1.0489,1.1264,
68,0.549,0.7575,0.3883,1.0277,0.9789,0.5952,1.1264,
69,0.5989,0.7612,0.3958,0.9848,0.9496,0.0913,1.1264,
70,0.5902,0.6397,0.3269,1.0536,0.8758,0.5159,1.1264,
71,0.6138,0.6998,0.5069,1.0558,0.8235,0.4415,1.1264,
72,0.5146,0.7522,0.4935,0.9966,0.8344,0.4001,1.1264,
73,0.3815,0.5968,0.422,0.9369,0.8241,0.4611,0.691,
74,0.3459,0.6136,0.644,0.9418,0.7263,0.5023,0.3688,
75,0.3898,0.4643,0.4665,0.8063,0.8358,0.3444,0.519,0.0001
76,0.3518,0.5732,0.2773,0.7602,0.8358,0.2586,0.14,0.71
77,0.4047,0.5562,0.4534,0.6995,0.8358,0.6283,0.027,1.0983
78,0.3453,0.6511,0.5739,0.5912,0.5586,0.6398,0.5468,1.1631
79,0.4612,0.6477,0.4736,0.6199,1.0423,0.5145,0.8264,1.1631
80,0.4107,0.6403,0.3463,0.5776,1.0423,0.4188,0.8125,1.1631
81,0.3752,0.5504,0.2833,0.5511,0.7964,1.2547,0.8112,1.1631
82,0.3172,0.5198,0.3416,0.4625,1.0287,1.2666,0.7251,0.0002
83,0.4564,0.5397,0.41,0.4314,0.8861,0.6781,0.5231,1.0962
84,0.4349,0.5378,0.4272,0.3996,0.7835,1.2204,0.3189,1.0962
85,0.4652,0.4822,0.3146,0.4385,0.781,1.2231,0.4,1.0962
86,0.474,0.5107,0.6422,0.2092,0.8629,1.2152,0.4124,1.0962
87,0.4014,0.4167,0.6626,0.4435,0.8597,1.2245,0.0866,1.0962
88,0.5577,0.194,0.6499,0.4223,0.7403,1.1348,0.1276,1.0962
89,0.4627,0.2671,0.6664,0.4543,1.0978,1.2206,0.1425,1.0962
90,0.5689,0.3105,0.6275,0.4371,1.1086,0.9051,0.0746,1.0962
91,0.6093,0.2758,0.5148,0.4201,1.1086,0.8425,0.0473,1.0962
92,0.6098,0.3277,0.7584,0.438,0.5622,1.1846,0.3531,1.0962
93,0.4551,0.3702,0.6988,0.3097,1.1665,1.1687,0.6721,
94,0.4163,0.3053,0.6479,0.3337,0.7891,1.0611,0.6527,
95,0.3523,0.3099,0.8489,0.3046,1.0866,1.2242,1.264,
96,0.2323,0.0816,0.8316,0.2788,1.0867,1.2245,1.264,
97,0.237,0.2448,0.4079,0.4768,0.9959,1.2245,1.264,
98,0.1368,0.2298,0.4793,0.3593,0.7038,1.2245,1.264,
99,0.2704,0.2372,0.6645,0.6442,0.494,1.182,1.264,
100,0.3081,0.2202,0.5533,0.6704,0.4884,1.182,1.2617,
101,0.2377,0.2082,0.602,0.6428,0.7252,1.182,1.2615,
102,0.3337,0.2255,0.6159,0.6554,0.7333,1.182,1.264,
103,0.2069,0.1669,0.7276,0.559,0.855,1.182,1.264,0.0035
104,0.3192,0.2159,0.6268,0.7081,0.9527,1.182,0.6321,1.0962
105,0.5062,0.2298,0.7531,0.6693,0.9535,1.182,0.8002,1.0962
106,0.4319,0.2008,0.6939,0.511,0.9619,,1.1786,1.0962
107,0.4223,0.3954,0.4589,0.3971,0.9705,,1.1359,1.0962
108,0.4378,0.4022,0.5994,0.4939,0.9715,,1.1355,1.0962
109,0.4024,0.2936,0.5367,0.555,0.981,0.0001,1.1355,1.0962
110,0.4706,0.2721,0.6303,0.5492,0.8092,1.267,1.1359,1.0962
111,0.3879,0.2359,0.5175,0.6485,0.8099,1.267,1.1339,1.0962
112,0.413,0.2245,0.5872,0.7585,0.6355,1.267,1.0448,1.0962
113,0.439,0.2448,0.5353,1.2001,0.8531,1.267,1.0397,0.9592
114,0.3434,0.2541,0.4962,1.0246,0.9606,1.267,1.1359,0.273
