tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
115,0.277,0.1915,0.7346,0.7201,0.9432,1.267,1.1359,0.6353
116,0.2818,0.3153,0.7103,0.5796,0.9427,0.6336,1.1359,0.6758
117,0.2721,0.335,0.6083,0.428,0.8114,1.2245,0.5707,0.6616
118,0.2097,0.4723,0.773,0.9614,0.6791,1.1382,1.2024,0.7065
119,0.0873,0.4286,0.7732,0.744,0.7146,0.8108,1.2026,0.3594
120,0.1631,0.4953,0.763,0.7624,0.7835,0.6939,1.2026,0.3624
121,0.1086,0.3518,0.6862,0.6872,0.6743,0.4099,1.2026,0.6339
122,0.2411,0.2478,0.7283,0.7092,0.5826,0.8998,1.2026,0.6329
123,0.4976,0.4526,0.7442,0.4307,0.8317,0.7407,1.2026,0.635
124,0.5227,0.5278,0.6024,0.4929,0.799,0.8272,0.8018,0.6359
125,0.5486,0.3766,0.6731,0.355,0.7836,0.8752,1.2264,0.6765
126,0.4339,0.4837,0.6162,0.8391,0.7472,0.7762,1.2264,0.6563
127,0.5086,0.479,0.4485,0.8144,0.708,0.7957,0.8103,0.6368
128,0.5158,0.4442,0.5071,1.106,0.7254,0.7799,1.1538,0.6838
129,0.4149,0.4291,0.4322,0.8832,0.6665,0.5383,1.1945,0.4344
130,0.6934,0.5082,0.5189,1.1434,0.7677,0.4306,1.1866,0.8608
131,0.7002,0.4011,0.5329,1.1221,0.7091,0.4009,1.1808,0.8628
132,0.5992,0.4964,0.4233,1.1548,0.7971,0.5687,0.9868,0.9005
133,0.5297,0.545,0.5515,0.8995,0.7738,0.5697,0.9741,0.8117
134,0.7193,0.5472,0.5513,0.9145,0.8079,0.5099,0.8401,0.955
135,0.7752,0.5152,0.4747,0.9546,0.7375,0.5658,0.5764,0.5614
136,0.8512,0.57,0.6114,1.1114,0.5859,0.5129,0.8809,0.597
137,0.7375,0.5155,0.4624,1.1185,0.5387,0.5943,0.9001,0.6372
138,0.7715,0.3701,0.609,0.8993,0.4374,0.5948,0.766,0.6668
139,0.8779,0.3696,0.4627,0.6998,0.592,0.497,0.7994,0.6593
140,0.9949,0.3787,0.6213,0.7539,0.5198,0.6913,0.6491,0.6357
141,1.0175,0.3882,0.7914,0.8277,0.5166,0.6414,0.709,0.7334
142,0.995,0.3751,0.7601,0.696,0.4558,0.5211,0.6354,0.1577
143,0.8009,0.3163,0.7493,0.8447,0.3169,0.4865,0.606,0.1072
144,0.7412,0.3421,0.6572,0.7549,0.3336,0.2513,0.6129,0.0553
145,1.0385,0.2819,0.74,0.6558,0.5926,0.2832,0.6344,0.0931
146,1.0432,0.255,0.7731,0.7248,0.5461,0.2733,0.6327,0.5333
147,0.8495,0.3963,0.7185,0.8357,0.6263,0.3673,0.6165,0.2749
148,1.0203,0.5757,0.6231,0.7406,0.5808,0.7255,0.3926,0.1364
149,1.011,0.5808,0.8128,0.8994,0.5921,0.6879,0.8242,0.2173
150,0.8367,0.5855,0.7034,0.9602,0.4847,1.0031,0.6627,0.553
151,0.9536,0.4863,0.6503,0.9279,0.4394,0.6663,0.0779,0.6022
152,0.7408,0.5062,0.5552,0.9001,0.4701,0.6335,0.1333,0.5469
153,0.8927,0.3384,0.3822,0.9518,0.3868,0.9444,0.0422,0.593
154,0.7355,0.5814,0.2524,0.7264,0.3322,0.6852,0.0393,0.5416
155,0.5905,0.6407,0.3089,1.0029,0.3164,0.8532,0.0469,0.6388
156,0.5834,0.5986,0.3822,1.0165,0.3617,0.8361,0.1457,0.5525
157,0.5564,0.5363,0.3536,0.9689,0.382,0.8355,0.1314,0.7239
158,0.4764,0.3373,0.3375,0.847,0.3406,0.8409,0.0575,0.7196
159,0.5186,0.6032,0.291,0.8922,0.4633,0.8327,0.0152,0.6252
160,0.7249,0.6906,0.2602,0.8947,0.3915,0.736,0.099,0.7441
161,1.0645,0.6485,0.404,0.8552,0.3412,0.7382,0.7434,0.5493
162,1.011,0.6501,0.3134,0.8011,0.3794,0.7115,0.8028,0.559
163,0.775,0.6258,0.2832,0.6534,0.4172,0.5885,0.6573,0.5178
164,0.6183,0.5996,0.4538,0.5514,0.3911,0.8087,0.5759,0.5907
165,0.6642,0.5149,0.4693,0.5057,0.2072,0.7527,0.5275,0.6477
166,0.6523,0.5112,0.3759,0.5553,0.2501,0.579,0.2262,0.7253
167,0.6513,0.528,0.3139,0.3709,0.3108,0.7755,0.2847,0.627
168,0.646,0.4392,0.429,0.546,0.2615,0.9414,0.2115,0.5011
169,0.5067,0.533,0.3971,0.289,0.3358,0.8747,0.5418,0.5272
170,0.5092,0.5397,0.3159,0.3917,0.3027,0.6772,0.6396,0.4474
171,0.4168,0.5357,0.3056,0.371,0.2629,0.9446,0.5783,0.4664
172,0.3585,0.5324,0.3443,0.275,0.1847,0.7393,0.5805,0.463
173,0.6544,0.3765,0.3604,0.4323,0.2611,0.7838,0.6591,0.5047
174,0.6378,0.3674,0.3264,0.404,0.2487,0.7544,0.4694,0.616
175,0.4991,0.5565,0.4965,0.4005,0.0799,0.8016,0.7116,0.606
176,0.7361,0.562,0.3717,0.388,0.3259,0.8701,0.7704,0.6473
177,0.5827,0.4936,0.3253,0.4155,0.3041,0.8513,0.6365,0.6512
178,0.8511,0.4477,0.3689,0.4012,0.2701,0.8453,0.3896,0.4559
179,0.691,0.4436,0.3484,0.3444,0.2754,0.458,0.389,0.8073
180,0.8081,0.2513,0.3283,0.4749,0.2479,0.7496,0.4077,0.9658
181,0.8692,0.2794,0.3853,0.48,0.2776,0.7452,0.3604,0.5308
182,0.6857,0.3368,0.3241,0.4604,0.2818,0.778,0.2984,0.2515
183,0.8626,0.1173,0.3065,0.445,0.2576,0.679,0.452,0.187
184,0.7945,0.2965,0.3087,0.3001,0.2954,0.5299,0.4058,0.2265
185,0.6929,0.2599,0.4129,0.4226,0.3322,0.7651,0.4125,0.1347
186,0.5106,0.4237,0.4364,0.3572,0.2048,0.5687,0.4204,0.0981
187,0.4328,0.5142,0.3833,0.2301,0.0996,0.622,0.4577,0.0272
188,0.3108,0.4071,0.5165,0.3071,0.0406,0.8335,0.465,0.0293
189,0.4361,0.523,0.4002,0.6817,0.073,0.8669,0.2182,0.0679
190,0.4361,0.5184,0.4396,0.691,0.2382,0.8941,0.2431,0.0471
191,0.4481,0.6135,0.455,0.457,0.2591,0.879,0.2908,0.0241
192,0.3883,0.5978,0.4515,0.6526,0.2736,0.8653,0.2774,0.4374
193,0.4966,0.5221,0.3399,0.6629,0.2797,0.8807,0.803,0.4375
194,0.3393,0.7712,0.3197,0.5653,0.2361,0.8,0.6983,0.486
195,0.1423,0.6646,0.3839,0.6948,0.3113,0.7118,0.6057,0.4738
196,0.2499,0.7201,0.4598,0.8029,0.2545,0.706,0.7572,0.3971
197,0.5118,0.835,0.3696,0.9024,0.2409,0.6956,0.8404,0.4091
198,0.494,0.8232,0.246,0.8737,0.2579,0.624,0.8164,0.4426
199,0.389,0.7574,0.4098,0.9005,0.2285,0.4826,0.314,0.4184
200,0.3701,0.7938,0.5786,0.811,0.1416,0.4085,0.8868,0.417
201,0.4073,0.7923,0.5416,0.7795,0.3725,0.3814,0.9495,0.6049
202,0.3428,0.6471,0.5492,0.5555,0.3912,0.4271,0.75,0.642
203,0.3667,0.6035,0.5452,0.8883,0.4025,0.379,0.6911,0.6112
204,0.3759,0.7163,0.5568,0.7081,0.4156,0.3862,0.7604,0.6265
205,0.3876,0.6691,0.5734,0.9424,0.385,0.3344,0.7652,0.6194
206,0.3385,0.5073,0.5521,0.844,0.3285,0.4325,0.7665,0.5936
207,0.2839,0.5583,0.5633,0.7059,0.5376,0.2929,0.7732,0.7379
208,0.2234,0.3933,0.3541,0.6984,0.56,0.3123,0.5776,0.6279
209,0.2575,0.3298,0.3569,0.6222,0.61,0.4009,0.4035,0.621
210,0.2563,0.3715,0.4059,0.6698,0.6221,0.5242,0.7975,0.6801
211,0.2466,0.4434,0.5322,0.7141,0.5267,0.5628,0.7621,0.7403
212,0.3657,0.4565,0.5551,0.5429,0.5159,0.5972,0.7546,0.8934
213,0.4767,0.4464,0.4818,0.7519,0.3445,0.6298,0.3833,0.6511
214,0.5937,0.2486,0.4252,0.7625,0.331,0.6364,0.6096,0.6531
215,0.4128,0.163,0.435,0.7484,0.3706,0.4916,0.6446,0.61
216,0.6569,0.3242,0.3593,0.7228,0.4611,0.4777,0.6888,0.5883
217,0.5618,0.2941,0.3188,0.7223,0.1443,0.5775,0.6496,0.3941
218,0.3462,0.464,0.3088,0.5531,0.1301,0.4984,0.6047,0.8081
219,0.6675,0.4203,0.5836,0.6563,0.1052,0.456,0.7506,0.8107
220,0.7862,0.4254,0.6624,0.5849,0.0931,0.422,0.6538,0.6442
221,0.66,0.3658,0.6303,0.7232,0.0942,0.3018,0.6932,0.6683
222,0.7461,0.3736,0.6073,0.6758,0.2524,0.3921,0.6294,0.1544
223,0.5841,0.3023,0.6025,0.3956,0.4928,0.4037,0.7793,0.1306
224,0.3035,0.2121,0.5711,0.619,0.497,0.4273,0.4932,0.1568
225,0.3124,0.3647,0.2949,0.6201,0.528,0.3466,0.4386,0.1288
226,0.4736,0.4587,0.5158,0.6981,0.5923,0.6137,0.5932,0.1277
227,0.472,0.5488,0.4785,0.7082,0.3345,0.647,0.4488,0.0408
228,0.4543,0.5509,0.7092,0.5787,0.682,0.6827,0.7843,0.2165
229,0.4392,0.7523,0.6548,0.816,0.708,0.6558,0.7488,0.5442
230,0.4282,0.6982,0.6911,0.7626,0.5263,0.5854,0.706,0.4266
231,0.1801,0.4856,0.5766,0.7957,0.728,0.3997,0.6838,0.8129
232,0.2278,0.6594,0.5853,0.8246,0.7205,0.2912,0.6554,0.5803
233,0.2952,0.6622,0.584,0.6514,0.6744,0.358,0.679,0.5412
234,0.2352,0.6519,0.5523,0.7438,0.6064,0.3423,0.6544,0.443
235,0.1501,0.5571,0.4003,0.9051,0.5126,0.2455,0.6541,0.4156
236,0.0496,0.6221,0.3418,0.8582,0.6125,0.5266,0.5842,0.3819
237,0.0486,0.4646,0.3881,0.7598,0.4939,0.5177,0.5876,0.3758
238,0.2266,0.3526,0.3566,0.6998,0.6235,0.5431,0.6222,0.4292
239,0.3556,0.2846,0.4313,0.5205,0.6055,0.5363,0.5561,0.4292
240,0.526,0.0334,0.4006,0.4203,0.4293,0.3385,0.616,0.4385
241,0.6025,0.0477,0.3327,0.4535,0.4924,0.3811,0.6826,0.4722
242,0.6213,0.0456,0.3917,0.4552,0.4771,0.3769,0.5885,0.3459
243,0.6515,0.0783,0.3649,0.3031,0.4709,0.2962,0.7717,0.3635
244,0.6468,0.3149,0.4176,0.3052,0.4593,0.362,0.7675,0.1206
245,0.5121,0.2353,0.329,0.2921,0.4495,0.3361,0.5777,0.1437
246,0.4824,0.1123,0.4436,0.2582,0.4717,0.3703,0.3813,0.2907
247,0.4545,0.0481,0.625,0.2021,0.4671,0.3334,0.7344,0.4718
248,0.3894,0.2861,0.6006,0.2785,0.3509,0.3944,0.7501,0.4528
249,0.3247,0.2927,0.6724,0.459,0.5719,0.3833,0.731,0.4718
250,0.3227,0.2849,0.7337,0.5647,0.4515,0.3583,0.717,0.468
251,0.2155,0.478,0.8063,0.572,0.4531,0.3362,0.7204,0.6714
252,0.2925,0.5105,0.6155,0.4988,0.4497,0.3528,0.5128,0.699
253,0.2855,0.4806,0.53,0.5133,0.5211,0.0285,0.5957,0.6262
254,0.3088,0.5826,0.5402,0.6513,0.5204,0.3747,0.6202,0.4468
255,0.226,0.5998,0.5507,0.6237,0.3895,0.3116,0.3716,0.8122
256,0.2424,0.756,0.5262,0.5273,0.4588,0.5111,0.7028,0.7972
257,0.1672,0.7498,0.5228,0.5462,0.6354,0.5516,0.6387,0.8033
258,0.3289,0.8352,0.5358,0.5316,0.634,0.4387,0.542,0.7867
259,0.3805,0.9556,0.5359,0.5484,0.6396,0.4804,0.7068,0.8103
260,0.3383,0.8316,0.4662,0.5451,0.6366,0.5355,0.7071,0.8033
261,0.3996,0.631,0.6261,0.5661,0.4362,0.5496,0.6965,0.8091
262,0.3835,0.9428,0.5666,0.5886,0.6695,0.5092,0.5338,0.8262
263,0.4099,0.8983,0.7415,0.4505,0.6093,0.4125,0.5229,0.5552
264,0.4289,0.7747,0.6426,0.4774,0.6721,0.5938,0.7395,0.6451
265,0.3564,0.8258,0.4418,0.2552,0.6894,0.7451,0.8347,0.6041
266,0.51,0.7649,0.6018,0.4163,0.7178,0.7419,0.6969,0.5976
267,0.4904,0.6442,0.6307,0.3836,0.6669,0.5865,0.7203,0.1627
268,0.5046,0.4177,0.5213,0.3345,0.6691,0.5954,0.7545,0.1331
269,0.5118,0.8164,0.3338,0.352,0.6274,0.6282,0.7728,0.1015
270,0.4217,0.4979,0.3041,0.2583,0.7412,0.6761,0.7467,0.0966
271,0.4294,0.793,0.3338,0.4485,0.7278,0.6617,0.7977,0.0838
272,0.4969,0.6929,0.5767,0.3675,0.5767,0.7855,0.7476,0.0545
273,0.475,0.5878,0.61,0.3391,0.8029,0.9363,0.6269,0.0765
274,0.4462,0.7444,0.5857,0.4736,0.6837,0.9329,0.7757,0.5216
275,0.3585,0.5993,0.6086,0.3546,0.8453,0.9222,0.7558,0.4547
276,0.6246,0.5517,0.4744,0.4215,0.8336,0.8721,0.5905,0.4474
277,0.5826,0.5118,0.3711,0.4257,0.7223,0.8058,0.4358,0.4412
278,0.5432,0.3809,0.2655,0.4394,0.7075,1.0987,0.0603,0.4555
279,0.5535,0.4609,0.2577,0.3401,0.7327,1.1103,0.1431,0.4891
280,0.5826,0.3413,0.6226,0.2109,0.8,1.171,0.3059,0.4812
281,0.5226,0.3759,0.43,0.3155,0.8801,1.171,0.4767,0.4816
282,0.6948,0.2992,0.6987,0.275,0.7862,0.9664,0.5336,0.4754
283,0.6378,0.5343,0.6414,0.2526,0.0044,1.0942,0.5052,0.5097
284,0.5864,0.43,0.6892,0.2571,0.4566,1.171,0.7552,0.4896
285,0.5766,0.3963,0.6066,0.231,0.4567,1.171,0.7724,0.4792
286,0.5633,0.3659,0.4978,0.2503,0.457,1.1243,0.7866,0.492
287,0.6047,0.368,0.5674,0.2569,0.2289,1.1243,0.805,0.5991
288,0.5902,0.2356,0.4078,0.235,0.8097,1.1243,0.576,0.5467
289,0.5814,0.2306,0.5138,0.1915,0.8085,1.1243,0.8396,0.4222
290,0.6056,0.2448,0.431,0.3229,0.8127,0.5622,0.8302,0.2506
291,0.4798,0.258,0.4719,0.2678,0.8039,1.2093,0.8673,0.0319
292,0.4604,0.2435,0.4054,0.3957,0.6453,0.821,0.8247,0.0766
293,0.3344,0.244,0.5811,0.3525,0.6218,0.8443,0.8514,0.0893
294,0.35,0.2026,0.5076,0.432,0.9404,0.8889,0.6097,0.0217
295,0.4852,0.2553,0.5152,0.4841,0.9734,0.8665,0.6258,0.0781
296,0.3753,0.2497,0.6309,0.3537,0.8658,0.5876,0.6376,0.0607
297,0.3505,0.2526,0.6793,0.3246,0.8213,0.8865,0.5505,0.049
298,0.3736,0.2495,0.6089,0.2969,0.8893,0.8838,0.5904,0.0689
299,0.1582,0.2347,0.5309,0.2696,0.905,0.6715,0.5693,0.0204
300,0.0977,0.3079,0.5301,0.2478,0.8506,0.5435,0.4923,0.0376
301,0.0641,0.2743,0.5574,0.2541,0.9445,0.5804,0.6447,0.0716
302,0.3792,0.2272,0.536,0.2711,0.757,0.861,0.5219,0.1053
303,0.3159,0.3415,0.5733,0.222,0.7116,0.7096,0.2501,0.1099
304,0.4871,0.4497,0.5317,0.2694,0.6233,0.4626,0.0233,0.0841
305,0.5041,0.3882,0.4858,0.2565,0.5347,0.2253,0.5767,0.0533
306,0.4381,0.4513,0.4738,0.2282,0.5143,0.6488,0.5856,0.1525
307,0.6286,0.4551,0.3987,0.3046,0.6173,0.6662,0.5878,0.1092
308,0.6308,0.507,0.3782,0.2755,0.2911,0.6588,0.5991,0.1264
309,0.517,0.5889,0.3835,0.057,0.3143,0.6793,0.6189,0.1201
310,0.756,0.5742,0.2234,0.1314,0.284,0.6377,0.5828,0.0472
311,0.7227,0.4993,0.2294,0.1099,0.179,0.6543,0.6549,0.045
312,0.6756,0.6749,0.1857,0.0675,0.3865,0.53,0.6794,0.0496
313,0.6775,0.602,0.3808,0.3465,0.5544,0.6507,0.5996,0.0945
314,0.6235,0.4782,0.4463,0.4135,0.663,0.666,0.6037,0.1182
315,0.4136,0.4934,0.4736,0.3764,0.6413,0.641,0.4821,0.1165
316,0.4277,0.6741,0.4775,0.3865,0.2943,0.6247,0.6514,0.0794
317,0.3156,0.6936,0.3808,0.3838,0.607,0.7942,0.4193,0.077
318,0.2995,0.6429,0.4915,0.3727,0.4181,0.9253,0.0225,0.0659
319,0.2097,0.6173,0.5503,0.313,0.8185,1.1432,0.0318,0.0952
320,0.3684,0.6219,0.4997,0.5815,0.8137,1.1754,0.0857,0.0675
321,0.3843,0.6711,0.6026,0.6007,0.5877,1.1755,0.1543,0.0692
322,0.2885,0.5663,0.7143,0.5362,0.8942,1.1755,0.0744,0.1255
323,0.5469,0.5918,0.7262,0.545,0.9345,0.8042,0.0058,0.0865
324,0.5931,0.522,0.6928,0.5089,0.6194,1.2402,0.0998,0.0629
325,0.569,0.3967,0.7195,0.2332,0.9896,0.9358,0.1064,0.0861
326,0.5079,0.5745,0.7371,0.4373,0.8854,0.8552,0.0462,0.1309
327,0.4521,0.5849,0.6847,0.4449,0.8179,0.8555,0.0175,0.1376
328,0.4175,0.6142,0.6521,0.361,0.7175,0.8548,0.0439,0.1511
329,0.4577,0.6006,0.7189,0.5473,0.6919,0.8767,0.139,0.0354
330,0.3602,0.584,0.7549,0.5567,0.5459,0.8838,0.0216,0.3494
331,0.3348,0.5424,0.7386,0.5691,0.5637,0.5473,0.1691,0.1354
332,0.344,0.5049,0.6189,0.5622,0.6753,0.2598,0.059,0.181
333,0.4269,0.4925,0.5137,0.5718,0.5766,0.2158,0.0776,0.3986
334,0.4099,0.5668,0.562,0.3971,0.4544,0.3778,0.0578,0.4078
335,0.3571,0.5202,0.3489,0.4653,0.5927,0.5027,0.1036,0.3706
336,0.3896,0.6782,0.5556,0.5967,0.467,0.3874,0.0267,0.2618
337,0.4895,0.6168,0.5577,0.5944,0.5271,0.7177,0.0186,0.3757
338,0.4252,0.6576,0.423,0.6254,0.7051,0.7169,0.1372,0.4008
339,0.4131,0.654,0.5531,0.6317,0.6957,0.6714,0.0086,0.4254
340,0.3399,0.5433,0.5758,0.5849,0.6073,0.6526,0.1422,0.4342
341,0.4397,0.56,0.5605,0.7275,0.6408,0.5148,,0.4161
342,0.3334,0.4983,0.4613,0.7573,0.5829,0.9119,,0.395
343,0.2719,0.5284,0.594,0.9125,0.5367,0.9721,,0.4186
344,0.2278,0.5008,0.8162,1.1116,0.4862,0.9493,,0.1564
345,0.1812,0.4973,0.7951,0.9051,0.769,0.8804,0.0001,0.0859
346,0.2273,0.413,0.7792,0.5626,0.8401,0.6739,0.2478,0.1233
347,0.2584,0.3997,0.548,0.5975,0.8054,0.7804,1.0286,0.0731
348,0.2109,0.383,0.6637,0.4179,0.5895,0.7237,1.1303,0.0719
349,0.206,0.405,0.6699,0.4205,0.6937,0.7178,1.1303,0.0763
350,0.3705,0.3753,0.632,0.5178,0.7017,0.7737,1.1303,0.0677
351,0.3857,0.5409,0.6232,0.6011,0.6627,0.7863,1.1303,0.1121
352,0.4806,0.3966,0.6533,0.6401,0.5068,0.7898,1.1303,0.0811
353,0.4919,0.413,0.5426,0.4522,0.6983,0.632,1.1294,0.0546
354,0.4941,0.3351,0.5846,0.499,0.7313,0.8714,0.5901,0.0467
355,0.4915,0.5069,0.5527,0.5376,0.721,0.6894,1.0888,0.4573
356,0.4932,0.4601,0.7621,0.3327,0.7021,0.9293,1.0093,0.3921
357,0.5594,0.4777,0.5148,0.4141,0.6961,0.7319,1.0709,0.4268
