tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6
0,,,,,,
1,0.1497,,,,,
2,0.6933,,,,,
3,0.7065,,,,,
4,0.3656,,,,,
5,0.4441,,,,,
6,0.9673,,,,,
7,1.1618,0.0671,,,,
8,1.1698,1.0394,,,,
9,1.1675,1.0396,,,,
10,1.1668,1.0325,,,,
11,1.1682,1.0396,,,,
12,1.1665,0.992,,,,
13,1.1182,1.0098,,,,
14,1.1693,1.0307,,,,
15,1.1077,1.0384,,,,
16,1.1008,1.0396,,,,
17,0.7905,0.9467,,,,
18,1.0563,0.5288,,,,
19,1.0198,0.9234,,,,
20,1.0628,1.0589,,,,
21,1.0922,1.1064,,,,
22,1.1154,1.1074,,,,
23,1.1556,1.0183,,,,
24,1.1344,1.1068,0.0003,,,
25,0.8378,0.9095,1.1336,,,
26,1.0105,0.6089,1.1348,,,
27,1.0055,0.6538,1.1349,,,
28,0.9886,0.991,1.1349,,,
29,1.1676,0.9485,1.1349,,,
30,0.8675,1.1565,1.1321,,,
31,1.197,1.1723,0.2882,,,
32,1.1971,1.0818,0.9884,,,
33,1.0218,1.119,0.8601,,,
34,1.2031,1.1611,1.168,0.0,,
35,1.0658,1.1773,1.1679,1.0792,,
36,1.1945,1.1141,1.124,0.3685,,
37,1.1514,0.8141,0.9238,0.7989,,
38,0.7877,0.806,1.094,0.3004,,
39,1.0679,0.8422,1.1461,0.8109,,
40,0.9149,0.8029,1.0083,0.8163,,
41,0.7625,0.8014,1.1629,0.8901,,
42,0.6833,0.6052,1.168,0.846,,
43,0.4352,0.8854,1.1653,0.8461,,
44,0.5823,0.7315,1.179,0.7769,,
45,0.8836,0.9216,1.1733,0.72,,
46,0.9624,0.7071,1.179,0.8063,,
47,0.7089,0.9059,1.1345,0.7118,0.0005,
48,0.791,0.7105,1.1615,0.7116,1.1086,
49,0.8814,0.7619,1.0023,0.6862,0.7632,
50,0.8256,0.7268,0.7957,0.7879,1.1084,
51,0.8184,0.9259,1.0958,1.1316,1.1086,
52,0.7167,0.9355,1.1638,0.5294,1.1086,
53,0.5945,0.918,1.1638,1.1898,0.4324,
54,0.5867,1.0485,0.931,1.3002,0.5966,
55,0.6557,1.0977,0.9116,0.6502,1.047,
56,0.6687,0.81,1.0901,1.326,1.1086,
57,0.6295,1.0464,0.9852,1.1113,1.1086,0.0
58,0.7213,1.0532,1.016,1.3517,1.1086,1.267
59,0.6451,1.1321,0.9637,1.3517,1.1086,0.6583
60,0.4945,1.1321,1.0832,1.3517,0.5543,0.9351
61,0.4803,0.9042,1.1093,1.3517,1.0848,1.267
62,0.2393,0.8363,1.0411,0.6759,1.0848,1.267
63,0.1337,0.9778,0.8858,1.2873,1.0848,0.6872
64,0.1057,1.032,1.2178,0.8308,1.0848,0.8055
65,0.0857,1.018,0.8919,1.0951,1.0462,1.121
66,0.0616,1.0653,0.8851,0.7268,0.6751,0.7447
67,0.065,1.0832,1.0282,1.0311,0.6682,0.6696
68,0.0415,0.9888,0.8785,0.8502,0.7675,1.055
69,0.0609,0.7835,0.8267,1.1539,0.3523,1.1929
70,0.0561,0.9487,0.8541,1.1508,0.5411,1.1142
71,0.0306,0.8891,0.8619,0.9989,0.5294,0.7646
72,0.0984,0.8676,0.851,1.0964,1.0129,0.7745
73,0.4157,0.6099,0.5944,1.1538,0.8677,1.1189
74,0.4325,0.8258,0.7738,1.1538,1.061,1.1189
75,0.3364,0.7795,0.722,0.8316,1.061,1.1189
76,0.4634,0.7702,0.9749,0.9736,1.061,1.1189
77,0.4978,0.5935,0.7892,0.9035,1.061,1.1189
78,0.5354,0.7612,0.7602,0.9984,0.5309,1.1189
79,0.4894,0.7809,0.8495,1.0003,1.0848,1.1189
80,0.6494,0.738,0.8075,1.003,1.0848,0.5596
81,0.637,0.6645,0.6894,0.9249,1.1086,1.193
82,0.5581,0.5294,0.4855,0.722,1.1086,1.267
83,0.6096,0.4087,0.3331,0.8633,1.1086,1.267
84,0.4874,0.5758,0.3254,0.6576,0.5625,0.6541
85,0.4507,0.3874,0.3506,0.8532,1.1725,0.9363
86,0.4872,0.5569,0.3279,0.8652,1.1277,1.1946
87,0.4031,0.5025,0.3325,0.8265,1.1086,1.028
88,0.3428,0.5649,0.2176,0.6314,1.1086,1.0801
89,0.3249,0.546,0.5803,0.7768,1.1086,1.267
90,0.2975,0.7129,0.5613,0.6991,1.1086,1.267
91,0.2097,0.6969,0.5089,0.4977,0.5548,0.9982
92,0.183,0.6579,0.4718,0.5363,1.0848,0.6321
93,0.2959,0.7658,0.5523,0.7979,1.0848,1.1189
94,0.3125,0.7392,0.4668,0.7184,1.0848,1.1189
95,0.2941,0.7432,0.6512,0.6285,1.0848,1.1189
96,0.4003,0.7543,0.7311,1.0638,0.7174,1.1189
