tick,agent_id,picks,distance,idle_ticks,slow_ticks,walk_ticks
600,1,5.5,214.3,111.2,138.7,382.7
600,2,5.4,214.9,171.0,108.4,326.6
600,3,4.7,177.9,222.4,97.1,284.8
600,4,3.9,167.9,267.1,85.1,258.8
600,5,3.0,120.7,387.5,45.1,155.3
600,6,1.5,74.4,485.7,31.1,84.3
1200,1,11.2,445.9,232.7,258.6,746.6
1200,2,11.5,447.9,339.0,182.9,636.4
1200,3,9.6,355.8,413.6,217.8,596.1
1200,4,8.7,339.8,564.1,130.5,465.9
1200,5,6.3,246.5,757.6,91.6,317.4
1200,6,3.7,178.8,928.0,60.8,198.0
1800,1,17.5,680.5,355.9,371.3,1096.4
1800,2,17.1,645.2,525.0,270.9,933.6
1800,3,14.4,530.9,595.0,338.4,920.0
1800,4,12.6,518.1,817.5,217.6,733.0
1800,5,9.8,401.6,1049.8,176.4,557.2
1800,6,5.9,286.5,1363.5,98.2,318.9
2400,1,23.8,919.1,480.8,488.9,1449.7
2400,2,23.1,869.1,633.8,393.1,1307.6
2400,3,19.5,732.5,803.5,432.0,1210.7
2400,4,17.0,667.0,1075.6,316.7,988.4
2400,5,13.3,537.5,1350.0,264.3,784.0
2400,6,8.5,391.5,1783.9,138.8,446.3
3000,1,29.6,1129.7,619.4,610.8,1793.8
3000,2,29.0,1081.6,794.1,492.4,1631.0
3000,3,24.9,930.1,1009.1,520.4,1495.9
3000,4,21.6,845.4,1301.8,414.0,1270.3
3000,5,17.5,709.6,1666.7,313.6,988.0
3000,6,11.0,492.9,2176.6,200.8,603.4
3600,1,35.5,1358.7,765.5,716.9,2129.4
3600,2,33.6,1268.7,937.4,640.1,1993.5
3600,3,29.8,1104.6,1241.8,614.6,1766.2
3600,4,25.5,1001.4,1598.1,493.3,1494.9
3600,5,20.8,855.3,1996.8,378.8,1191.2
3600,6,12.4,597.5,2621.8,248.2,729.6
4200,1,42.3,1610.0,865.1,833.5,2491.2
4200,2,39.7,1492.2,1067.9,748.8,2342.0
4200,3,36.0,1339.7,1379.3,716.3,2103.4
4200,4,30.3,1185.9,1831.2,583.7,1763.4
4200,5,24.4,1002.5,2308.8,456.0,1406.2
4200,6,15.1,710.3,3059.9,274.6,839.1
4800,1,48.6,1839.8,979.2,949.1,2852.9
4800,2,45.2,1703.4,1217.4,862.2,2683.4
4800,3,41.2,1547.2,1569.7,814.9,2411.9
4800,4,35.0,1374.0,2075.1,669.8,2027.1
4800,5,28.2,1153.3,2611.6,524.5,1625.9
4800,6,17.1,813.3,3508.1,310.7,953.9
5400,1,54.7,2070.6,1093.1,1074.0,3217.1
5400,2,51.2,1934.4,1374.2,945.0,3005.8
5400,3,46.4,1761.8,1720.5,937.2,2755.2
5400,4,40.1,1561.2,2308.8,750.2,2290.9
5400,5,32.2,1324.5,2927.5,572.8,1830.8
5400,6,19.2,925.0,3946.2,344.8,1071.5
6000,1,61.1,2284.8,1247.3,1173.5,3536.8
6000,2,56.7,2122.0,1555.9,1051.9,3313.4
6000,3,50.9,1934.4,1942.5,1047.2,3043.4
6000,4,44.1,1730.4,2534.0,862.1,2586.0
6000,5,36.1,1474.4,3235.6,637.9,2043.0
6000,6,21.4,1023.1,4366.7,400.5,1209.3
6600,1,68.0,2526.7,1394.7,1256.3,3849.5
6600,2,62.6,2362.4,1678.7,1153.3,3670.3
6600,3,56.2,2140.8,2133.9,1141.2,3346.1
6600,4,48.7,1890.5,2798.9,945.5,2830.3
6600,5,39.6,1613.9,3543.6,722.2,2266.4
6600,6,23.3,1134.7,4792.3,444.1,1341.7
7200,1,74.5,2765.9,1503.5,1368.0,4211.6
7200,2,68.8,2582.8,1792.8,1275.7,4037.0
7200,3,61.9,2366.6,2295.7,1239.4,3673.3
7200,4,53.4,2060.3,3017.3,1043.9,3116.4
7200,5,43.4,1756.7,3879.9,778.2,2452.0
7200,6,26.2,1260.5,5211.2,474.8,1466.8
7800,1,79.9,2996.8,1634.2,1492.7,4568.5
7800,2,73.5,2771.1,1955.4,1403.0,4377.6
7800,3,65.9,2528.5,2502.5,1366.8,3985.1
7800,4,57.2,2195.8,3296.8,1149.6,3361.2
7800,5,46.1,1882.2,4237.0,849.0,2643.0
7800,6,28.1,1345.1,5649.3,525.5,1590.7
