row,col,avg_count
0,5,1.2
0,6,2716.8
0,7,521.7
0,8,1318.1
0,9,0.8
0,12,0.7
0,13,736.9
0,14,216.1
0,15,928.9
0,16,1.5
0,17,0.4
0,18,0.2
0,19,0.8
0,20,868.4
0,21,206.8
0,22,529.0
0,23,0.5
0,24,0.3
0,25,0.2
0,26,1.0
0,27,1830.9
0,28,536.3
0,29,1961.3
0,30,1.0
1,1,21.7
1,2,58.0
1,3,0.5
1,5,4.9
1,6,349.4
1,7,4020.6
1,8,396.1
1,9,0.9
1,10,1.1
1,11,80.9
1,12,7.7
1,13,208.0
1,14,1662.3
1,15,147.2
1,16,3.1
1,17,0.9
1,18,4.6
1,19,36.8
1,20,152.9
1,21,1824.5
1,22,88.4
1,23,22.7
1,24,7.5
1,25,2.5
1,26,11.9
1,27,345.6
1,28,3975.8
1,29,342.6
1,31,0.8
1,32,42.7
1,33,8.6
2,0,0.2
2,1,75.4
2,4,0.1
2,5,8.8
2,8,6.5
2,9,0.1
2,12,81.1
2,13,15.8
2,16,1.9
2,17,0.3
2,18,27.5
2,21,49.8
2,22,21.5
2,25,4.7
2,26,19.3
2,29,3.9
2,30,0.2
2,33,46.1
3,1,0.7
3,5,1.9
3,8,1.6
3,12,0.1
3,13,1.3
3,16,1.1
3,18,0.5
3,21,1.2
3,22,0.5
3,25,0.1
3,26,1.0
3,29,2.3
3,30,0.1
3,33,0.9
3,34,0.1
4,1,0.2
4,4,0.1
4,5,1.3
4,8,1.6
4,9,0.4
4,13,1.7
4,16,0.5
4,21,1.0
4,22,0.2
4,25,0.4
4,26,0.9
4,29,2.5
4,30,0.1
4,33,0.7
5,1,0.1
5,5,1.2
5,8,0.9
5,9,0.1
5,13,1.3
5,16,1.4
5,21,0.5
5,22,0.2
5,25,0.1
5,26,0.2
5,29,1.4
5,33,0.9
6,0,0.1
6,1,0.1
6,4,0.1
6,5,1.0
6,8,1.1
6,9,0.3
6,12,0.1
6,13,0.9
6,16,0.5
6,17,0.1
6,18,0.1
6,21,0.9
6,22,0.3
6,25,0.1
6,26,0.3
6,29,1.9
6,30,0.2
6,33,2.3
6,34,0.1
7,1,1.0
7,4,0.1
7,5,0.6
7,8,0.9
7,9,0.1
7,12,0.1
7,13,1.0
7,16,0.7
7,17,0.1
7,18,0.5
7,21,0.7
7,22,0.3
7,26,0.9
7,29,0.8
7,33,0.7
7,34,0.1
8,1,0.4
8,5,0.5
8,8,0.2
8,9,0.1
8,12,0.1
8,13,1.7
8,16,0.9
8,17,0.1
8,25,0.8
8,26,0.6
8,29,0.6
8,33,0.8
9,1,0.2
9,4,0.1
9,5,0.9
9,9,0.2
9,13,0.5
9,16,1.7
9,18,0.2
9,25,0.3
9,26,0.4
9,29,0.4
9,33,0.2
10,1,0.7
10,4,0.2
10,5,0.5
10,8,0.1
10,9,0.1
10,13,0.3
10,16,0.9
10,18,0.1
10,21,0.2
10,22,0.1
10,25,0.2
10,26,0.2
10,29,0.5
10,30,0.3
10,33,0.1
11,0,0.1
11,1,0.6
11,4,0.1
11,5,0.3
11,8,0.2
11,13,0.5
11,16,0.1
11,21,0.3
11,25,0.5
11,26,0.5
11,29,0.6
11,33,0.8
12,1,1.2
12,5,0.3
12,8,0.1
12,12,0.2
12,13,0.2
12,18,0.8
12,21,0.5
12,22,0.1
12,25,0.4
12,26,0.6
12,33,0.9
12,34,0.1
13,0,0.1
13,1,1.0
13,4,0.2
13,5,0.1
13,8,0.5
13,9,0.1
13,12,0.5
13,13,0.3
13,16,0.1
13,17,0.1
13,18,0.2
13,21,1.2
13,22,0.2
13,30,0.8
13,33,0.3
14,1,0.4
14,5,0.1
14,8,1.1
14,12,0.2
14,13,0.6
14,16,0.5
14,21,0.6
14,22,0.1
14,25,0.1
14,26,0.2
14,29,0.2
14,30,0.6
14,33,0.3
15,1,0.7
15,4,0.1
15,5,0.9
15,8,0.3
15,12,0.2
15,13,0.4
15,16,0.3
15,21,0.8
15,22,0.1
15,26,0.1
15,33,0.6
15,34,0.1
16,1,0.1
16,5,0.7
16,12,0.1
16,13,0.5
16,16,0.1
16,18,0.1
16,21,0.9
16,22,0.1
16,26,0.1
16,33,0.8
17,1,0.4
17,5,0.1
17,13,0.3
17,21,0.1
17,22,0.3
17,26,0.3
17,29,0.1
17,33,0.2
18,1,0.4
18,5,0.3
18,8,0.5
18,9,0.1
18,12,0.2
18,13,0.2
18,16,0.7
18,21,0.1
18,29,0.2
18,30,0.1
18,33,0.5
19,5,0.5
19,12,0.2
19,13,0.1
19,16,0.3
19,17,0.1
19,21,0.3
19,26,0.5
19,29,0.5
20,5,0.3
20,21,0.2
20,26,0.1
20,29,0.2
21,29,0.1
21,30,0.4
22,12,0.1
22,21,0.1
22,29,0.1
22,30,0.1
23,21,0.4
