row,col,avg_count
0,1,0.3
0,2,3.3
0,3,4.1
0,4,23.2
0,5,208.3
0,6,4834.8
0,7,1278.7
0,8,2653.8
0,9,350.5
0,10,330.1
0,11,322.5
0,12,323.8
0,13,1530.0
0,14,785.2
0,15,1839.5
0,16,274.7
0,17,260.8
0,18,259.9
0,19,283.6
0,20,1767.5
0,21,811.0
0,22,1351.8
0,23,336.0
0,24,337.5
0,25,332.4
0,26,354.8
0,27,3150.9
0,28,1360.5
0,29,4707.9
0,30,120.0
0,31,5.3
0,32,3.5
0,33,0.8
0,34,0.2
1,0,0.7
1,1,272.4
1,2,627.1
1,3,273.9
1,4,264.5
1,5,513.5
1,6,1459.0
1,7,6634.1
1,8,1686.1
1,9,490.7
1,10,570.8
1,11,692.7
1,12,567.8
1,13,1366.4
1,14,3125.3
1,15,1339.6
1,16,854.1
1,17,619.3
1,18,821.8
1,19,1010.7
1,20,1162.8
1,21,4476.9
1,22,850.1
1,23,890.0
1,24,601.2
1,25,501.7
1,26,538.8
1,27,1657.5
1,28,8037.8
1,29,1908.3
1,30,183.6
1,31,261.1
1,32,447.6
1,33,240.2
1,34,0.8
2,0,3.5
2,1,636.1
2,4,12.8
2,5,545.8
2,8,413.9
2,9,186.3
2,12,215.2
2,13,488.1
2,16,348.3
2,17,20.3
2,18,346.4
2,21,774.6
2,22,451.7
2,25,192.7
2,26,494.2
2,29,657.5
2,30,18.6
2,33,444.5
2,34,2.1
3,0,4.0
3,1,267.6
3,4,22.0
3,5,433.1
3,8,307.5
3,9,166.5
3,12,91.6
3,13,396.0
3,16,221.5
3,17,31.6
3,18,150.8
3,21,443.5
3,22,111.3
3,25,165.1
3,26,179.9
3,29,578.2
3,30,30.9
3,33,244.4
3,34,3.4
4,0,4.4
4,1,246.7
4,4,34.9
4,5,395.2
4,8,283.5
4,9,160.2
4,12,95.0
4,13,360.0
4,16,203.2
4,17,44.4
4,18,131.7
4,21,399.1
4,22,116.1
4,25,159.3
4,26,159.0
4,29,533.4
4,30,45.3
4,33,235.0
4,34,3.8
5,0,5.8
5,1,236.0
5,4,47.8
5,5,358.2
5,8,262.0
5,9,155.2
5,12,96.3
5,13,325.9
5,16,181.9
5,17,48.5
5,18,120.8
5,21,379.1
5,22,120.6
5,25,149.8
5,26,139.1
5,29,494.3
5,30,51.6
5,33,223.9
5,34,4.1
6,0,5.3
6,1,216.6
6,4,60.7
6,5,311.4
6,8,244.6
6,9,153.6
6,12,100.9
6,13,295.8
6,16,166.6
6,17,59.9
6,18,98.8
6,21,358.8
6,22,120.2
6,25,142.9
6,26,116.2
6,29,447.3
6,30,62.9
6,33,205.7
6,34,4.5
7,0,4.5
7,1,203.2
7,4,65.2
7,5,279.9
7,8,227.4
7,9,147.5
7,12,106.1
7,13,270.3
7,16,145.2
7,17,70.4
7,18,79.0
7,21,344.1
7,22,112.7
7,25,134.9
7,26,99.1
7,29,419.2
7,30,69.9
7,33,192.9
7,34,4.4
8,0,5.4
8,1,194.2
8,4,61.2
8,5,256.9
8,8,205.3
8,9,142.2
8,12,100.3
8,13,248.3
8,16,131.8
8,17,73.4
8,18,66.4
8,21,309.8
8,22,119.6
8,25,130.4
8,26,84.4
8,29,395.3
8,30,68.0
8,33,179.0
8,34,4.2
9,0,5.0
9,1,180.3
9,4,59.5
9,5,234.1
9,8,196.7
9,9,128.5
9,12,93.8
9,13,229.6
9,16,125.3
9,17,65.7
9,18,62.1
9,21,278.2
9,22,123.4
9,25,115.9
9,26,74.6
9,29,370.4
9,30,67.0
9,33,167.6
9,34,3.3
10,0,3.3
10,1,171.3
10,4,61.8
10,5,208.9
10,8,187.9
10,9,117.6
10,12,91.2
10,13,206.9
10,16,112.6
10,17,63.1
10,18,48.9
10,21,244.4
10,22,128.9
10,25,99.8
10,26,65.1
10,29,342.2
10,30,71.7
10,33,152.1
10,34,2.8
11,0,2.1
11,1,156.2
11,4,69.6
11,5,165.9
11,8,163.8
11,9,107.7
11,12,86.0
11,13,178.4
11,16,98.8
11,17,57.1
11,18,43.9
11,21,216.2
11,22,125.7
11,25,77.9
11,26,57.9
11,29,313.6
11,30,74.7
11,33,138.3
11,34,2.6
12,0,1.3
12,1,153.4
12,2,0.4
12,4,77.9
12,5,137.8
12,6,0.7
12,7,0.9
12,8,147.5
12,9,104.5
12,10,2.2
12,11,1.9
12,12,89.7
12,13,156.4
12,14,2.1
12,15,2.0
12,16,97.8
12,17,52.0
12,18,49.1
12,19,22.8
12,20,73.3
12,21,193.1
12,22,128.1
12,25,67.1
12,26,55.5
12,27,31.8
12,28,175.3
12,29,274.6
12,30,80.8
12,31,0.2
12,32,0.2
12,33,130.8
12,34,2.2
13,0,1.2
13,1,150.4
13,4,100.8
13,5,119.3
13,6,0.1
13,8,143.2
13,9,112.8
13,12,100.7
13,13,147.4
13,16,98.9
13,17,42.8
13,18,72.3
13,19,36.4
13,21,149.1
13,22,132.8
13,25,63.0
13,26,145.3
13,27,110.1
13,29,149.0
13,30,100.5
13,33,131.3
13,34,1.4
14,0,1.0
14,1,142.6
14,4,103.5
14,5,110.1
14,8,129.8
14,9,114.1
14,12,106.5
14,13,135.8
14,16,97.3
14,17,33.2
14,18,86.3
14,21,142.5
14,22,123.0
14,25,64.4
14,26,190.8
14,29,129.3
14,30,108.9
14,33,124.7
14,34,0.8
15,0,1.2
15,1,137.1
15,4,93.9
15,5,91.6
15,8,109.7
15,9,113.5
15,12,101.8
15,13,113.3
15,16,88.4
15,17,28.3
15,18,73.1
15,21,129.0
15,22,109.5
15,25,61.6
15,26,152.4
15,29,108.1
15,30,104.6
15,33,115.9
15,34,0.9
16,0,1.1
16,1,120.8
16,4,79.1
16,5,82.2
16,8,98.5
16,9,100.3
16,12,86.1
16,13,98.3
16,16,78.6
16,17,19.1
16,18,68.6
16,21,117.3
16,22,98.3
16,25,57.0
16,26,129.8
16,29,93.6
16,30,94.0
16,33,100.9
16,34,1.0
17,0,0.6
17,1,107.7
17,4,68.4
17,5,71.7
17,8,88.0
17,9,86.6
17,12,74.6
17,13,86.2
17,16,70.7
17,17,9.9
17,18,59.6
17,21,106.7
17,22,83.2
17,25,54.7
17,26,108.4
17,29,82.5
17,30,79.0
17,33,87.5
17,34,0.4
18,0,0.7
18,1,90.7
18,4,54.9
18,5,59.7
18,8,69.4
18,9,74.6
18,12,63.0
18,13,73.3
18,16,63.5
18,17,2.9
18,18,53.0
18,21,96.4
18,22,68.4
18,25,52.3
18,26,83.5
18,29,72.3
18,30,68.4
18,33,71.3
18,34,0.5
19,0,0.4
19,1,82.7
19,4,45.0
19,5,46.0
19,8,56.6
19,9,60.8
19,12,53.2
19,13,63.0
19,16,53.2
19,17,0.8
19,18,42.8
19,21,81.2
19,22,54.6
19,25,51.3
19,26,61.2
19,29,57.9
19,30,57.0
19,33,60.7
19,34,0.3
20,0,0.6
20,1,70.2
20,4,30.7
20,5,36.3
20,8,45.4
20,9,46.3
20,12,43.4
20,13,46.0
20,16,41.4
20,17,0.3
20,18,28.3
20,21,65.2
20,22,41.3
20,25,46.0
20,26,41.8
20,29,46.8
20,30,44.0
20,33,50.3
20,34,0.1
21,0,0.3
21,1,60.9
21,4,19.8
21,5,19.6
21,8,33.8
21,9,33.9
21,12,32.0
21,13,33.5
21,16,30.5
21,18,20.8
21,21,51.1
21,22,30.4
21,25,35.2
21,26,28.5
21,29,32.3
21,30,33.2
21,33,38.5
21,34,0.2
22,1,46.5
22,4,14.5
22,5,13.4
22,8,21.6
22,9,20.9
22,12,21.6
22,13,21.5
22,16,19.9
22,18,22.3
22,21,40.9
22,22,18.8
22,25,20.0
22,26,17.3
22,29,20.9
22,30,21.4
22,33,25.6
22,34,0.1
23,1,34.7
23,4,42.8
23,5,7.1
23,8,8.1
23,9,7.3
23,12,7.9
23,13,7.6
23,16,6.6
23,18,32.0
23,21,27.6
23,22,6.8
23,25,6.1
23,26,10.5
23,29,7.9
23,30,7.4
23,33,11.6
24,1,25.3
24,2,30.3
24,3,25.6
24,4,32.2
24,18,29.6
24,19,19.0
24,20,24.1
24,21,18.6
24,26,5.2
24,27,4.1
24,28,3.8
24,29,4.2
24,30,5.0
24,31,4.5
24,32,5.1
24,33,3.5
