tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
0,0.1268,,,,,,,
1,0.5546,,,,,,,
2,0.4082,,,,,,,
3,0.8579,,,,,,,
4,1.1005,,,,,,,
5,0.8432,0.0919,,,,,,
6,0.6827,0.5442,,,,,,
7,0.8664,1.0498,,,,,,
8,1.1095,0.7135,,,,,,
9,1.1401,1.0705,,,,,,
10,1.1059,1.0497,,,,,,
11,1.1181,1.0653,,,,,,
12,1.0308,0.9481,,,,,,
13,1.066,0.7199,,,,,,
14,1.1025,1.046,0.0923,,,,,
15,0.8241,1.0088,0.3369,,,,,
16,1.1032,1.0355,0.7644,,,,,
17,0.8083,0.9123,0.8897,,,,,
18,0.8794,0.9969,1.0806,0.0339,,,,
19,1.0078,1.0355,0.3418,1.2952,,,,
20,1.2137,1.0349,0.8874,0.6979,,,,
21,1.1632,0.7677,0.8826,1.3295,,,,
22,1.1918,0.9682,1.1122,0.0267,,,,
23,1.0431,0.892,1.0288,0.6825,,,,
24,1.047,0.9067,0.8458,0.9719,,,,
25,1.0367,0.7397,0.992,1.0491,,,,
26,1.0067,0.9799,0.7536,1.279,,,,
27,1.0283,0.8823,1.0038,1.2802,,,,
28,0.9309,0.9925,1.1513,1.2802,,,,
29,0.8933,0.9656,0.8953,1.3517,0.0004,,,
30,0.9863,0.9371,0.9586,1.3517,1.0984,,,
31,1.0808,0.9214,1.1794,0.6895,1.0984,,,
32,1.0378,0.9605,1.178,0.8085,1.0984,,,
33,1.0184,0.979,1.0814,1.1806,1.0984,,,
34,0.8431,0.8469,1.1372,0.8595,1.0439,,,
35,0.9471,0.847,1.1131,0.9706,0.5547,,,
36,0.9271,0.644,1.069,0.7095,0.6418,,,
37,0.7317,0.6648,0.8169,0.8941,0.7278,0.1787,,
38,0.4535,1.085,1.0095,0.4819,0.9492,1.1077,,
39,0.3774,0.7434,0.8239,0.6214,0.9989,1.1189,,
40,0.3746,1.1852,1.1102,0.5879,1.0957,1.1189,,
41,0.3816,1.1534,0.9659,0.7911,0.7796,0.9485,,
42,0.4342,0.9395,0.7453,0.8292,1.1012,0.613,0.1065,
43,0.7579,1.1721,0.8019,0.7819,1.0524,1.0938,1.1078,
44,0.5865,1.0136,0.7284,0.793,0.8072,0.5607,1.1181,
45,0.8009,1.0754,0.7649,0.6172,0.7949,1.1839,1.1197,
46,0.8594,0.7681,0.4872,0.3262,1.0467,0.8678,1.1197,
47,0.6734,1.0997,0.6036,0.3907,1.0955,1.2665,1.1197,0.0011
48,0.917,1.0997,0.6964,0.2825,1.0087,1.0816,1.1118,1.1631
49,0.87,1.0997,0.6775,0.5834,0.9114,0.7422,0.861,1.1631
50,0.809,1.0997,1.0195,0.5781,0.8665,1.2665,0.6726,1.1631
51,0.8533,1.0193,0.9564,0.6696,0.7338,1.267,1.1197,1.1631
52,0.7523,0.8618,1.0184,0.5622,1.1076,0.6958,1.1197,1.0634
53,0.7187,1.0217,0.8592,0.5271,1.1249,1.2794,,0.4772
54,0.7085,1.035,0.9007,0.4852,1.1275,1.2803,,1.107
55,0.5901,1.0363,0.9636,0.4961,1.1068,0.8538,,1.1608
56,0.4682,0.6443,0.7088,0.4835,0.9741,0.97,,1.1631
57,0.2943,0.865,0.7912,0.3802,0.7666,1.2497,,1.1631
58,0.2141,0.7727,0.809,0.6747,1.1403,0.9993,,1.1631
59,0.2419,0.7889,0.7679,0.7058,1.0416,1.1546,,1.1615
60,0.2315,0.7908,0.8425,0.643,0.9612,1.106,,1.163
61,0.2372,0.5868,0.8148,0.6438,1.0654,0.9939,,1.1605
62,0.2597,0.7185,0.6357,0.6867,1.164,1.1849,0.1012,1.1631
63,0.1518,0.8658,0.6075,0.6686,1.1743,1.2109,0.5764,1.1592
64,0.4623,0.8714,0.777,0.5967,0.9016,1.2091,0.7555,1.1624
65,0.4095,0.9081,0.7985,0.4106,1.1314,1.2093,1.0828,1.1631
66,0.3986,0.7938,0.8179,0.3996,1.1314,0.7733,0.6109,1.1521
67,0.4019,0.802,0.8189,0.4025,1.0802,0.9675,1.0974,1.1627
68,0.6057,0.8129,0.5798,0.4205,1.1314,0.9513,0.9934,1.1594
69,0.5529,0.8113,0.4192,0.4049,0.7863,0.968,1.0839,1.1266
70,0.4548,0.8045,0.5279,0.3768,1.0338,0.774,1.0839,1.1524
71,0.3903,0.7725,0.4449,0.3015,1.1201,0.7747,1.0839,0.8932
72,0.3618,0.7808,0.5055,0.3639,0.8133,0.4267,,0.8729
73,0.4778,0.77,0.4305,0.22,1.0785,0.5676,,1.1631
74,0.4196,0.7295,0.5969,0.1842,0.769,0.8874,0.115,1.1631
75,0.4387,0.4564,0.6042,0.1348,1.0407,0.9,0.5637,0.6274
76,0.492,0.4519,0.5229,0.4014,1.0407,0.7206,1.1973,1.353
77,0.3969,0.3798,0.3599,0.3399,1.0407,0.8346,0.7891,1.3593
78,0.5912,0.3504,0.5102,0.2719,0.98,0.944,0.9625,1.3588
79,0.6143,0.4566,0.6423,0.39,1.0388,0.7448,0.7412,1.1439
80,0.4797,0.437,0.6633,0.4277,1.018,0.9704,1.0216,0.7905
81,0.4889,0.3752,0.5744,0.3656,0.7293,0.9766,0.952,1.2472
82,0.4348,0.2389,0.5229,0.4571,0.6487,0.802,0.5953,1.359
83,0.4204,0.2696,0.4962,0.6152,1.1068,0.9875,0.9454,1.3593
84,0.3345,0.3674,0.4882,0.6135,0.9059,1.1092,0.9458,1.5556
