episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
1,0.6383965689212869,287.3333333333333,1623.2837356943426,0.47739518500276124,252,0.9971375411478459,0.2181469242735259,0.6845280732371886,0.08,0.3,291.0,287.3333333333333,3,5,1,[17],3,23,6,0
2,0.5748950452664903,211.0,975.9284362378048,0.6283724978241949,240,0.669386002576213,0.6186360297423048,0.47122108892733744,0.08,0.3,286.3333333333333,211.0,2,1,3,"[8, 17, 26]",4,19,19,1
3,0.5993392712406104,240.33333333333334,1305.0294020506685,0.5438978970795294,288,0.795334192070989,0.4150363194781674,0.5905702944396587,0.08,0.3,300.0,240.33333333333334,2,5,2,"[11, 23]",5,22,18,0
4,0.7713925077662849,282.3333333333333,1311.361732200903,0.33310277747757483,240,0.9756690997566909,0.4111187965359294,0.8883903471962469,0.08,0.3,286.0,282.3333333333333,2,3,4,"[7, 14, 21, 28]",6,20,6,0
5,0.623307129197541,260.3333333333333,1409.232209289358,0.5128516271373414,320,0.8812079576356089,0.35057081020776687,0.6344337471113208,0.08,0.3,290.3333333333333,260.3333333333333,2,5,2,"[11, 23]",4,23,4,0
6,0.7139746872270029,291.0,1449.0110699124543,0.40241326220058005,240,1.0,0.3259614491337395,0.7904656312172025,0.08,0.3,293.6666666666667,291.0,3,5,2,"[11, 23]",3,22,7,0
7,0.7878664371241539,297.6666666666667,1443.9534865082335,0.27332395686826066,304,1.0,0.3290903445874271,0.9728483343698147,0.08,0.3,300.6666666666667,297.6666666666667,2,3,4,"[7, 14, 21, 28]",2,22,7,1
8,0.7099169612551071,306.3333333333333,1493.4616153166228,0.39499535614774595,288,1.0,0.2984619304282315,0.8009459553165938,0.08,0.3,309.0,306.3333333333333,2,3,2,"[11, 23]",5,22,5,0
9,0.7059972231998358,283.0,1311.6975623384405,0.45022791560816533,256,0.978531558608845,0.41091103379499744,0.7229111136967077,0.08,0.3,285.3333333333333,283.0,2,3,2,"[11, 23]",4,19,18,0
10,0.7490003415295357,284.6666666666667,1380.7667051880405,0.35525042342124363,256,0.98568770573923,0.3681811152192884,0.8570992381049504,0.08,0.3,289.3333333333333,284.6666666666667,2,1,4,"[7, 14, 21, 28]",6,23,19,1
11,0.7477355492485828,265.6666666666667,1270.208286490304,0.35049051107398366,272,0.9041076284528411,0.43657855051250466,0.8638242388974476,0.08,0.3,269.3333333333333,265.6666666666667,2,3,4,"[7, 14, 21, 28]",5,21,12,0
12,0.6346312125487176,281.3333333333333,1684.7652997536009,0.45019108280254777,240,0.97137541147846,0.18011109354257362,0.7229631526060187,0.08,0.3,286.0,281.3333333333333,2,3,1,[17],7,23,8,1
13,0.7514186559602584,281.3333333333333,1275.7862606383785,0.37785023094446885,272,0.97137541147846,0.4331277131149184,0.8251692964556122,0.08,0.3,284.0,281.3333333333333,2,3,3,"[8, 17, 26]",3,21,20,1
14,0.8004562276472365,294.0,1375.4207523095856,0.2735533343675894,264,1.0,0.37148841167297936,0.9725242603633564,0.08,0.3,298.0,294.0,3,3,4,"[7, 14, 21, 28]",2,23,17,0
15,0.6390143281009084,282.3333333333333,1427.9538338514378,0.529053871345732,272,0.9756690997566909,0.338988597657589,0.6115425471915611,0.08,0.3,291.0,282.3333333333333,2,3,1,[17],3,19,7,0
16,0.6260927198441664,273.3333333333333,1492.0526755650328,0.5103542193999141,256,0.9370259052526119,0.29933357698962887,0.6379621879287354,0.08,0.3,285.6666666666667,273.3333333333333,2,5,1,[17],5,21,21,1
17,0.6269608269635365,277.6666666666667,1453.6077481475493,0.5313206981796389,272,0.9556318877916131,0.32311769462049694,0.6083398805997585,0.08,0.3,287.6666666666667,277.6666666666667,2,3,1,[17],2,20,18,1
18,0.6885826729054647,284.3333333333333,1546.3752367967288,0.4070113203609995,240,0.9842564763131529,0.2657266937638038,0.7839693047059444,0.08,0.3,298.0,284.3333333333333,2,5,3,"[8, 17, 26]",7,23,7,1
19,0.7279083159806039,278.0,1396.4856656168358,0.3722149410222805,256,0.95706311721769,0.3584565135881404,0.8331310668471371,0.08,0.3,280.6666666666667,278.0,2,5,3,"[8, 17, 26]",4,21,11,1
20,0.6716879137637015,263.0,1206.7052593595854,0.4998324958123953,256,0.892657793044225,0.4758649679582131,0.6528277136574252,0.08,0.3,292.6666666666667,263.0,2,5,4,"[7, 14, 21, 28]",4,20,20,1
21,0.5197596728983799,199.33333333333334,1167.6019282159275,0.6363945902510113,256,0.619292972663518,0.500056409850664,0.45988714536031317,0.08,0.3,302.0,199.33333333333334,2,5,1,[17],3,20,3,1
22,0.43588074993884107,139.66666666666666,784.2748117535854,0.7747080492201583,272,0.3631029053957349,0.7372033585244606,0.2644721769069561,0.08,0.3,297.3333333333333,139.66666666666666,2,1,1,[17],4,20,11,0
23,0.5037577068362207,189.33333333333334,1091.0440195398012,0.667059328963233,240,0.576356089881208,0.5474192852113852,0.4165627357711067,0.08,0.3,281.0,189.33333333333334,2,1,1,[17],7,21,15,0
24,0.6256664213862468,271.0,1501.3780408853988,0.502727679236846,240,0.927007299270073,0.2935644001273119,0.6487372789175787,0.08,0.3,280.3333333333333,271.0,2,5,1,[17],4,20,13,1
25,0.6630262652920462,268.6666666666667,1358.2924166924029,0.47829240318445554,240,0.9169886932875341,0.3820849292503489,0.6832604463267034,0.08,0.3,275.3333333333333,268.6666666666667,2,5,2,"[11, 23]",6,20,17,0
26,0.712179162008416,284.3333333333333,1486.6313720284295,0.3848781722218205,240,0.9842564763131529,0.30268748944801416,0.8152399307001648,0.08,0.3,284.6666666666667,284.3333333333333,2,3,2,"[11, 23]",6,22,12,1
27,0.714555301699668,283.6666666666667,1458.617127264007,0.38835425635830834,304,0.9813940174609991,0.3200186209541682,0.8103287754377944,0.08,0.3,288.0,283.6666666666667,2,5,3,"[8, 17, 26]",3,23,12,1
28,0.7737722249126694,288.3333333333333,1380.2184904146761,0.3191946251647744,256,1.0,0.3685202706172187,0.9080403593187594,0.08,0.3,293.0,288.3333333333333,2,3,4,"[7, 14, 21, 28]",6,21,17,0
29,0.6486772094920027,281.3333333333333,1521.913550928807,0.47881899871630296,320,0.97137541147846,0.2808600196201407,0.6825164504060562,0.08,0.3,289.0,281.3333333333333,2,3,1,[17],2,22,22,1
30,0.7515920328257629,287.0,1442.1967412706417,0.3358085808580858,304,0.995706311721769,0.33017716248994566,0.8845674764056213,0.08,0.3,289.6666666666667,287.0,2,3,3,"[8, 17, 26]",5,23,7,0
31,0.685706178976758,259.3333333333333,1252.5937688559916,0.4515997988161102,336,0.8769142693573779,0.44747584665969325,0.7209728604290917,0.08,0.3,278.6666666666667,259.3333333333333,2,1,4,"[7, 14, 21, 28]",2,22,2,0
32,0.7269876536348809,287.6666666666667,1399.3476383173982,0.39493721492304057,264,0.9985687705739231,0.3566859420215115,0.8010280996406266,0.08,0.3,290.3333333333333,287.6666666666667,3,3,2,"[11, 23]",2,23,2,0
33,0.4832381141142497,181.33333333333334,1055.9493892470264,0.6966595632049734,320,0.54200658365536,0.5691307272966052,0.37474230207165043,0.08,0.3,297.6666666666667,181.33333333333334,2,1,1,[17],2,21,12,0
34,0.5981152287313611,258.3333333333333,1424.0783990508044,0.5479940912348442,256,0.8726205810791469,0.3413861518568228,0.5847830221264254,0.08,0.3,297.0,258.3333333333333,2,1,1,[17],3,20,4,1
