row,col,avg_count
0,1,0.3
0,2,1.8
0,3,8.9
0,4,14.7
0,5,184.5
0,6,3697.1
0,7,1762.2
0,8,3910.4
0,9,472.9
0,10,417.9
0,11,378.3
0,12,404.5
0,13,1715.4
0,14,820.4
0,15,994.2
0,16,347.0
0,17,339.6
0,18,352.5
0,19,351.1
0,20,2353.4
0,21,1228.1
0,22,1965.8
0,23,349.5
0,24,324.6
0,25,335.4
0,26,368.7
0,27,1315.6
0,28,1067.2
0,29,2289.8
0,30,51.9
0,31,6.6
0,32,0.8
0,33,0.1
1,0,0.1
1,1,1.5
1,2,413.8
1,3,1139.8
1,4,411.8
1,5,296.6
1,6,859.2
1,7,8245.1
1,8,1648.4
1,9,1195.5
1,10,869.7
1,11,558.4
1,12,984.9
1,13,1601.9
1,14,2435.9
1,15,1465.4
1,16,717.6
1,17,693.0
1,18,703.7
1,19,1171.7
1,20,2015.3
1,21,4518.3
1,22,1959.2
1,23,543.7
1,24,714.1
1,25,1233.3
1,26,679.1
1,27,774.8
1,28,5212.3
1,29,432.8
1,30,379.3
1,31,774.8
1,32,369.4
1,33,1.2
1,34,0.1
2,0,0.1
2,1,11.3
2,2,1158.8
2,5,22.3
2,6,161.3
2,7,930.1
2,10,675.0
2,11,39.4
2,12,648.9
2,15,620.2
2,16,38.3
2,17,25.7
2,18,42.8
2,19,751.7
2,22,838.4
2,23,67.4
2,24,732.2
2,27,385.3
2,28,511.6
2,29,56.5
2,32,783.9
2,33,6.4
2,34,0.2
3,0,0.1
3,1,13.4
3,2,396.4
3,5,24.6
3,6,175.9
3,7,626.1
3,10,318.0
3,11,59.3
3,12,427.0
3,15,376.6
3,16,53.0
3,17,24.4
3,18,57.8
3,19,365.1
3,22,616.3
3,23,93.1
3,24,98.7
3,27,331.4
3,28,422.2
3,29,54.7
3,32,381.8
3,33,7.8
4,1,14.4
4,2,365.4
4,5,32.0
4,6,205.6
4,7,536.1
4,10,289.2
4,11,78.6
4,12,383.5
4,15,309.6
4,16,81.4
4,17,31.5
4,18,81.6
4,19,310.0
4,22,532.3
4,23,132.0
4,24,91.2
4,27,300.5
4,28,398.6
4,29,67.9
4,32,356.1
4,33,8.7
5,1,14.9
5,2,345.7
5,5,36.6
5,6,238.5
5,7,462.7
5,10,268.9
5,11,100.0
5,12,341.0
5,15,268.4
5,16,92.2
5,17,42.8
5,18,88.4
5,19,264.8
5,22,461.9
5,23,162.0
5,24,78.3
5,27,278.6
5,28,372.8
5,29,79.0
5,32,332.7
5,33,9.6
6,1,14.6
6,2,318.7
6,5,42.9
6,6,264.6
6,7,384.4
6,10,244.6
6,11,115.8
6,12,298.9
6,15,250.9
6,16,79.4
6,17,54.7
6,18,74.4
6,19,253.9
6,22,391.6
6,23,192.7
6,24,77.8
6,27,252.3
6,28,338.7
6,29,94.7
6,32,317.0
6,33,10.8
7,1,13.4
7,2,302.6
7,5,49.2
7,6,273.8
7,7,320.3
7,10,221.9
7,11,142.8
7,12,251.3
7,15,237.0
7,16,67.8
7,17,66.2
7,18,62.9
7,19,235.5
7,22,319.0
7,23,220.7
7,24,73.5
7,27,227.1
7,28,312.3
7,29,108.6
7,32,294.2
7,33,10.1
8,1,12.0
8,2,282.8
8,5,57.1
8,6,249.3
8,7,292.7
8,10,205.2
8,11,135.2
8,12,234.0
8,15,222.6
8,16,60.1
8,17,72.3
8,18,54.4
8,19,222.1
8,22,268.9
8,23,231.9
8,24,68.7
8,27,217.3
8,28,260.3
8,29,129.8
8,32,274.6
8,33,8.7
9,1,8.8
9,2,261.5
9,5,64.2
9,6,228.8
9,7,268.8
9,10,199.0
9,11,118.2
9,12,223.0
9,15,207.4
9,16,37.7
9,17,96.7
9,18,36.0
9,19,205.9
9,22,229.1
9,23,224.4
9,24,74.9
9,27,223.2
9,28,214.0
9,29,136.9
9,32,261.2
9,33,6.6
10,1,7.0
10,2,242.3
10,5,69.3
10,6,204.6
10,7,245.8
10,10,188.0
10,11,103.9
10,12,203.8
10,15,199.4
10,16,23.3
10,17,104.6
10,18,25.4
10,19,191.3
10,22,210.6
10,23,197.7
10,24,76.9
10,27,222.8
10,28,156.0
10,29,153.2
10,32,239.3
10,33,6.6
11,1,6.4
11,2,228.9
11,5,75.1
11,6,171.0
11,7,229.5
11,10,174.8
11,11,91.2
11,12,190.2
11,15,179.3
11,16,23.5
11,17,90.3
11,18,27.2
11,19,178.8
11,22,193.7
11,23,169.4
11,24,81.6
11,27,224.1
11,28,103.0
11,29,161.3
11,32,219.9
11,33,5.6
12,1,5.1
12,2,204.6
12,5,79.7
12,6,152.0
12,7,208.8
12,10,161.1
12,11,79.7
12,12,177.8
12,15,161.8
12,16,26.1
12,17,70.5
12,18,27.9
12,19,162.5
12,22,174.8
12,23,146.7
12,24,77.5
12,27,206.5
12,28,79.2
12,29,160.8
12,32,197.2
12,33,6.0
13,1,3.9
13,2,181.4
13,5,82.4
13,6,123.5
13,7,185.1
13,10,154.6
13,11,63.1
13,12,157.9
13,15,152.1
13,16,28.1
13,17,56.5
13,18,32.0
13,19,146.7
13,22,159.0
13,23,118.2
13,24,81.1
13,27,185.7
13,28,63.5
13,29,145.3
13,32,179.8
13,33,4.0
14,1,3.0
14,2,162.1
14,5,90.5
14,6,96.5
14,7,164.3
14,10,142.9
14,11,50.1
14,12,143.5
14,15,133.1
14,16,42.4
14,17,20.4
14,18,45.5
14,19,132.5
14,22,146.6
14,23,96.1
14,24,85.6
14,27,166.2
14,28,50.5
14,29,135.1
14,32,157.0
14,33,2.2
15,1,1.7
15,2,136.3
15,5,97.5
15,6,69.7
15,7,145.5
15,10,130.3
15,11,34.2
15,12,122.7
15,15,117.2
15,16,45.7
15,17,0.7
15,18,47.0
15,19,116.7
15,22,132.0
15,23,67.8
15,24,95.2
15,27,147.3
15,28,36.8
15,29,126.5
15,32,140.8
15,33,2.0
16,1,1.6
16,2,118.6
16,5,112.1
16,6,36.9
16,7,125.9
16,10,126.5
16,11,15.9
16,12,108.7
16,15,100.0
16,16,37.7
16,17,0.4
16,18,41.1
16,19,105.5
16,22,113.3
16,23,36.3
16,24,97.9
16,27,119.9
16,28,19.7
16,29,120.7
16,32,116.7
16,33,1.3
17,1,1.3
17,2,97.6
17,5,123.6
17,6,8.6
17,7,109.4
17,10,113.1
17,11,3.6
17,12,97.5
17,15,91.2
17,16,32.2
17,17,0.2
17,18,33.5
17,19,92.5
17,22,98.6
17,23,17.5
17,24,93.7
17,27,102.9
17,28,8.6
17,29,109.2
17,32,96.5
17,33,0.4
18,1,0.7
18,2,77.1
18,5,106.6
18,6,3.3
18,7,85.0
18,10,95.9
18,11,1.0
18,12,80.2
18,15,76.6
18,16,25.5
18,17,0.1
18,18,27.8
18,19,77.8
18,22,81.2
18,23,3.7
18,24,89.1
18,27,82.8
18,28,2.8
18,29,92.2
18,32,80.5
18,33,0.4
19,1,0.6
19,2,59.9
19,5,87.7
19,6,2.1
19,7,64.9
19,10,74.8
19,11,0.7
19,12,58.9
19,15,75.5
19,16,7.0
19,18,7.3
19,19,78.9
19,22,64.2
19,23,1.4
19,24,68.8
19,27,66.3
19,28,1.5
19,29,77.2
19,32,64.1
19,33,0.5
20,1,0.6
20,2,38.8
20,5,70.0
20,6,1.3
20,7,47.1
20,10,57.5
20,11,0.1
20,12,42.5
20,15,62.0
20,16,0.3
20,18,0.6
20,19,66.7
20,22,45.7
20,23,0.5
20,24,51.2
20,27,43.4
20,28,0.8
20,29,57.2
20,32,45.5
20,33,0.1
21,2,16.6
21,5,50.5
21,6,0.8
21,7,27.8
21,10,36.6
21,11,0.1
21,12,30.3
21,15,42.8
21,16,0.1
21,18,0.4
21,19,48.0
21,22,33.3
21,23,0.2
21,24,33.4
21,27,25.0
21,28,0.3
21,29,37.7
21,32,26.5
22,1,0.1
22,2,11.0
22,5,31.2
22,7,13.2
22,10,24.2
22,11,4.0
22,12,20.3
22,15,33.2
22,16,0.1
22,18,0.1
22,19,40.1
22,22,23.2
22,23,5.0
22,24,22.6
22,27,11.0
22,29,23.1
22,32,12.6
23,2,16.4
23,3,17.9
23,4,16.9
23,5,16.5
23,7,5.2
23,8,9.9
23,9,8.1
23,10,11.3
23,11,0.9
23,12,15.6
23,13,19.4
23,14,17.5
23,15,21.7
23,19,29.7
23,20,20.5
23,21,21.8
23,22,18.8
23,23,1.3
23,24,9.7
23,25,7.0
23,26,8.1
23,27,4.8
23,29,10.2
23,30,7.2
23,31,9.0
23,32,6.1
