tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
0,0.0762,,,,,,,
1,0.5634,0.0363,,,,,,
2,0.5309,1.2344,,,,,,
3,1.0781,1.0977,,,,,,
4,1.0186,0.7235,,,,,,
5,0.9383,1.1189,0.0731,,,,,
6,1.0998,1.2371,0.7065,,,,,
7,1.1169,0.829,1.2132,,,,,
8,1.1501,0.4123,1.0031,0.0428,,,,
9,1.0477,0.7138,0.9449,1.0789,,,,
10,0.9392,1.0289,0.763,1.0792,,,,
11,0.9812,0.9571,0.843,0.7455,,,,
12,0.9891,1.044,0.5827,0.7643,,,,
13,1.0084,1.0462,0.4342,1.0791,,,,
14,0.8672,0.9427,0.5984,1.0792,,,,
15,0.725,1.0056,0.8272,1.0792,,,,
16,0.9886,1.0482,0.7396,,,,,
17,1.0206,1.0474,0.7672,,,,,
18,1.2039,0.6327,0.8458,0.0339,,,,
19,1.222,1.0903,0.8341,0.5047,0.0188,,,
20,1.1394,0.855,1.1327,1.238,1.1907,,,
21,1.1364,0.91,1.0385,1.2388,0.7938,0.0002,,
22,1.1992,0.9845,1.0782,0.9926,1.0958,0.6615,,
23,1.2587,0.9365,0.8967,1.0844,0.822,1.2559,0.0126,
24,1.2588,0.9408,1.1492,0.9281,1.0839,1.256,1.0839,
25,1.2083,1.1054,1.1433,1.2853,0.9926,0.9936,0.5906,0.0003
26,1.2443,1.0937,1.1492,0.905,1.0739,1.1558,1.039,1.236
27,1.214,0.827,0.8745,0.953,0.9696,0.7557,0.8927,1.236
28,1.2434,1.0786,0.912,0.9278,0.5971,1.0378,0.8263,1.0334
29,0.8358,1.1402,1.058,1.0319,1.0709,0.8083,1.0839,0.6903
30,1.2018,1.1241,0.7142,0.8294,1.0592,1.1376,1.0839,1.2356
31,0.9318,1.0712,1.1197,1.0074,1.0232,1.2528,1.0838,1.236
32,1.0109,0.8365,1.0485,1.2522,0.9376,0.8461,0.8909,1.236
33,1.1451,1.1106,1.0862,1.2503,1.0004,1.2121,0.3929,1.236
34,1.1753,0.9943,0.9601,1.2267,0.8916,1.0988,1.1046,1.236
35,0.9564,1.1268,1.1065,0.7763,1.0752,1.0862,0.9127,1.236
