episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
1,0.45160000488191687,192.0,984.444472049359,0.6945911438686089,272,0.3942671714440238,0.717716226597011,0.2950124636740162,0.1,0.3,358.6666666666667,192.0,2,1,4,"[7, 14, 21, 28]",5,21,7,0
2,0.7310316619512824,350.0,1567.1471052404584,0.3296263924274264,256,0.9639444744907157,0.38238569228302066,0.8178315297979036,0.1,0.3,359.3333333333333,350.0,2,5,3,"[8, 17, 26]",3,20,13,1
3,0.6114090780104308,305.6666666666667,1706.2998144941896,0.4127755005049605,336,0.8040983113995555,0.30230684985570316,0.6987188240846329,0.1,0.3,369.6666666666667,305.6666666666667,2,5,1,[17],3,23,21,0
4,0.776738611070252,360.6666666666667,1787.1226411554264,0.2024213760206969,240,1.0,0.25579537023417337,1.0,0.1,0.3,367.3333333333333,360.6666666666667,2,3,4,"[7, 14, 21, 28]",7,23,9,1
5,0.4878381972227325,223.33333333333334,1146.2774167650605,0.6417380694895045,288,0.5072411513731145,0.6245854859241343,0.37072551508389445,0.1,0.3,374.3333333333333,223.33333333333334,2,1,1,[17],2,21,13,1
6,0.7273229505260494,360.0,1687.0649074471057,0.31884551912176223,240,1.0,0.31337604928982216,0.8332753393477572,0.1,0.3,365.3333333333333,360.0,3,3,2,"[11, 23]",4,23,11,0
7,0.6494840813423222,327.3333333333333,1645.3332464754496,0.4055967155868057,352,0.8822186166696713,0.3373915580147439,0.7090025723424939,0.1,0.3,376.0,327.3333333333333,2,5,3,"[8, 17, 26]",2,23,10,0
8,0.7141374247180858,362.3333333333333,1760.1634694254317,0.3198326213930782,256,1.0,0.27130968739346617,0.8318612962501148,0.1,0.3,373.6666666666667,362.3333333333333,2,5,3,"[8, 17, 26]",7,23,23,1
9,0.7580707074943128,366.6666666666667,1733.1498756486428,0.2513002272989945,304,1.0,0.2868553230555259,0.9300352764441375,0.1,0.3,369.6666666666667,366.6666666666667,2,3,3,"[8, 17, 26]",4,22,10,0
10,0.6991827956271115,345.6666666666667,1588.1638240488594,0.37069612054271495,272,0.9483204134366926,0.37029110553136485,0.7589983498417359,0.1,0.3,358.6666666666667,345.6666666666667,2,1,2,"[11, 23]",3,21,7,1
11,0.5751803070271065,272.6666666666667,1346.2636648851221,0.5221829111744263,336,0.6851150772189172,0.5094984902290978,0.5419905919817551,0.1,0.3,364.0,272.6666666666667,2,5,4,"[7, 14, 21, 28]",2,22,11,0
12,0.5873841366692195,287.0,1459.1377907900144,0.4939340611421719,336,0.7367946637822247,0.44454230367021697,0.5824576160837174,0.1,0.3,374.3333333333333,287.0,2,5,3,"[8, 17, 26]",2,22,17,0
13,0.5734795637438438,264.0,1210.7795700034314,0.5496111640488119,288,0.6538669551108708,0.5874661384597608,0.5026990891816356,0.1,0.3,361.0,264.0,2,1,2,"[11, 23]",2,21,14,1
14,0.5104642427409504,233.0,1130.1534146978,0.6253573879231473,288,0.5420948260320895,0.6338644387218664,0.3941911582869089,0.1,0.3,376.0,233.0,2,1,2,"[11, 23]",2,21,20,1
15,0.5640570570605112,271.3333333333333,1320.0632964023648,0.5469719699960521,304,0.6803076738176792,0.5245761354328481,0.5064797857133827,0.1,0.3,367.0,271.3333333333333,2,1,4,"[7, 14, 21, 28]",5,23,16,0
