tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6
0,0.1136,,,,,
1,0.3087,,,,,
2,0.8289,,,,,
3,0.8507,,,,,
4,0.5188,,,,,
5,0.5831,,,,,
6,1.001,,,,,
7,1.1573,0.0671,,,,
8,0.9326,0.5914,,,,
9,1.1274,0.5355,,,,
10,1.1114,0.3706,,,,
11,1.1752,0.7478,,,,
12,1.1202,0.7054,,,,
13,1.1407,0.786,,,,
14,1.0734,0.8035,,,,
15,1.1426,0.649,,,,
16,1.1205,0.955,0.0,,,
17,0.8551,1.0229,1.2316,,,
18,1.083,0.8405,1.2319,,,
19,0.9226,0.9983,1.2319,,,
20,0.974,1.0514,1.2319,0.0004,,
21,1.1351,1.0715,0.3901,1.3739,,
22,1.1438,1.0711,1.0708,0.8443,,
23,1.0093,0.8495,1.1057,,,
24,1.1848,0.9038,0.5399,,,
25,0.9645,0.9235,0.8616,0.0005,,
26,1.0278,0.904,1.017,1.2802,,
27,1.2182,0.9325,1.0838,0.4393,,
28,1.0516,1.0189,0.9662,0.242,,
29,0.9894,0.8931,1.1603,0.6148,,
30,0.7888,1.0249,1.1737,0.6642,,
31,0.9128,1.0033,0.8854,0.6842,0.0,
32,1.0648,0.9533,1.0847,0.0477,1.1357,
33,1.0746,0.9494,1.1698,0.0247,0.5679,
34,1.0735,1.0016,1.0868,0.8491,1.0984,
35,1.0369,1.0158,1.1792,0.7079,1.0984,
36,1.0493,0.8972,1.1233,0.3602,1.0781,
37,0.9851,1.0,1.0353,0.8483,0.8074,
38,0.6802,0.8457,1.212,0.4982,1.0313,
39,0.7669,0.6622,0.7791,0.7386,1.0677,
40,0.7276,0.9463,0.8636,0.4928,1.0299,0.1326
41,0.7292,0.986,0.9256,0.8993,1.0937,1.1181
42,0.7941,0.8197,1.1338,0.4284,1.0937,1.1189
43,0.4207,1.0178,1.1391,0.8369,0.5492,1.1189
44,0.8003,0.8854,1.157,0.8284,1.0969,1.1189
45,0.6278,1.0207,1.1564,0.8354,0.8336,1.1189
46,0.902,0.757,0.7718,0.7769,0.9166,0.5593
47,0.7456,0.9332,1.1375,0.7692,1.0324,1.1924
48,0.7759,0.796,0.8795,0.3292,0.9362,0.6683
49,0.9773,0.9749,0.8038,0.8371,0.8968,1.0615
50,0.8994,0.9342,1.1754,0.6812,0.9229,1.193
51,0.7706,0.9425,1.1756,0.8564,0.8956,0.9133
52,0.9788,0.9419,1.125,0.7395,0.9087,1.1776
53,0.9555,0.8387,1.1795,0.8722,1.1222,0.832
54,1.0536,0.864,0.6372,1.0089,1.069,1.1891
55,0.9935,0.8383,0.8894,0.8003,1.0338,0.8921
56,0.9414,0.7095,1.0604,0.8117,1.0946,1.1731
57,0.9151,0.7083,1.0247,0.9831,1.1239,0.9385
58,0.6375,0.8422,0.9016,0.8985,1.1311,1.2022
59,0.6635,0.7472,0.9865,0.9541,0.906,1.2204
60,0.5432,0.7433,0.9189,0.9126,1.1313,1.2218
61,0.3725,0.6958,0.9949,0.8719,0.9278,1.1699
62,0.3487,0.5287,0.879,0.9196,0.924,1.0765
63,0.372,0.5084,1.0207,0.853,0.9638,1.222
64,0.3164,0.768,1.1427,0.9509,1.0939,1.1259
65,0.294,0.5847,0.9818,0.9805,1.048,1.1627
66,0.4201,0.6721,0.7513,0.9581,1.0552,1.2504
67,0.3467,0.6904,0.9573,0.9644,1.0961,0.9415
68,0.2831,0.6516,0.9241,0.9715,1.113,0.5512
69,0.6432,0.5034,0.6921,0.9726,1.0535,0.685
70,0.8799,0.5682,0.8656,0.7686,1.112,0.9189
71,1.1695,0.6591,0.9723,0.7612,0.9334,1.0775
72,1.1127,0.6656,0.9721,0.6731,0.7402,1.1154
73,1.1125,0.6579,0.877,0.678,1.0731,1.1046
74,1.1716,0.6406,0.736,0.427,1.0731,0.8123
75,1.1716,0.6505,0.6995,0.8845,1.0606,0.9864
76,1.1447,0.6408,0.8968,0.6661,1.0677,1.1787
77,0.6481,0.5677,0.8708,0.8744,0.8852,0.6357
78,1.0174,0.5639,0.8993,0.4202,1.0166,1.0217
79,0.9557,0.5353,0.9135,0.8716,0.6108,0.9756
80,0.9801,0.6492,0.8213,0.3257,1.0207,0.881
81,1.1463,0.5165,0.6737,0.9601,0.8415,0.8394
