tick,arrivals,completions
0,0.1,0.0
1,0.1,0.0
2,0.1,0.0
3,0.0,0.0
4,0.2,0.0
5,0.0,0.0
6,0.0,0.0
7,0.1,0.0
8,0.2,0.0
9,0.0,0.0
10,0.1,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.1,0.0
16,0.1,0.0
17,0.2,0.0
18,0.1,0.0
19,0.1,0.0
20,0.1,0.0
21,0.2,0.0
22,0.0,0.0
23,0.1,0.1
24,0.3,0.0
25,0.3,0.0
26,0.1,0.0
27,0.0,0.0
28,0.1,0.0
29,0.1,0.0
30,0.0,0.2
31,0.2,0.1
32,0.0,0.0
33,0.2,0.1
34,0.0,0.0
35,0.0,0.0
36,0.1,0.0
37,0.0,0.0
38,0.0,0.1
39,0.0,0.2
40,0.2,0.1
41,0.1,0.0
42,0.0,0.2
43,0.2,0.1
44,0.0,0.1
45,0.1,0.1
46,0.4,0.2
47,0.0,0.1
48,0.1,0.4
49,0.0,0.1
50,0.2,0.0
51,0.1,0.0
52,0.0,0.1
53,0.1,0.0
54,0.1,0.1
55,0.3,0.0
56,0.2,0.1
57,0.1,0.1
58,0.1,0.0
59,0.2,0.0
60,0.0,0.0
61,0.0,0.1
62,0.1,0.1
63,0.1,0.2
64,0.1,0.0
65,0.1,0.0
66,0.0,0.1
67,0.0,0.0
68,0.2,0.1
69,0.1,0.2
70,0.0,0.0
71,0.0,0.0
72,0.0,0.1
73,0.0,0.0
74,0.0,0.2
75,0.0,0.1
76,0.1,0.0
77,0.3,0.1
78,0.1,0.0
79,0.2,0.1
80,0.1,0.3
81,0.2,0.2
82,0.0,0.0
83,0.1,0.0
84,0.1,0.3
85,0.2,0.0
86,0.0,0.0
87,0.0,0.2
88,0.1,0.0
89,0.1,0.0
90,0.0,0.2
91,0.0,0.1
92,0.3,0.0
93,0.3,0.0
94,0.1,0.1
95,0.1,0.2
96,0.0,0.0
97,0.2,0.1
98,0.1,0.0
99,0.0,0.0
100,0.1,0.1
101,0.0,0.0
102,0.1,0.0
103,0.0,0.0
104,0.1,0.1
105,0.1,0.1
106,0.0,0.2
107,0.1,0.0
108,0.0,0.1
109,0.0,0.3
110,0.0,0.0
111,0.3,0.0
112,0.0,0.2
113,0.4,0.0
114,0.1,0.0
115,0.2,0.1
116,0.0,0.1
117,0.1,0.1
118,0.1,0.0
119,0.2,0.1
120,0.1,0.1
121,0.1,0.2
122,0.0,0.2
