episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
1,0.5615415077334711,180.33333333333334,1170.8309708904333,0.5697167539162802,304,0.5866129135470661,0.6631755368504292,0.4665124315355565,0.08,0.3,287.0,180.33333333333334,2,1,2,"[11, 23]",3,21,18,0
2,0.6940163072549308,276.3333333333333,1963.8090110988285,0.2764766340834044,304,0.9552057336660906,0.25876689752113624,0.8245612947469069,0.08,0.3,282.3333333333333,276.3333333333333,2,3,1,[17],5,23,8,0
3,0.6811306496644948,265.0,1648.4232785827578,0.3749282592380027,272,0.9116913035131503,0.41960957976890395,0.7043509616996962,0.08,0.3,269.6666666666667,265.0,2,3,1,[17],2,18,5,0
4,0.5701995396241093,205.0,1476.8048947130449,0.5143148282416571,240,0.6813207909387599,0.5071327564339267,0.5341586885307584,0.08,0.3,273.3333333333333,205.0,2,1,1,[17],7,23,17,1
5,0.6904224549591125,274.6666666666667,1977.215615846815,0.27570460675827796,240,0.9488065527612466,0.25192970089115896,0.8255039471584771,0.08,0.3,306.6666666666667,274.6666666666667,2,1,1,[17],6,22,7,1
6,0.6706498364805935,245.66666666666666,1670.7664358665925,0.34379263301500684,272,0.8374608050169579,0.40821485585813666,0.7423678455451631,0.08,0.3,279.0,245.66666666666666,2,5,4,"[7, 14, 21, 28]",7,23,21,0
7,0.6793389895480323,257.3333333333333,1453.2072606481563,0.4216684723726977,272,0.882255071350867,0.519167247428235,0.6472807347857542,0.08,0.3,301.0,257.3333333333333,2,5,4,"[7, 14, 21, 28]",2,18,17,0
8,0.7260676275864713,265.0,1431.1221993990223,0.3509916074196825,240,0.9116913035131503,0.5304303456685333,0.7335778320799157,0.08,0.3,284.0,265.0,2,1,3,"[8, 17, 26]",4,18,7,0
9,0.7090679379343756,260.0,1764.8112814441536,0.2694755912451648,256,0.8924937607986178,0.36025318969905873,0.8331096319626817,0.08,0.3,289.6666666666667,260.0,2,5,4,"[7, 14, 21, 28]",8,23,11,0
10,0.7659242790146874,285.0,1559.9298026382478,0.2762037384178673,272,0.9884814743712804,0.46474011855007097,0.8248945028457051,0.08,0.3,289.3333333333333,285.0,2,3,2,"[11, 23]",2,18,11,0
11,0.7489754266204834,283.3333333333333,1753.6154442788318,0.24630211822913983,256,0.9820822934664363,0.36596292319053125,0.861404654058483,0.08,0.3,284.6666666666667,283.3333333333333,2,3,2,"[11, 23]",6,21,14,0
12,0.7484177661381543,274.0,1901.0320378903255,0.1792527923995378,256,0.9462468803993089,0.2907823494367912,0.9432724929683106,0.08,0.3,276.3333333333333,274.0,2,5,3,"[8, 17, 26]",6,23,7,1
