tick,agent_id,picks,distance,idle_ticks,slow_ticks,walk_ticks
600,1,9.2,321.0,75.9,52.6,343.1
600,2,8.2,302.6,85.3,59.5,357.0
600,3,8.6,310.6,107.0,42.3,324.9
600,4,7.9,277.1,131.1,57.8,314.3
600,5,7.4,268.0,143.6,55.6,313.1
600,6,6.5,248.8,226.7,29.7,244.2
1200,1,18.8,666.2,116.2,103.1,709.6
1200,2,17.5,631.6,131.4,105.7,721.2
1200,3,17.7,645.6,174.4,79.2,672.8
1200,4,17.1,604.1,218.0,93.0,643.0
1200,5,16.0,568.3,231.7,103.5,651.6
1200,6,15.0,542.6,369.9,61.3,534.7
1800,1,28.3,1005.5,162.2,156.6,1076.5
1800,2,26.8,964.1,178.2,152.7,1088.7
1800,3,26.4,970.0,226.9,142.6,1048.3
1800,4,26.0,914.0,304.2,142.4,977.7
1800,5,24.4,865.7,333.4,150.4,980.0
1800,6,22.8,828.9,502.8,116.1,843.8
2400,1,38.5,1346.5,198.5,206.5,1436.8
2400,2,36.7,1306.1,222.6,185.4,1444.9
2400,3,36.5,1304.8,278.8,183.0,1397.9
2400,4,35.3,1251.2,355.4,195.0,1341.1
2400,5,32.9,1189.5,413.7,195.0,1330.2
2400,6,31.9,1160.3,611.7,140.5,1149.7
3000,1,47.4,1660.8,256.2,273.2,1800.4
3000,2,45.6,1625.6,303.3,226.6,1787.0
3000,3,45.0,1594.5,375.8,239.0,1727.5
3000,4,43.8,1537.8,470.1,246.5,1657.9
3000,5,41.1,1492.8,505.9,253.3,1674.5
3000,6,39.9,1431.7,761.6,193.8,1441.6
3600,1,56.2,1998.5,313.6,330.1,2167.4
3600,2,54.3,1930.6,380.4,280.8,2135.0
3600,3,54.0,1899.1,464.8,285.3,2059.4
3600,4,52.4,1844.1,562.2,296.4,1993.2
3600,5,49.3,1778.3,638.7,296.7,1979.1
3600,6,47.5,1708.3,923.6,237.5,1729.1
4200,1,66.0,2353.4,355.0,370.4,2527.1
4200,2,63.5,2246.2,436.0,335.4,2496.9
4200,3,62.8,2203.2,525.8,352.3,2421.3
4200,4,61.2,2149.0,650.0,350.1,2329.6
4200,5,57.4,2079.3,729.6,354.7,2326.6
4200,6,55.7,1998.2,1072.9,271.9,2014.7
4800,1,75.7,2712.5,380.2,424.5,2908.7
4800,2,73.3,2574.8,471.0,387.8,2868.7
4800,3,72.5,2545.1,569.3,398.0,2781.6
4800,4,69.7,2439.7,706.4,441.2,2703.1
4800,5,65.8,2390.0,803.6,408.0,2679.3
4800,6,64.8,2313.4,1178.5,310.6,2329.1
5400,1,85.8,3057.9,413.6,468.7,3272.9
5400,2,82.0,2888.1,502.6,457.5,3260.6
5400,3,81.9,2882.3,630.8,438.3,3133.9
5400,4,79.1,2800.9,752.0,482.8,3068.7
5400,5,75.0,2714.6,885.1,443.2,3018.2
5400,6,74.5,2640.8,1258.3,348.4,2654.3
6000,1,96.2,3417.8,445.1,506.3,3635.1
6000,2,90.6,3193.7,543.6,530.9,3645.0
6000,3,91.1,3211.0,683.6,491.3,3499.1
6000,4,88.2,3138.6,810.8,534.0,3428.4
6000,5,83.5,3051.6,955.9,485.6,3378.8
6000,6,83.7,2932.8,1379.4,381.9,2948.2
6600,1,106.4,3784.5,481.8,541.2,3993.0
6600,2,100.2,3524.7,577.2,582.6,4019.9
6600,3,100.1,3534.8,734.0,547.3,3862.4
6600,4,96.8,3462.4,884.6,584.8,3779.7
