episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
1,0.6792815710513904,138.33333333333334,1373.4678004004516,0.3297560572914517,320,0.8565400843881859,0.6576986838626132,0.5625248514403769,0.04,0.3,151.0,138.33333333333334,2,1,3,"[8, 17, 26]",2,23,6,1
2,0.7876338747559806,133.66666666666666,1083.4106785827319,0.2625329043579994,256,0.7383966244725736,0.932098291947382,0.7162134995749846,0.04,0.3,135.0,133.66666666666666,2,3,4,"[7, 14, 21, 28]",2,19,18,1
3,0.7709453492757212,142.0,1385.7754412637794,0.25615432817115746,304,0.9493670886075949,0.64605541922501,0.7307964923148492,0.04,0.3,143.0,142.0,2,3,2,"[11, 23]",5,23,6,0
4,0.7659386223045378,159.33333333333334,1391.629717876498,0.276422406200458,272,1.0,0.6405171611119774,0.6844586849273615,0.04,0.3,161.66666666666666,159.33333333333334,2,1,4,"[7, 14, 21, 28]",5,21,13,0
5,0.7106339653930885,132.33333333333334,1267.922346728614,0.27839717934057556,240,0.7046413502109707,0.757546710145111,0.6799438682156601,0.04,0.3,133.0,132.33333333333334,2,5,2,"[11, 23]",6,20,13,0
6,0.816086579835114,156.66666666666666,1423.5913822384698,0.21166683271893993,272,1.0,0.6102808127689312,0.8325058400110864,0.04,0.3,158.66666666666666,156.66666666666666,2,5,4,"[7, 14, 21, 28]",3,21,12,1
7,0.5851427145545639,130.66666666666666,1317.76696264349,0.3863108118938847,336,0.662447257383966,0.710392746172549,0.4332267837190234,0.04,0.3,138.66666666666666,130.66666666666666,2,5,3,"[8, 17, 26]",2,22,21,0
8,0.6822163586942596,149.66666666666666,1626.927192850616,0.29495003432756123,240,1.0,0.417921230656567,0.6420999737432237,0.04,0.3,150.0,149.66666666666666,2,5,1,[17],6,22,14,1
9,0.7328270821421279,135.0,1319.6301974776206,0.2602288152026372,320,0.7721518987341772,0.7086300902341209,0.7214812136290961,0.04,0.3,136.33333333333334,135.0,2,3,2,"[11, 23]",2,23,12,1
10,0.6609154220674947,141.0,1447.8573716875496,0.34890002348704297,240,0.9240506329113924,0.5873247206968286,0.518757039962571,0.04,0.3,142.33333333333334,141.0,3,3,1,[17],2,21,8,0
11,0.8209657035767907,143.33333333333334,1361.7264120635311,0.21999404348257717,336,0.9831223628691985,0.6688062627347732,0.8134677897389978,0.04,0.3,145.66666666666666,143.33333333333334,2,3,3,"[8, 17, 26]",3,23,17,0
12,0.6987443658244281,147.0,1601.002842601835,0.2849221019276472,272,1.0,0.44244616389571073,0.6650262916392872,0.04,0.3,151.66666666666666,147.0,2,3,1,[17],3,21,5,1
13,0.8062054532538154,148.33333333333334,1354.6952612012526,0.24385305177899913,272,1.0,0.6754578664909691,0.758920233266312,0.04,0.3,149.66666666666666,148.33333333333334,2,3,2,"[11, 23]",5,21,9,0
14,0.8681190039019755,148.66666666666666,1220.6676191577415,0.2177450387554285,256,1.0,0.8022505900027778,0.8186095672528552,0.04,0.3,150.66666666666666,148.66666666666666,2,3,4,"[7, 14, 21, 28]",3,20,15,1
15,0.5605690857438121,134.33333333333334,1475.2529709107446,0.39475948096637753,240,0.7552742616033757,0.5614079576710402,0.4139110499037186,0.04,0.3,144.0,134.33333333333334,2,5,1,[17],6,22,15,1
16,0.8618620781080103,155.33333333333334,1328.0141332872229,0.19127300118368665,272,1.0,0.7006987259361313,0.8791311508179273,0.04,0.3,156.33333333333334,155.33333333333334,2,3,4,"[7, 14, 21, 28]",4,20,15,0
17,0.4033116435048541,108.0,1089.7535465915755,0.4676567185491932,320,0.08860759493670886,0.9260978169897153,0.2472500498173172,0.04,0.3,151.33333333333334,108.0,2,1,3,"[8, 17, 26]",4,23,21,0
18,0.8732041873066888,148.33333333333334,1263.3379229621116,0.19894209354120268,288,1.0,0.7618836630767936,0.8615977209591269,0.04,0.3,151.33333333333334,148.33333333333334,2,3,4,"[7, 14, 21, 28]",2,21,17,1
19,0.8230425253294915,142.0,1223.4859841266223,0.2495512617463837,288,0.9493670886075949,0.79958436261262,0.7458927249085676,0.04,0.3,142.66666666666666,142.0,2,1,3,"[8, 17, 26]",3,20,16,0
20,0.6084432171683478,132.33333333333334,1566.1869110766447,0.29757878554957723,256,0.7046413502109707,0.4753827037942968,0.636090002416919,0.04,0.3,133.33333333333334,132.33333333333334,2,3,1,[17],6,23,8,1
21,0.7455809162830271,155.33333333333334,1310.126521191166,0.32397720506932043,304,1.0,0.7176207505289801,0.5757367278108328,0.04,0.3,159.33333333333334,155.33333333333334,2,1,4,"[7, 14, 21, 28]",2,20,10,0
22,0.7256565780771387,140.66666666666666,1339.0602860883178,0.3091016316099862,288,0.9156118143459914,0.6902488532335754,0.6097459445081717,0.04,0.3,143.66666666666666,140.66666666666666,2,5,2,"[11, 23]",3,20,12,0
23,0.6755737298102227,142.0,1517.3223896867219,0.3196184564139445,304,0.9493670886075949,0.5216094795225303,0.5857018984279628,0.04,0.3,144.0,142.0,2,3,1,[17],5,23,8,0
24,0.6510817158186541,138.0,1385.7307886880335,0.35401843467011646,304,0.8481012658227848,0.6460976614192642,0.5070550941150985,0.04,0.3,138.66666666666666,138.0,2,3,1,[17],3,21,14,0
25,0.6942590879579604,139.33333333333334,1395.2598845237835,0.31492027334851935,304,0.8818565400843884,0.6370829537425631,0.5964430995246875,0.04,0.3,142.0,139.33333333333334,2,1,2,"[11, 23]",2,22,3,1
26,0.7720314530916843,135.66666666666666,1255.7396096396344,0.24272351988294927,256,0.7890295358649787,0.7690718134132755,0.7615026207705202,0.04,0.3,136.33333333333334,135.66666666666666,2,3,3,"[8, 17, 26]",6,21,9,0
27,0.6929093721013053,153.66666666666666,1587.590581112882,0.29546500920810315,320,1.0,0.4551344208605301,0.6409226146078657,0.04,0.3,156.0,153.66666666666666,2,3,1,[17],2,21,5,0
28,0.6888937373253907,149.0,1619.9080746234122,0.2898266651293286,256,1.0,0.424561451308883,0.6538132548318146,0.04,0.3,149.66666666666666,149.0,2,3,1,[17],4,21,6,1
29,0.5366156913570438,135.33333333333334,1580.6638622746102,0.39654418933001645,304,0.7805907172995783,0.4616872299162913,0.4098307679807072,0.04,0.3,146.0,135.33333333333334,2,5,1,[17],3,23,16,1
30,0.8443487581412298,142.66666666666666,1332.3764749165157,0.19799655658162466,288,0.9662447257383964,0.6965718669715647,0.8637594508206036,0.04,0.3,143.0,142.66666666666666,2,1,4,"[7, 14, 21, 28]",5,22,20,0
31,0.3,62.333333333333336,807.4421659677937,0.7449407526246166,320,0.0,1.0,0.0,0.04,0.3,154.66666666666666,62.333333333333336,2,1,4,"[7, 14, 21, 28]",3,22,5,0
32,0.8671889541140291,144.66666666666666,1416.6889802490641,0.15792869817712535,304,1.0,0.616810617618635,0.9553644220710964,0.04,0.3,146.33333333333334,144.66666666666666,2,3,4,"[7, 14, 21, 28]",3,23,7,1
33,0.7964945564311849,150.33333333333334,1450.6984174664067,0.22467821894755993,252,1.0,0.584637036824825,0.8027586134593436,0.04,0.3,152.0,150.33333333333334,3,5,2,"[11, 23]",2,22,4,0
34,0.7865971159800227,143.66666666666666,1344.4137311837178,0.26571711550252325,272,0.9915611814345989,0.6851843913549105,0.7089336103579246,0.04,0.3,145.66666666666666,143.66666666666666,2,5,2,"[11, 23]",5,21,21,0
35,0.830274374442497,151.66666666666666,1439.6183548820254,0.19117872275256523,304,1.0,0.5951189888336421,0.8793466944810109,0.04,0.3,154.33333333333334,151.66666666666666,2,5,4,"[7, 14, 21, 28]",3,23,12,1
36,0.772218849077495,141.33333333333334,1402.8274224622655,0.24393315572777913,288,0.9324894514767935,0.6299239175104135,0.7587370959533325,0.04,0.3,144.0,141.33333333333334,2,5,3,"[8, 17, 26]",6,23,9,0
37,0.8203550489932914,148.0,1425.6959894496947,0.20634613524233336,352,1.0,0.6082898139259674,0.8446702620387528,0.04,0.3,149.66666666666666,148.0,2,3,3,"[8, 17, 26]",2,23,6,0
38,0.7842353600376658,144.0,1356.3712342267736,0.2673571330369827,352,1.0,0.6738723638200413,0.7051841272291334,0.04,0.3,148.66666666666666,144.0,2,5,4,"[7, 14, 21, 28]",2,23,14,0
39,0.7901017938981741,149.0,1415.5237557222717,0.24258479587492313,352,1.0,0.6179129424003155,0.7618197779451987,0.04,0.3,151.0,149.0,2,5,4,"[7, 14, 21, 28]",2,23,13,0
40,0.6379015361806986,135.0,1440.2928870335436,0.3265829891326142,320,0.7721518987341772,0.5944808684632226,0.5697792650536966,0.04,0.3,135.0,135.0,2,3,1,[17],3,22,18,0
41,0.6901163855565711,147.66666666666666,1635.5195214910043,0.2836448419523755,272,1.0,0.40979272273825507,0.6679464218377364,0.04,0.3,149.33333333333334,147.66666666666666,2,3,1,[17],5,23,15,1
42,0.8050232380186413,143.33333333333334,1352.6993714230703,0.2402285170197572,288,0.9831223628691985,0.6773460165542445,0.7672068104790208,0.04,0.3,144.0,143.33333333333334,2,5,3,"[8, 17, 26]",3,22,15,1
43,0.864055377081629,144.33333333333334,1356.1583374011805,0.18014035475493176,320,1.0,0.6740737683059549,0.9045831164746063,0.04,0.3,145.0,144.33333333333334,2,3,4,"[7, 14, 21, 28]",2,23,14,1
44,0.6441415348086343,133.66666666666666,1239.7169114858582,0.37093302949740475,256,0.7383966244725736,0.7842295935991374,0.46838417346780264,0.04,0.3,136.33333333333334,133.66666666666666,2,5,3,"[8, 17, 26]",3,18,13,0
