tick,agent_1,agent_2,agent_3,agent_4
0,,,,
1,,,,
2,,,,
3,0.0006,,,
4,0.6654,,,
5,1.2482,,,
6,0.6245,,,
7,1.1698,,,
8,1.0657,,,
9,1.0319,0.0,,
10,1.1686,1.0213,,
11,1.1698,1.0396,,
12,1.1698,1.0396,,
13,1.1698,1.0396,,
14,1.1698,1.0396,,
15,1.1638,1.0396,,
16,1.0472,1.0396,,
17,1.1458,1.0396,,
18,1.1698,1.0396,,
19,0.7799,1.0396,,
20,1.155,0.5203,,
21,1.1256,1.106,,
22,1.0974,0.8957,,
23,1.1132,0.9909,,
24,1.1493,1.1074,,
25,1.1562,1.1074,,
26,1.153,1.0732,0.0003,
27,0.8649,0.7769,1.1349,
28,1.1677,0.7187,1.1349,
29,0.8669,0.9124,1.1349,
30,1.2113,1.1863,1.1349,
31,1.0123,0.9491,1.1349,
32,1.1751,1.177,1.1349,
33,1.1751,1.177,0.3739,
34,1.0072,1.1774,0.9385,
35,1.0252,1.0834,0.8171,
36,1.05,1.1774,1.1682,0.0
37,1.2184,0.9419,1.1683,1.0792
38,1.2401,1.1564,1.1683,0.5396
39,1.2529,0.9976,1.1683,1.1898
40,1.2746,1.0192,1.1683,0.7437
41,1.1714,1.1866,1.1683,1.171
42,1.0282,1.1869,1.0642,1.3185
43,0.9638,1.1869,0.853,1.1435
44,0.7189,0.8866,1.2003,1.3127
45,0.6551,1.1229,1.0003,1.3748
46,0.9067,1.1846,1.1967,1.3748
47,1.082,1.1221,1.117,1.3748
48,0.9094,1.1221,1.1527,1.3748
49,1.0316,1.0933,1.1962,1.3579
50,0.8605,0.59,1.0979,0.9455
51,0.936,1.0711,1.1479,0.9216
52,0.9752,0.8928,1.0642,0.5191
53,1.0277,1.0754,1.1884,1.0774
54,1.0074,1.0755,1.1967,0.8534
55,1.0002,1.0755,1.1967,0.38
56,0.9933,1.0755,0.9973,0.6173
57,0.997,0.8604,1.0169,0.9475
58,0.8712,1.0676,1.1976,0.8939
59,0.9701,0.8917,1.1977,0.8128
60,0.9685,1.0855,1.1977,0.897
61,0.9718,1.1414,1.1977,0.897
62,0.8056,1.1456,1.1646,0.469
63,0.6323,0.8908,1.1034,0.8732
64,0.5965,0.7411,0.8801,0.8757
65,0.3228,0.9282,1.1487,0.8555
66,0.0975,1.0993,1.1649,1.1381
67,0.0408,0.855,1.1649,1.0188
68,0.6657,0.7638,0.6703,1.1461
69,0.334,0.7307,1.1715,1.1902
70,0.7407,0.9007,1.1715,1.1903
71,0.9537,0.8947,1.1837,1.1903
72,0.6779,0.7672,0.8878,1.2476
73,0.904,0.9534,1.2199,0.624
74,1.0536,0.9203,1.2543,1.1829
75,1.0095,0.914,1.2434,1.1182
76,1.0178,0.9163,1.1565,1.1182
77,1.0753,0.8358,1.2543,1.1182
78,0.9448,0.8413,0.9407,0.3736
