tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
0,0.0762,,,,,,,
1,0.9015,0.0363,,,,,,
2,0.5381,1.2344,,,,,,
3,1.1558,1.0605,,,,,,
4,0.7827,0.8351,,,,,,
5,0.9742,1.198,0.0731,,,,,
6,0.9203,1.237,0.6433,,,,,
7,1.0782,0.8291,1.208,,,,,
8,1.1099,0.3653,1.0027,0.0428,,,,
9,1.1059,0.8184,1.2134,1.0789,,,,
10,1.1694,0.8847,1.2163,1.0792,,,,
11,1.0515,0.9574,1.2163,0.7455,,,,
12,1.1359,1.0247,1.2163,0.7643,,,,
13,1.1856,1.0284,0.8291,1.0791,,,,
14,1.0157,0.8339,0.7052,1.0792,,,,
15,0.954,0.8773,1.0843,1.0792,,,,
16,1.132,0.8546,0.7102,0.0232,,,,
17,1.1544,0.955,0.9601,0.5716,,,,
18,1.1777,0.8851,1.0503,0.7981,,,,
19,1.2128,1.1198,0.965,0.7762,0.0002,,,
20,1.2128,0.9082,0.9961,1.1873,0.7938,,,
21,1.2133,1.0622,0.9559,1.1151,1.0958,0.0029,,
22,1.2213,1.0772,1.0982,1.007,1.0958,0.6474,,
23,1.2191,0.9365,1.1099,1.0511,0.7938,1.14,0.0011,
24,1.3254,1.0,1.1535,0.9164,1.1474,0.8374,1.0839,
25,1.3233,1.0266,1.1499,1.2437,1.0705,1.2313,0.7159,0.0012
26,1.1611,1.0836,1.0713,0.835,0.8619,1.2313,0.8077,1.236
27,0.8304,0.9762,1.12,1.15,0.8231,1.2313,1.0839,1.236
28,0.7245,1.0521,1.0771,1.1433,0.857,1.2273,1.0839,1.236
29,1.3365,1.068,1.1223,0.939,0.9588,0.9223,1.0839,1.236
30,1.3365,1.1093,0.8723,0.941,0.9486,0.8978,1.0839,1.236
31,0.8591,0.9781,0.9454,1.1293,1.1423,1.0544,1.0839,1.236
32,1.2382,0.8257,1.0381,1.0846,1.0938,1.0238,1.0839,1.236
33,0.7813,0.9737,1.1029,1.1474,0.9665,0.8194,1.0839,1.2358
34,0.6148,1.1202,0.9428,0.9521,1.0942,0.914,1.0839,1.236
35,0.9696,0.893,1.1514,0.9283,1.0891,1.1567,1.0839,0.9425
36,0.9393,1.0721,1.1147,1.1199,1.0009,1.0543,0.3977,1.236
37,1.0208,1.0175,1.1664,1.0718,0.9547,1.2019,0.7334,1.03
38,0.9302,1.0563,1.0248,1.0436,0.794,1.1504,1.0921,0.2633
39,0.8847,0.8666,0.9503,0.744,0.8131,1.2136,0.9034,0.5051
40,0.9856,0.8757,0.9422,0.9608,0.7902,1.1703,0.6303,1.1681
41,0.9565,1.1053,1.1401,0.9125,0.9933,1.0067,1.132,0.8178
42,1.1525,1.1056,1.0686,0.9937,0.9425,1.1934,1.0496,0.9041
43,1.0283,1.0441,0.8913,0.8336,0.8935,1.2027,0.927,1.1781
44,1.0845,1.0735,0.9499,1.2063,0.894,1.0374,0.8199,0.8623
45,0.9869,0.7511,0.9925,1.1369,0.8926,0.892,0.9035,0.5768
46,0.8347,0.6472,0.9042,0.9937,0.538,1.028,0.859,0.8508
47,0.9689,1.0316,0.8854,0.9952,1.1663,1.0445,1.0518,1.2103
48,1.1286,0.9663,0.809,1.201,0.7611,1.1512,0.8951,1.0656
49,1.0746,0.7101,0.6042,0.7984,0.8364,1.1884,1.1258,1.1989
50,1.1102,1.0806,1.1385,0.9469,1.141,0.8417,1.0278,1.2073
51,1.0449,0.9044,1.1382,0.955,1.1588,1.0168,1.138,1.1797
52,1.1297,1.0621,1.1245,1.139,0.8692,0.8191,1.1382,1.1593
53,1.0705,1.0102,0.8126,1.1044,0.7485,1.3334,1.0816,1.219
54,0.8864,1.062,1.1061,0.8286,1.0781,1.3334,1.1204,1.1786
55,0.8173,0.9103,1.0272,1.15,1.214,1.3326,0.9083,1.1754
56,0.8998,0.9939,0.7916,1.1342,0.97,1.151,1.0641,1.1346
57,0.6066,0.9779,0.7942,1.1651,0.8474,0.7174,1.1113,0.9737
58,0.9888,0.9203,0.9633,1.1652,1.011,1.0055,1.0553,1.258
59,0.9962,0.9483,1.1024,0.9906,1.0168,1.054,0.8962,1.258
60,1.0044,0.6875,1.1023,1.0304,1.0346,0.9482,0.9029,1.2569
61,0.789,0.891,0.9897,1.1889,1.1345,1.1773,0.9972,1.0247
62,0.9298,0.9111,1.1766,1.0862,1.1387,1.0888,1.1297,1.1532
63,0.8375,0.8986,0.9455,0.8265,1.1435,1.0044,1.0931,0.8709
