tick,agent_id,picks,distance,idle_ticks,slow_ticks,walk_ticks
600,1,10.2,365.9,24.2,40.2,374.9
600,2,10.2,349.1,35.2,32.0,364.2
600,3,10.0,360.9,32.7,35.5,370.5
600,4,9.9,351.5,45.5,43.0,361.2
600,5,10.3,335.7,45.0,39.2,352.7
600,6,9.5,344.9,73.1,34.3,340.0
600,7,9.7,316.8,75.1,41.1,336.9
600,8,9.4,335.1,85.8,33.7,330.4
1200,1,21.0,741.8,27.5,80.7,756.4
1200,2,20.7,704.1,36.6,77.0,753.8
1200,3,21.4,728.3,37.8,67.5,740.1
1200,4,21.3,719.2,47.4,78.5,732.8
1200,5,21.0,704.5,46.9,74.2,734.3
1200,6,19.7,691.1,78.2,97.6,729.9
1200,7,19.3,666.4,78.3,101.8,739.2
1200,8,20.3,719.0,88.4,68.6,707.3
1800,1,31.6,1100.8,28.1,136.3,1142.1
1800,2,30.7,1067.0,37.6,124.1,1151.2
1800,3,31.7,1092.8,39.3,113.6,1126.6
1800,4,31.8,1084.9,49.0,130.7,1120.6
1800,5,31.4,1069.9,48.5,120.4,1127.8
1800,6,30.8,1061.3,79.7,141.4,1108.0
1800,7,29.5,1015.5,80.6,151.7,1129.7
1800,8,31.4,1111.7,92.8,108.0,1085.7
2400,1,42.5,1484.7,28.1,172.2,1523.2
2400,2,41.3,1428.5,37.6,165.8,1540.4
2400,3,42.6,1447.2,39.3,166.1,1513.5
2400,4,43.1,1446.9,49.0,172.5,1494.2
2400,5,42.5,1431.0,48.5,154.7,1503.1
2400,6,41.2,1428.1,79.7,195.7,1498.4
2400,7,40.0,1387.9,80.6,195.9,1523.9
2400,8,42.4,1506.4,92.8,139.5,1463.0
3000,1,54.0,1859.2,28.1,209.3,1894.2
3000,2,51.9,1784.7,37.6,210.3,1928.1
3000,3,53.4,1824.5,39.3,197.5,1892.7
3000,4,54.1,1826.9,49.0,206.3,1872.5
3000,5,53.6,1786.7,48.5,200.6,1885.2
3000,6,52.9,1817.8,79.7,221.3,1866.0
3000,7,51.0,1746.8,80.6,238.0,1904.8
3000,8,53.5,1882.9,92.8,183.4,1839.2
3600,1,65.0,2223.9,28.1,255.1,2274.1
3600,2,62.6,2156.2,37.6,244.2,2315.0
3600,3,64.5,2197.0,39.3,235.7,2277.2
3600,4,65.2,2199.3,49.0,243.8,2249.0
3600,5,64.7,2137.9,48.5,244.8,2259.8
3600,6,63.8,2191.3,79.7,268.8,2245.7
3600,7,62.3,2114.2,80.6,268.1,2276.4
3600,8,64.8,2278.9,92.8,215.0,2215.0
4200,1,75.8,2597.8,28.1,302.3,2659.3
4200,2,72.6,2535.2,37.6,280.2,2711.1
4200,3,75.5,2581.4,39.3,263.4,2654.1
4200,4,77.0,2570.9,49.0,275.1,2615.0
4200,5,76.0,2499.4,48.5,278.4,2633.2
4200,6,74.5,2572.5,79.7,314.4,2632.3
4200,7,72.9,2498.2,80.6,299.3,2664.3
4200,8,76.3,2654.4,92.8,252.9,2587.0
4800,1,86.9,2960.1,29.7,346.3,3035.1
4800,2,84.1,2888.0,38.3,317.5,3083.8
4800,3,86.2,2944.8,41.0,307.6,3036.2
4800,4,88.1,2940.1,49.3,316.6,2991.4
4800,5,86.7,2873.5,50.6,310.0,3018.2
4800,6,85.2,2945.9,81.7,364.7,3018.6
4800,7,83.4,2854.9,86.3,346.7,3047.3
4800,8,87.5,3031.9,97.4,292.6,2956.4
5400,1,98.0,3338.5,30.8,383.2,3413.1
5400,2,95.2,3261.2,39.2,342.5,3460.5
5400,3,97.2,3296.8,41.1,358.0,3420.1
5400,4,99.8,3323.4,49.5,342.5,3360.4
5400,5,97.6,3242.3,50.6,342.1,3399.7
5400,6,95.9,3306.2,84.0,418.4,3402.9
5400,7,94.0,3223.4,86.8,387.0,3437.8
5400,8,98.9,3403.5,100.7,330.8,3323.9
6000,1,109.2,3718.2,30.8,415.0,3790.0
6000,2,105.9,3630.8,39.2,374.0,3848.0
6000,3,107.8,3650.2,41.1,407.1,3805.0
6000,4,111.2,3697.1,49.5,377.2,3730.6
6000,5,108.4,3608.6,50.6,378.0,3784.1
6000,6,106.7,3694.1,84.0,455.1,3785.3
6000,7,105.5,3577.3,86.8,420.8,3803.5
6000,8,109.4,3757.4,100.7,394.8,3715.1
6600,1,120.0,4076.3,30.8,468.3,4174.6
6600,2,116.1,3977.9,39.2,427.9,4241.3
6600,3,118.7,4007.1,41.1,455.0,4188.4
6600,4,122.3,4068.7,49.5,414.4,4105.1
6600,5,118.9,3977.8,50.6,418.2,4175.4
6600,6,117.3,4077.6,84.0,497.7,4173.4
6600,7,115.9,3935.4,86.8,470.3,4194.7
6600,8,120.2,4134.6,100.7,440.1,4094.9
7200,1,130.7,4458.7,30.8,506.2,4560.0
7200,2,127.3,4343.2,39.2,461.0,4620.5
7200,3,129.1,4352.4,41.1,510.9,4580.1
7200,4,134.0,4433.3,49.5,450.4,4473.1
7200,5,129.4,4340.6,50.6,459.3,4563.5
7200,6,128.2,4464.2,84.0,531.1,4552.8
7200,7,126.7,4256.3,86.8,536.4,4581.7
7200,8,131.8,4525.8,100.7,471.5,4469.1
7800,1,140.7,4830.3,30.8,561.5,4958.4
7800,2,137.0,4671.9,39.2,531.9,5022.7
7800,3,139.9,4732.9,41.1,544.3,4964.1
7800,4,145.5,4809.7,49.5,483.0,4843.7
7800,5,139.7,4699.6,50.6,506.8,4957.4
7800,6,139.5,4855.8,84.0,559.4,4927.9
7800,7,137.6,4609.1,86.8,581.3,4961.8
7800,8,142.8,4882.9,100.7,524.0,4845.3
8400,1,152.0,5204.1,30.8,595.9,5332.9
8400,2,148.0,5028.9,40.8,572.9,5403.2
8400,3,151.1,5112.6,42.7,568.9,5337.9
8400,4,156.9,5196.1,50.3,507.4,5216.6
8400,5,150.7,5048.1,53.3,553.0,5336.9
8400,6,150.6,5225.1,85.3,605.2,5307.3
8400,7,147.8,4961.6,90.9,634.2,5354.3
