tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6
108,1.1419,0.9877,0.7491,0.9439,1.1268,1.1393
109,1.1072,0.9596,0.9376,0.6142,1.0984,1.2443
110,0.6397,1.1025,0.9115,0.8916,1.0984,1.0774
111,1.1196,0.7612,0.6299,0.9883,0.7323,1.2333
112,0.9911,1.0142,0.943,0.9845,0.8588,1.289
113,1.05,0.9992,0.8046,0.9786,1.1702,1.2066
114,0.5485,0.9659,1.1262,0.716,0.9361,1.2066
115,1.054,1.1547,0.852,1.0326,0.9311,1.2066
116,0.7554,1.1473,1.1498,1.2012,1.1269,0.8045
117,0.8621,0.801,1.125,0.7703,1.1268,0.7478
118,0.7994,0.9749,0.9715,1.0515,1.099,1.0712
119,0.9393,1.1184,1.131,1.1507,0.5513,0.8175
120,1.0904,1.1184,1.0782,1.0894,1.1425,0.8725
121,1.2497,0.7421,1.0983,1.0621,1.0753,1.0359
122,1.2495,1.1112,1.0227,1.0651,1.0918,0.9734
123,1.1969,1.1179,0.8946,0.918,1.1433,0.871
124,1.0502,0.915,1.0276,0.678,1.1109,1.0183
125,1.1724,1.115,0.9719,0.8618,1.1072,0.8963
126,1.2291,0.8074,0.8588,0.6331,1.0005,1.0563
127,1.1095,1.1203,1.0291,0.4834,1.0618,1.0553
128,1.1782,1.1426,1.0289,1.1529,0.8313,1.2273
129,0.8223,1.1658,0.9972,0.9924,0.9996,0.963
130,0.9084,1.1659,0.9687,1.2003,0.9911,0.9385
131,0.6501,0.9318,0.7233,0.9004,0.9385,1.0719
132,1.147,1.0008,1.0562,1.1717,0.9506,0.8732
133,1.1835,0.9236,1.1713,0.9733,0.9002,0.9708
134,1.1793,1.0686,1.0767,1.0541,1.0263,1.0194
135,1.2464,0.9228,1.1386,0.977,0.8647,0.972
136,1.0986,0.9976,0.9109,1.0242,0.924,0.9722
137,0.6678,1.0633,0.9223,1.042,0.8144,0.9582
138,0.9424,0.9044,1.1227,1.037,0.8463,0.8899
139,0.9283,0.9325,0.8957,0.9994,0.9854,0.5732
140,1.0323,0.9341,1.1421,0.8569,1.1343,1.0569
141,0.9916,0.6187,1.1421,0.9566,0.8596,0.8825
142,1.0889,0.959,0.9219,1.1068,1.1004,0.737
143,1.0983,0.8417,0.7877,1.168,1.1227,0.9088
144,0.8046,0.72,1.1197,0.8786,1.1532,0.7194
145,0.8091,0.5429,0.9464,1.0847,1.0287,1.0762
146,0.9059,0.6851,1.1574,1.1203,1.1236,1.1739
147,0.7666,0.8834,1.0423,1.1031,1.0412,1.1065
148,0.8521,0.8455,1.1962,0.5817,1.1309,0.7293
149,0.962,0.6773,1.0142,0.6724,0.9832,1.1915
150,1.0458,0.8808,1.2034,0.5477,0.9076,1.209
151,1.2679,0.7922,1.1165,0.6477,1.0931,0.8686
152,1.0288,0.8169,0.8567,0.8359,1.1524,1.0807
153,1.2621,0.6948,1.0862,0.7631,1.183,1.1452
154,0.9485,0.6931,1.0406,1.1554,0.7078,0.8674
155,1.2593,0.7402,0.9607,1.156,0.9645,1.2034
156,1.1387,1.0028,0.9524,1.152,1.1371,1.1449
157,1.0577,0.8883,0.9443,0.9632,0.9788,1.1409
158,1.0513,1.0235,0.7041,0.8278,1.1348,0.9357
159,1.1965,1.0049,0.8966,1.1967,1.0096,1.1692
160,1.1733,1.0257,0.9926,1.1383,1.0995,1.1506
161,0.9741,1.0939,0.9663,1.1946,0.9507,1.1073
162,1.1834,1.0946,0.9846,1.1589,1.0747,1.0297
163,1.1368,1.0946,0.9067,1.0144,0.7669,0.8872
164,1.1037,1.0946,0.7083,0.978,1.1047,1.088
165,0.9393,1.0724,0.7313,0.9706,1.0365,0.8549
166,0.4176,1.0744,0.8523,0.9194,1.0592,1.0721
167,1.025,0.9261,0.8838,0.9083,1.1079,0.9517
168,0.955,1.0077,0.8182,0.7224,0.9968,0.8625
169,0.7887,1.0975,0.7961,0.8241,1.0397,1.0505
170,0.4888,0.9853,0.6711,1.0538,0.911,1.184
171,0.9525,1.0746,0.9435,1.0403,0.8752,1.1678
172,0.8961,0.9361,1.0482,0.924,1.0055,1.087
173,0.848,1.1921,1.0813,0.9616,1.0019,0.9564
174,0.9386,1.2068,0.9871,0.9685,0.8647,1.056
175,1.0482,0.7726,1.1229,1.2075,0.9744,1.0492
176,0.8315,1.0006,0.9984,0.8623,1.242,1.0347
177,1.1441,0.8439,0.7868,1.2284,1.242,1.0271
178,1.2091,0.5888,0.7646,0.7597,0.828,1.009
179,1.1256,0.5761,0.7253,0.906,0.9252,0.9494
180,1.0726,1.0435,0.9303,1.0244,0.8033,0.8498
181,1.1559,0.9078,0.5699,0.9455,1.0864,1.209
182,1.116,0.7968,0.8435,0.6232,0.9264,1.209
183,1.2076,0.9128,0.9021,0.794,0.9818,1.209
184,1.2369,0.9577,0.7282,1.0441,0.6916,1.1557
185,1.2372,1.0163,0.9252,0.8201,1.0464,0.8668
186,1.023,0.9913,0.7787,1.1895,0.9726,0.9523
187,0.8571,0.9981,1.0021,1.1895,1.1309,1.0136
188,1.2085,0.9995,1.0018,1.0408,1.1233,1.2493
189,1.2316,0.9835,0.9863,1.0837,1.1189,1.2655
190,0.6937,0.9847,0.9837,1.1326,1.0081,1.2655
191,1.0482,0.9909,0.9276,1.1199,0.8984,0.8536
192,1.1359,1.1402,0.9257,1.1887,0.9029,1.1052
193,1.1359,1.1388,0.8636,0.9928,0.8105,1.0803
194,0.8474,0.907,0.9748,1.0438,0.6998,0.7647
195,0.9194,0.817,0.9036,1.1652,0.6924,1.2044
196,1.0191,0.8053,0.7495,1.1204,0.8827,1.1003
197,1.0369,0.9109,0.7083,1.0352,1.0673,1.2756
198,1.2135,0.9232,0.9426,1.1443,0.9857,1.0636
199,1.0662,0.9001,0.8732,0.9662,0.8036,1.0156
200,1.1486,0.7869,0.9338,1.0724,0.9774,1.1301
201,1.1815,0.9475,0.9555,0.976,0.968,1.2242
202,1.2184,0.714,0.931,0.9269,0.834,1.2081
203,1.2184,0.7858,0.9844,1.046,0.8913,0.7629
204,1.0661,0.8314,0.8174,1.0609,0.8303,0.8581
205,1.2066,0.8451,1.0356,1.0253,1.0346,0.97
206,1.1005,0.6853,0.9502,0.9559,0.873,1.2085
207,1.0053,0.7493,0.9766,1.1562,0.9339,1.1524
208,0.8801,0.7078,1.1046,1.1211,1.1455,1.2196
209,0.6629,0.9857,1.0141,0.8587,1.2008,1.2201
210,0.9718,0.8344,0.9598,0.9415,0.8883,1.166
211,0.813,0.9984,1.1091,1.1236,1.0082,1.0677
212,0.7729,1.0947,0.9193,0.8046,0.8755,1.0192
213,0.9216,1.0966,0.6553,0.7253,0.9958,1.171
214,0.8604,1.0223,0.3467,0.9642,1.1283,1.1546
215,0.7501,1.0972,0.7126,0.9502,1.0181,1.1938
216,0.5817,1.1604,0.6752,0.8845,1.0946,1.2093
217,1.2628,1.1734,0.9041,1.1488,1.1637,1.0365
218,1.0667,1.1154,0.9351,0.84,1.0926,1.2057
219,1.2253,1.3049,0.9431,1.266,0.8318,1.1996
220,1.2984,1.3049,0.8727,1.2297,0.9125,1.0521
221,1.3165,1.3049,0.6929,1.1593,1.1009,1.1532
222,1.2148,0.6531,0.7365,0.7735,0.8824,0.6225
223,1.0972,1.0572,1.074,0.7722,1.0895,1.0934
224,1.0159,1.0272,0.8655,1.1911,1.0587,1.0435
225,0.9691,0.5848,1.2134,1.1908,1.0101,1.0122
226,0.8598,0.8534,1.2563,1.1898,0.7069,0.6958
227,0.9138,0.7555,0.9472,0.9293,0.8444,0.8253
228,1.0337,1.0665,0.8875,1.0125,0.552,0.7979
229,1.1224,0.7618,1.1875,1.1091,0.9319,0.8077
230,1.1224,1.0859,1.0962,0.9545,0.956,0.8282
231,1.1228,1.0787,1.1796,1.1001,0.8862,0.7633
232,1.1228,1.0843,0.8144,1.0657,0.8152,0.9876
233,1.1228,0.8537,0.9973,0.8948,0.9559,0.9247
234,1.1228,1.0153,1.1115,1.0361,0.8049,1.2198
235,1.11,0.9723,1.1699,1.0376,0.871,1.1544
236,0.7286,0.9672,1.0241,1.0554,0.9798,1.175
237,0.8395,0.9542,1.1632,1.051,0.7897,1.1679
238,1.0963,0.664,1.0335,0.9143,0.9402,1.1728
239,1.16,0.8887,1.0436,0.8898,0.8813,1.0052
240,1.1735,0.882,1.013,1.2037,0.8197,1.1198
241,1.2196,1.159,1.0468,1.2093,0.7528,1.0259
242,1.2118,0.899,0.9885,1.0826,0.8035,1.1173
243,1.2046,0.9255,0.9171,1.2088,0.8277,1.1014
244,1.0252,0.7701,0.867,0.9383,0.5481,1.1278
245,0.7335,1.1402,0.8318,1.0018,1.1654,0.9827
246,0.8336,1.1509,0.8883,1.1091,0.3883,1.0655
247,0.8839,0.9591,0.9205,0.834,0.4661,0.8947
248,0.973,1.0919,0.7736,1.0725,0.8776,1.0851
249,0.9098,1.0608,0.7462,0.9617,0.6755,1.0194
250,0.8591,0.8488,0.7969,1.1082,0.3947,0.8677
251,0.6918,0.9031,0.9704,1.114,0.6493,0.8283
252,0.692,1.1082,1.1879,0.9953,0.3846,0.6868
253,0.7284,1.0343,1.1933,1.2118,0.2097,0.7655
254,0.8834,0.8932,0.9944,1.2316,0.4949,0.6558
255,0.7582,0.9271,1.2163,1.2262,0.5195,0.7402
256,0.9668,1.0861,1.2138,1.2262,0.6243,0.6265
257,1.0614,1.0862,1.0128,0.9197,0.7772,0.479
258,1.1338,0.9252,1.1553,1.2486,0.6768,0.7448
259,1.1375,0.9873,0.9541,0.8409,0.8182,0.6087
260,1.0361,1.1393,0.7967,1.2055,0.7794,0.6951
261,1.1958,1.1204,0.9054,0.9063,0.8055,0.7505
262,1.2187,1.103,1.0124,1.1689,0.8312,0.8697
263,0.8303,0.9796,0.9127,1.0092,0.8304,0.665
264,1.1561,1.1085,1.0147,1.0403,0.7602,0.9039
265,0.8671,1.1011,0.8798,1.0129,0.779,0.9009
266,0.778,0.7669,0.937,1.1151,0.684,0.6335
267,1.0,1.0483,0.8865,0.9569,0.7032,0.7399
268,1.1683,0.8066,0.8198,1.0887,0.7863,0.6424
269,1.1158,1.0711,0.9498,1.1666,0.8457,0.7713
270,1.1293,1.0711,0.8961,1.1399,0.9374,0.6184
271,0.8497,0.8914,0.7358,1.1399,0.9686,0.6517
272,0.982,0.9167,0.8595,0.9499,1.0109,0.872
273,1.0086,0.9284,0.9197,1.1752,1.0071,0.6574
274,1.203,0.9775,0.8946,1.0703,0.8561,0.8546
275,1.2029,1.1198,0.9323,0.9068,0.9895,0.7244
276,1.1757,1.1183,0.9573,0.7497,0.7822,0.8849
277,1.028,0.9211,0.9398,0.961,0.9587,0.7247
278,1.1044,1.149,0.9591,0.7407,0.6675,0.7012
279,1.031,0.9773,0.8418,0.8287,0.9162,0.5886
280,1.1301,1.1659,0.5424,0.7783,0.8964,0.8171
281,0.7294,1.1645,0.8002,1.0743,0.8609,0.7101
282,1.1573,1.0214,0.7903,1.1355,0.7931,0.596
283,1.1897,0.9824,0.8793,1.0378,0.7872,0.5038
284,1.1941,1.1298,0.8767,0.8966,0.6768,0.7231
285,1.2402,1.0985,0.7688,1.2049,0.5523,0.849
286,1.159,1.154,0.8484,0.9986,0.5614,0.8491
287,1.1548,1.1666,0.8371,0.8167,0.7314,0.5028
288,1.1588,0.7806,0.7587,1.0427,0.5068,0.8642
289,1.0171,0.684,0.5829,1.0629,0.5985,0.8047
290,1.1459,0.7504,0.7096,1.0456,0.7192,0.8167
291,0.9287,0.9438,0.9388,1.1671,0.9735,0.8611
292,1.1599,1.1281,1.1895,1.0143,0.9698,0.9687
293,0.9681,1.1152,0.9036,1.1888,0.963,0.859
294,0.9687,1.115,1.1407,1.0538,0.944,0.8009
295,0.7792,1.1128,0.8948,0.9305,0.8666,0.9002
296,0.7431,1.0576,1.1414,1.121,0.7867,0.8853
297,1.0958,1.082,0.96,0.9631,0.8377,0.706
298,1.0601,0.7873,0.9806,1.0623,0.874,0.9592
299,1.0446,0.9004,1.1292,1.0269,0.8879,0.7269
300,1.2231,1.1146,1.0713,0.9978,0.9566,0.6036
301,1.141,1.1146,0.7643,0.7098,0.756,0.825
302,1.2187,0.9554,0.8053,0.7977,0.9901,0.9844
303,1.247,0.9369,1.1778,0.764,0.8375,0.7238
304,0.8596,1.1391,1.1467,1.1953,0.6225,0.7755
305,1.1816,1.1727,1.0317,1.1953,0.7141,1.07
306,1.1889,1.1727,1.1557,1.1947,0.6701,1.0119
307,1.0492,1.1436,1.1596,1.1359,0.6126,1.0496
308,1.1205,0.9037,1.1654,1.1326,0.6662,0.9334
309,1.1132,0.9128,0.9163,0.9551,0.5348,1.0582
310,0.8715,0.7919,1.0047,0.8986,0.851,1.0794
311,1.0583,0.9989,1.0233,1.032,0.8294,1.0576
312,0.9235,0.9188,1.1828,0.9364,0.4884,1.0496
313,0.6814,0.6552,1.1828,0.8395,0.4693,1.0597
314,0.9802,0.8252,1.035,0.8919,0.885,0.9789
315,0.9473,0.7759,1.1601,0.9339,0.5672,1.0611
316,0.7268,1.065,1.1718,1.0101,0.9077,0.8898
317,1.0059,1.0091,0.9574,0.8423,0.9573,1.0663
318,1.0349,0.8776,0.7764,1.1427,0.8202,1.1558
319,1.0147,0.8766,0.9373,1.0537,0.8032,1.2334
320,0.9878,0.7942,1.1472,1.0284,0.8625,1.2348
321,0.6671,0.8656,1.1316,1.1678,1.134,0.9435
322,1.2571,0.6256,1.1628,0.9555,0.9841,1.1837
323,1.1315,0.8878,1.0807,0.8722,0.8796,1.2566
324,1.07,0.7034,0.9554,1.1901,0.9128,1.2567
325,1.207,0.7716,0.9686,1.0148,1.0071,1.192
326,1.2418,0.8312,0.5737,1.2434,0.9412,0.8316
327,1.2105,0.7553,0.6228,1.2413,0.9699,0.8494
328,0.8814,0.6787,0.6685,1.2412,1.0579,0.8104
329,0.9504,0.554,0.6868,1.2365,1.1609,1.1203
330,1.1212,0.7737,0.7131,1.2,0.7823,1.0761
331,1.0778,0.5446,0.6672,1.1828,1.1627,1.0947
332,0.9687,0.6215,0.746,0.753,0.7753,0.8838
333,0.9168,0.8603,0.7898,1.166,1.1903,1.0292
334,0.7642,1.0023,0.8296,0.8735,1.1903,1.1746
335,0.8978,1.0217,0.8385,1.1575,0.8928,1.1746
336,1.0082,1.1283,0.9025,1.1589,1.0462,1.1296
337,0.9884,1.1261,0.8449,0.8026,0.9204,1.0712
338,0.9897,1.0695,0.7507,1.0107,1.1688,1.0623
339,0.9147,1.0656,0.5709,1.1397,0.7582,1.0884
340,1.1941,1.129,0.6831,1.1416,0.9289,1.1064
341,0.7178,1.1329,0.6352,0.9052,0.959,1.1707
342,1.177,1.1288,0.6101,0.7829,1.1071,1.0812
343,0.8855,0.9551,0.6306,1.2285,1.0139,0.703
344,0.904,1.0974,0.6117,1.2325,0.9345,0.5679
345,1.1407,0.9978,0.8332,1.0271,1.0847,1.0692
346,1.1394,0.8399,0.8045,1.0582,1.0276,0.9102
347,0.8635,0.9452,0.9465,0.9915,1.0409,0.8989
348,0.9698,0.8524,0.7546,1.2421,0.9186,1.0391
349,0.74,0.8578,0.7518,1.1336,0.7796,1.0036
350,1.0072,0.7299,0.6975,0.8988,0.9286,1.0109
351,0.9861,0.7568,0.8187,1.072,0.9561,0.7225
352,0.7481,0.7717,0.7108,0.872,1.0936,1.2877
353,0.952,0.7126,0.8706,0.986,1.1588,0.9892
354,1.0637,0.821,0.7408,0.8314,1.1362,1.2402
355,0.8958,0.4752,0.8598,1.0226,1.0374,0.7573
356,1.0485,0.9157,0.7639,1.1249,1.1337,1.1981
357,1.0611,0.827,0.9041,0.9311,1.1817,0.9826
358,1.1613,0.9743,0.8575,1.1283,0.709,1.0648
359,1.1239,0.8857,0.8039,1.1266,0.9922,0.9394
360,1.1927,0.9489,0.8052,1.1224,1.1665,0.7736
361,1.1413,0.9338,0.7989,1.1277,0.7982,0.9564
362,1.1617,0.9146,0.952,0.9584,1.141,0.8252
363,1.1308,0.7908,0.931,0.9361,0.7842,0.7549
364,1.0518,0.8418,1.1632,1.0869,1.063,0.8934
365,0.8092,0.9596,0.8956,1.057,1.092,1.2233
366,1.0623,0.825,1.1737,0.8469,1.146,1.2205
367,1.0051,0.8865,1.1737,1.0213,0.9415,1.1867
368,0.881,0.9225,0.8056,0.8041,1.0967,1.1139
369,1.0173,0.7617,0.9364,0.9145,1.0709,1.0258
370,1.045,0.8827,1.2146,0.8786,1.071,1.2256
371,0.9103,0.8258,1.2146,0.8861,0.8445,1.2335
372,1.1193,0.9711,0.9113,0.9861,0.9242,0.8694
373,1.038,0.9668,0.9408,1.044,1.1188,1.1499
374,1.0079,0.9713,0.9434,0.9123,0.9579,1.0309
375,1.0328,0.9384,0.6351,1.0827,0.8901,0.8632
376,0.674,0.8753,1.0369,0.8481,0.9441,1.1897
377,0.8657,0.794,1.0649,0.6282,0.8533,1.0543
378,1.0004,0.8682,0.6191,0.9559,0.7155,1.0984
379,1.0261,0.4649,1.0352,0.6495,0.8442,1.2158
380,1.1966,0.6071,0.9174,1.011,1.0873,1.2117
381,1.1183,0.7934,1.0284,0.9471,0.9648,1.1688
382,0.9808,0.7921,0.9965,1.0976,1.0233,1.0985
383,0.7193,0.8197,0.9394,1.2033,0.8626,0.9801
384,0.8051,0.6467,1.1552,0.9723,0.9919,1.2123
385,0.9429,0.7796,0.9615,0.772,1.1036,1.0501
386,0.9377,1.1546,0.9963,0.7899,1.0171,1.2161
387,1.1289,0.577,1.1347,1.0012,1.0052,1.0412
388,1.1583,0.7605,1.1747,1.2039,0.8723,1.217
389,0.988,1.0217,1.1685,1.1985,0.9794,1.2197
390,0.7133,0.6398,1.2106,1.1091,0.9616,0.9835
391,0.8494,1.0121,1.2284,1.1643,0.9612,0.8821
392,1.0116,0.8858,1.2284,0.8323,1.1016,0.8937
393,0.8435,1.0208,1.2276,1.119,1.1002,1.0271
394,0.9269,1.0409,0.8154,1.1819,0.8474,1.0115
395,1.0297,1.0279,0.583,1.1915,0.9983,1.1862
396,1.127,0.9327,0.7956,1.085,1.0612,1.1902
397,1.2007,1.1143,0.6799,1.0909,0.9789,0.9503
398,1.1543,1.1219,0.8382,1.0135,0.77,1.0195
399,0.9634,1.0065,0.7651,1.1747,0.7244,1.1776
400,0.732,0.8785,0.7294,0.9579,0.7603,1.2
401,0.9535,1.1321,0.6439,0.9276,0.5878,0.9698
402,0.992,1.13,1.1102,1.0868,0.6448,1.1547
403,0.8345,1.1286,0.8165,1.1751,0.7418,1.1998
404,0.435,0.7021,0.6987,1.2644,0.7802,1.1998
405,0.6191,0.6091,1.1943,0.7546,0.9319,1.1998
406,0.5585,0.8353,1.2073,0.9617,0.8744,0.7999
407,0.6053,0.7072,1.176,1.224,1.1097,1.2839
408,0.7833,1.1138,0.9991,1.1343,0.8088,0.9634
409,0.7762,0.8112,1.1739,1.0527,1.1072,1.2594
410,0.7842,0.9633,1.0408,0.9884,1.1118,1.2593
411,0.6367,0.8114,0.9411,0.6626,1.0842,0.6949
412,0.9493,0.7417,1.1241,0.9489,0.9739,0.7479
413,0.963,0.9533,1.0046,1.0471,0.9698,0.5802
414,0.8027,0.7812,1.0683,0.9766,1.0393,1.195
415,1.0282,1.0126,0.9547,1.1399,0.9291,1.1282
416,0.9711,0.8333,0.9774,1.0858,0.7762,1.1573
417,0.9472,0.7788,1.1324,0.8932,0.91,1.1989
418,1.1969,1.0021,1.1387,0.8738,0.8929,1.1826
419,1.2283,1.0015,0.9853,0.9978,0.8879,1.1876
420,1.1623,0.9724,0.9557,0.6752,0.5564,1.1081
421,1.1683,0.6395,1.0755,0.9817,0.7636,1.1538
422,0.9659,0.542,0.9823,0.8398,0.8101,0.9942
423,1.0396,0.5519,1.1506,0.8597,0.9027,1.1912
424,1.0467,0.5956,1.1144,0.989,1.1424,1.1594
425,1.0807,0.6678,0.9809,0.9969,1.1984,1.2078
426,0.9274,0.8782,0.82,1.1577,0.9221,1.1398
427,0.958,0.8236,0.9362,0.9923,0.8136,1.1141
428,0.7368,0.7536,0.9162,1.1848,0.7005,0.8857
429,0.8066,0.6636,0.8508,1.0669,1.099,0.6976
430,0.8443,0.8695,0.845,1.0139,0.925,0.9605
431,0.9501,0.8442,0.8323,1.1127,0.9292,0.8459
432,1.0005,1.0303,0.7993,0.8143,1.0852,0.9665
433,0.8821,0.9254,0.7566,0.9548,0.9765,1.0423
434,0.9589,1.0467,1.0321,0.8973,0.9191,1.0132
435,1.0044,0.9335,1.0121,0.8046,1.0639,0.5364
436,0.9605,1.0465,1.1333,0.6038,0.8058,0.9417
437,0.8552,1.0688,1.0731,1.0327,0.5631,1.0282
438,0.9765,1.1178,1.1563,0.9274,1.106,0.8429
