tick,agent_id,picks,distance,idle_ticks,slow_ticks,walk_ticks
600,1,11.2,392.0,10.0,24.3,367.9
600,2,11.2,361.2,18.3,24.1,361.3
600,3,10.6,367.0,24.1,28.4,363.6
600,4,11.3,377.1,28.6,16.6,348.3
600,5,11.0,341.8,39.4,25.0,341.9
600,6,10.7,360.5,51.0,23.9,337.2
1200,1,23.3,769.8,10.0,48.7,726.0
1200,2,21.3,694.8,18.3,92.3,758.0
1200,3,22.2,733.9,24.1,61.2,733.1
1200,4,22.1,764.1,28.6,54.9,733.2
1200,5,21.0,691.2,39.4,83.9,741.1
1200,6,21.8,735.7,51.0,66.6,717.3
1800,1,34.0,1133.4,10.0,98.0,1110.3
1800,2,32.6,1057.7,18.3,123.2,1132.9
1800,3,32.2,1104.4,24.1,115.2,1133.6
1800,4,33.0,1136.4,28.6,95.2,1109.8
1800,5,31.3,1028.8,39.4,147.2,1137.2
1800,6,33.0,1096.8,51.0,114.2,1093.1
2400,1,45.3,1520.0,10.0,128.6,1484.1
2400,2,43.3,1425.4,18.3,159.1,1519.1
2400,3,43.2,1474.5,24.1,153.8,1513.3
2400,4,43.5,1466.3,28.6,169.9,1502.5
2400,5,42.6,1411.0,39.4,169.7,1510.7
2400,6,44.3,1465.8,51.0,158.4,1465.9
3000,1,56.7,1896.2,10.0,162.2,1859.0
3000,2,54.8,1791.5,18.3,189.1,1891.1
3000,3,54.7,1844.2,24.1,183.4,1886.2
3000,4,54.5,1838.1,28.6,209.4,1884.1
3000,5,53.9,1776.8,39.4,196.8,1882.6
3000,6,55.8,1852.4,51.0,189.5,1835.6
3600,1,67.9,2283.8,10.0,191.9,2231.0
3600,2,65.8,2166.7,18.3,213.4,2269.0
3600,3,66.1,2227.1,24.1,206.2,2255.8
3600,4,65.5,2241.7,28.6,231.8,2261.9
3600,5,65.3,2156.7,39.4,221.3,2260.5
3600,6,66.8,2229.6,51.0,231.5,2215.2
4200,1,79.4,2657.5,10.0,232.8,2605.2
4200,2,77.2,2530.8,18.3,246.2,2640.7
4200,3,77.2,2595.2,24.1,241.6,2631.9
4200,4,77.5,2610.2,28.6,263.1,2625.2
4200,5,76.8,2512.5,39.4,253.9,2627.9
4200,6,77.9,2596.7,51.0,276.7,2592.9
4800,1,91.2,3039.9,10.0,261.7,2968.7
4800,2,88.3,2892.9,18.3,282.0,3017.6
4800,3,88.4,2980.2,24.1,270.9,3013.4
4800,4,89.0,2995.2,28.6,293.7,2993.4
4800,5,88.1,2893.4,39.4,277.0,3002.1
4800,6,89.9,2988.4,51.0,295.0,2951.6
5400,1,102.8,3427.4,10.0,287.5,3334.9
5400,2,99.7,3268.8,18.3,304.6,3390.2
5400,3,99.6,3349.2,24.1,300.1,3383.6
5400,4,100.7,3380.0,28.6,317.6,3358.7
5400,5,99.5,3249.1,39.4,312.5,3370.5
5400,6,101.9,3362.9,51.0,328.0,3314.8
6000,1,114.6,3805.8,10.0,318.3,3700.1
6000,2,111.4,3635.8,18.3,329.0,3756.5
6000,3,110.7,3724.1,24.1,334.6,3761.6
6000,4,112.5,3763.9,28.6,342.0,3722.9
6000,5,110.5,3591.0,39.4,366.6,3752.8
6000,6,112.9,3739.0,51.0,370.6,3693.6
6600,1,125.1,4189.0,10.0,361.5,4089.3
6600,2,122.4,4003.7,18.3,360.2,4135.3
6600,3,122.4,4104.4,24.1,357.0,4128.6
6600,4,123.5,4134.8,28.6,386.0,4105.7
6600,5,121.1,3939.0,39.4,417.5,4139.4
6600,6,124.8,4111.2,51.0,404.9,4054.2
7200,1,136.3,4556.2,10.0,406.7,4465.7
7200,2,133.1,4377.1,18.3,394.6,4522.0
7200,3,134.1,4481.7,24.1,381.0,4496.3
7200,4,134.4,4516.4,28.6,422.8,4486.2
7200,5,132.6,4306.0,39.4,447.0,4510.5
7200,6,136.2,4475.2,51.0,451.7,4428.5
7800,1,147.7,4933.5,10.0,441.5,4837.7
7800,2,144.4,4742.3,18.3,423.0,4896.4
7800,3,143.9,4833.5,24.1,437.8,4900.0
7800,4,145.5,4917.9,28.6,446.4,4863.7
7800,5,144.4,4672.2,39.4,471.4,4874.2
7800,6,146.4,4836.1,51.0,508.4,4824.6
8400,1,159.8,5301.4,10.0,471.1,5194.7
8400,2,155.2,5124.1,18.3,450.9,5280.5
8400,3,155.7,5207.3,24.1,464.8,5265.7
8400,4,157.2,5309.1,28.6,467.6,5229.6
8400,5,156.2,5041.4,39.4,497.5,5241.3
8400,6,157.8,5226.6,51.0,536.6,5192.5
9000,1,171.4,5681.2,10.0,500.0,5563.6
9000,2,166.3,5496.3,18.3,482.6,5657.8
9000,3,167.4,5592.0,24.1,484.0,5631.7
9000,4,169.2,5680.9,28.6,497.9,5590.9
9000,5,167.0,5406.3,39.4,535.6,5624.4
9000,6,169.6,5617.4,51.0,557.6,5557.5
9600,1,182.3,6057.0,10.0,543.5,5947.8
9600,2,176.9,5833.6,18.3,537.1,6047.0
9600,3,177.7,5938.7,24.1,548.7,6027.1
9600,4,180.2,6036.2,28.6,550.5,5971.5
9600,5,177.3,5752.2,39.4,589.1,6014.9
9600,6,181.0,5988.8,51.0,600.7,5932.4
10200,1,192.9,6414.2,10.0,598.4,6335.1
10200,2,185.9,6145.5,18.3,625.1,6463.2
10200,3,188.4,6273.9,24.1,610.6,6411.8
10200,4,191.8,6390.3,28.6,594.7,6339.0
10200,5,187.1,6073.6,39.4,666.6,6420.9
10200,6,192.8,6373.0,51.0,624.9,6293.3
10800,1,203.0,6774.1,10.0,660.1,6734.3
10800,2,196.1,6486.7,18.3,688.4,6863.7
10800,3,199.6,6655.1,24.1,635.9,6785.2
10800,4,203.1,6764.3,28.6,628.9,6709.5
10800,5,198.4,6445.1,39.4,695.0,6795.7
10800,6,205.0,6755.3,51.0,649.1,6652.4
11400,1,214.2,7168.0,10.0,685.4,7108.3
11400,2,206.4,6820.1,18.3,752.9,7258.3
11400,3,211.5,7037.6,24.1,656.4,7148.5
11400,4,214.3,7158.1,28.6,661.3,7090.2
11400,5,208.4,6798.1,39.4,752.8,7196.2
11400,6,216.9,7151.6,51.0,669.2,7015.6
12000,1,225.3,7540.9,10.0,721.8,7485.0
12000,2,215.9,7160.9,18.3,818.1,7663.5
12000,3,222.3,7401.7,24.1,695.9,7531.7
12000,4,225.9,7535.2,28.6,693.7,7459.5
12000,5,219.9,7176.4,39.4,773.1,7566.9
12000,6,227.9,7538.1,51.0,703.4,7393.6
12600,1,236.9,7935.6,10.0,742.9,7852.3
12600,2,227.5,7531.2,18.3,843.6,8038.2
12600,3,233.5,7772.6,24.1,732.2,7910.2
12600,4,237.5,7913.1,28.6,721.2,7827.0
12600,5,230.7,7541.9,39.4,807.9,7948.7
12600,6,239.0,7918.9,51.0,744.9,7772.6
13200,1,248.6,8313.8,10.0,774.4,8219.5
13200,2,238.7,7902.4,18.3,866.9,8405.8
13200,3,244.2,8145.7,24.1,770.8,8293.8
13200,4,248.7,8292.3,28.6,755.1,8199.2
13200,5,241.8,7915.5,39.4,839.3,8328.6
13200,6,250.5,8309.3,51.0,771.9,8140.6
13800,1,260.1,8703.1,10.0,799.7,8588.6
13800,2,250.4,8276.3,18.3,886.6,8776.3
13800,3,256.1,8524.5,24.1,792.1,8658.6
13800,4,260.8,8689.4,28.6,767.2,8557.7
13800,5,253.1,8286.1,39.4,865.9,8699.2
13800,6,262.2,8700.4,51.0,795.4,8505.5
14400,1,271.9,9104.7,10.0,817.1,8956.0
14400,2,261.3,8652.2,18.3,917.4,9156.0
14400,3,267.4,8887.0,24.1,827.3,9031.9
14400,4,271.9,9066.1,28.6,805.9,8935.5
14400,5,264.3,8661.1,39.4,896.8,9078.7
14400,6,274.4,9084.6,51.0,821.2,8867.0
15000,1,283.9,9486.7,10.0,838.1,9313.0
15000,2,272.5,9022.3,18.3,945.7,9529.9
15000,3,278.7,9255.6,24.1,861.9,9404.0
15000,4,283.5,9452.5,28.6,833.5,9303.1
15000,5,275.9,9030.6,39.4,923.8,9448.3
15000,6,286.0,9468.4,51.0,851.0,9233.9
15600,1,295.5,9875.2,10.0,866.3,9682.3
15600,2,284.1,9393.4,18.3,969.2,9900.7
15600,3,290.1,9641.4,24.1,886.1,9777.0
15600,4,294.9,9850.0,28.6,857.2,9674.8
15600,5,287.3,9391.8,39.4,952.9,9816.8
15600,6,297.2,9876.1,51.0,868.4,9603.3
16200,1,307.4,10262.4,10.0,887.2,10043.4
16200,2,295.6,9758.1,18.3,996.5,10272.5
16200,3,301.4,10024.5,24.1,914.7,10151.8
16200,4,306.1,10221.8,28.6,895.3,10052.2
16200,5,298.0,9767.7,39.4,986.3,10202.4
16200,6,309.3,10247.9,51.0,904.6,9967.9
16800,1,319.4,10643.9,10.0,909.7,10406.9
16800,2,306.7,10131.4,18.3,1025.6,10650.9
16800,3,312.6,10410.8,24.1,939.5,10528.6
16800,4,317.1,10588.6,28.6,938.1,10430.5
16800,5,308.9,10129.5,39.4,1021.6,10583.5
16800,6,320.6,10603.2,51.0,951.0,10338.9
17400,1,330.7,11020.0,10.0,949.7,10782.7
17400,2,318.5,10494.5,18.3,1050.2,11017.6
17400,3,324.4,10785.9,24.1,960.5,10888.6
17400,4,328.3,10980.6,28.6,963.1,10804.6
17400,5,319.8,10499.9,39.4,1054.8,10963.4
17400,6,332.0,10966.4,51.0,998.5,10713.3
18000,1,341.9,11403.0,10.5,977.3,11153.6
18000,2,329.1,10876.5,24.2,1072.1,11394.2
18000,3,336.1,11154.9,31.1,985.8,11246.6
18000,4,339.4,11341.0,28.6,1014.8,11185.3
18000,5,331.4,10869.3,44.6,1079.0,11329.4
18000,6,343.0,11326.0,52.2,1049.6,11092.2
18600,1,354.0,11772.4,17.5,1000.0,11504.4
18600,2,340.6,11240.3,33.1,1094.4,11756.5
18600,3,347.1,11527.4,41.2,1015.4,11615.6
18600,4,350.2,11706.4,41.6,1057.6,11559.8
18600,5,342.2,11224.9,52.5,1118.8,11703.7
18600,6,353.7,11682.7,64.0,1102.5,11467.5
19200,1,365.9,12146.9,21.5,1028.9,11863.7
19200,2,351.8,11608.0,37.5,1124.7,12129.1
19200,3,358.4,11909.7,46.4,1040.9,11988.1
19200,4,361.6,12087.1,51.7,1079.8,11919.5
19200,5,353.4,11603.7,60.4,1136.1,12072.3
19200,6,365.1,12056.3,71.8,1136.7,11828.7
19800,1,376.6,12511.0,25.1,1077.8,12249.0
19800,2,362.8,11983.9,42.4,1150.9,12506.5
19800,3,369.2,12264.7,48.0,1088.8,12371.2
19800,4,372.6,12459.7,57.6,1116.3,12294.4
19800,5,364.8,11967.3,61.8,1167.9,12447.0
19800,6,376.8,12418.0,83.7,1168.6,12181.9
20400,1,387.7,12885.5,26.7,1112.1,12622.8
20400,2,374.9,12342.0,45.0,1171.2,12861.1
20400,3,379.4,12610.9,52.2,1148.8,12761.0
20400,4,382.9,12807.6,61.2,1181.7,12682.9
20400,5,374.6,12301.0,63.4,1244.6,12848.9
20400,6,387.2,12790.7,86.4,1223.3,12572.2
21000,1,398.3,13237.0,28.7,1169.6,13005.7
21000,2,385.5,12714.5,53.6,1203.7,13242.1
21000,3,390.2,12992.5,59.1,1179.9,13140.1
21000,4,394.0,13183.9,73.6,1212.5,13050.2
