row,col,avg_count
0,2,0.1
0,3,0.3
0,4,0.4
0,5,2.4
0,6,2037.7
0,7,763.6
0,8,721.3
0,9,1.0
0,10,2.4
0,11,2.7
0,12,3.9
0,13,394.9
0,14,304.9
0,15,556.0
0,16,4.4
0,17,2.3
0,18,3.3
0,19,6.5
0,20,693.7
0,21,316.0
0,22,253.8
0,23,3.8
0,24,1.8
0,25,1.0
0,26,1.7
0,27,1360.4
0,28,803.2
0,29,1228.5
0,30,1.8
0,31,0.2
1,0,0.1
1,1,28.2
1,2,289.2
1,3,1.7
1,4,0.8
1,5,45.9
1,6,323.4
1,7,2657.7
1,8,385.6
1,9,8.5
1,10,24.1
1,11,376.5
1,12,56.4
1,13,202.3
1,14,1050.4
1,15,319.4
1,16,56.2
1,17,7.2
1,18,42.6
1,19,183.1
1,20,224.7
1,21,1135.4
1,22,109.8
1,23,252.1
1,24,45.7
1,25,14.1
1,26,27.0
1,27,453.2
1,28,2442.6
1,29,271.1
1,30,0.3
1,31,1.6
1,32,148.7
1,33,18.6
1,34,0.1
2,0,1.5
2,1,298.7
2,4,1.1
2,5,87.9
2,8,129.8
2,9,7.6
2,12,372.6
2,13,86.8
2,16,182.7
2,17,1.3
2,18,142.8
2,21,149.7
2,22,249.5
2,25,26.5
2,26,84.5
2,29,40.0
2,30,0.3
2,33,157.6
2,34,0.6
3,0,0.2
3,1,10.1
3,4,0.3
3,5,26.5
3,8,10.7
3,9,2.1
3,12,2.1
3,13,18.9
3,16,9.9
3,17,0.5
3,18,8.6
3,21,9.8
3,22,2.4
3,25,2.2
3,26,9.5
3,29,17.1
3,30,0.5
3,33,13.7
3,34,0.2
4,0,0.9
4,1,10.2
4,4,0.6
4,5,20.3
4,8,10.3
4,9,2.4
4,12,1.7
4,13,12.1
4,16,7.5
4,17,0.3
4,18,6.7
4,21,7.4
4,22,1.9
4,25,3.5
4,26,7.8
4,29,18.2
4,30,0.8
4,33,10.6
4,34,0.3
5,0,0.3
5,1,8.4
5,4,0.6
5,5,18.2
5,8,9.8
5,9,2.4
5,12,1.2
5,13,11.0
5,16,7.7
5,17,0.3
5,18,5.3
5,21,7.1
5,22,1.7
5,25,1.6
5,26,7.3
5,29,17.1
5,30,0.9
5,33,9.2
5,34,0.1
6,0,0.1
6,1,9.1
6,4,0.7
6,5,16.3
6,8,8.2
6,9,2.4
6,12,1.6
6,13,10.7
6,16,7.1
6,17,0.4
6,18,4.0
6,21,7.2
6,22,2.2
6,25,2.5
6,26,6.9
6,29,17.4
6,30,0.6
6,33,6.9
6,34,0.2
7,0,0.2
7,1,8.3
7,4,0.3
7,5,12.1
7,8,5.6
7,9,1.7
7,12,2.3
7,13,10.0
7,16,6.3
7,17,0.1
7,18,3.1
7,21,8.2
7,22,2.2
7,25,1.8
7,26,5.0
7,29,10.4
7,30,1.2
7,33,8.8
8,1,6.0
8,4,1.3
8,5,9.1
8,8,3.9
8,9,2.3
8,12,2.6
8,13,8.7
8,16,4.9
8,17,0.2
8,18,4.6
8,21,5.3
8,22,0.7
8,25,1.3
8,26,5.0
8,29,7.8
8,30,1.1
8,33,8.4
8,34,0.2
9,1,6.0
9,4,0.7
9,5,6.8
9,8,3.1
9,9,2.9
9,12,1.1
9,13,7.1
9,16,5.1
9,17,0.4
9,18,3.8
9,21,4.8
9,22,1.9
9,25,0.6
9,26,4.5
9,29,6.0
9,30,0.9
9,33,5.8
9,34,0.2
10,0,0.1
10,1,3.9
10,4,0.7
10,5,4.2
10,8,4.2
10,9,1.9
10,12,1.5
10,13,6.3
10,16,6.8
10,17,0.4
10,18,3.4
10,21,4.3
10,22,1.1
10,25,0.9
10,26,2.4
10,29,7.2
10,30,1.1
10,33,4.6
10,34,0.1
11,1,4.6
11,4,0.5
11,5,5.5
11,8,4.6
11,9,1.9
11,12,1.7
11,13,3.4
11,16,3.9
11,17,0.1
11,18,4.4
11,21,3.1
11,22,1.4
11,25,1.7
11,26,2.2
11,29,5.6
11,30,0.9
11,33,6.1
12,1,1.2
12,4,0.8
12,5,5.8
12,8,3.1
12,9,1.1
12,12,1.6
12,13,4.1
12,16,2.1
12,17,0.1
12,18,2.8
12,21,5.5
12,22,1.0
12,25,3.5
12,26,2.5
12,29,2.8
12,30,0.5
12,33,5.7
12,34,0.1
13,1,4.7
13,4,1.0
13,5,5.1
13,8,2.0
13,9,1.8
13,12,1.7
13,13,2.5
13,16,1.6
13,18,1.1
13,21,3.6
13,22,1.4
13,25,1.2
13,26,1.1
13,29,4.6
13,30,0.3
13,33,2.6
13,34,0.1
14,0,0.1
14,1,3.5
14,4,0.7
14,5,1.9
14,8,5.9
14,9,3.4
14,12,2.1
14,13,2.9
14,16,2.4
14,17,0.2
14,18,1.4
14,21,2.6
