tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
89,0.7694,1.1398,0.8691,0.9056,0.5334,0.7234,0.8294,0.9437
90,0.7643,1.2026,0.6779,0.989,0.7264,0.6895,1.0299,0.953
91,0.8888,1.2028,1.0064,0.9516,0.8932,0.8749,1.0803,0.7721
92,0.8826,1.0209,0.9872,0.8257,0.8534,0.8749,1.0927,0.6325
93,0.8074,0.8823,1.031,0.8202,0.6738,0.697,1.0679,0.5234
94,0.7998,0.9802,0.9945,0.9168,0.8988,0.604,0.9458,0.4155
95,0.8407,1.0637,1.0116,0.9038,1.068,0.4253,1.1217,0.5007
96,0.8449,0.9151,1.0623,0.8005,0.7494,0.4791,0.9537,0.5043
97,0.497,1.0983,1.0259,0.7374,0.946,0.3647,0.746,0.4958
98,0.6221,1.0266,1.0312,0.6879,0.9042,0.5454,0.8135,0.3508
99,0.6253,0.7986,1.0304,0.896,0.7716,0.4411,0.566,0.6736
100,0.6413,0.8405,0.7609,0.709,0.638,0.4327,0.6823,0.5323
101,1.0075,0.7909,0.7288,0.8214,0.9268,0.7024,0.6849,0.9049
102,0.8092,0.7845,0.634,1.014,0.8027,0.6929,0.6854,0.5596
103,0.6978,0.6814,0.5635,0.8347,0.8718,0.5472,0.6411,0.6331
104,0.7132,0.6718,0.5633,0.9081,0.9587,0.648,0.5605,0.7688
105,0.8189,0.8573,0.7913,1.0184,0.8769,0.6036,0.8204,0.8951
106,0.8234,0.7633,0.8357,0.9789,0.8803,0.7867,0.8365,0.8211
107,0.6984,0.6549,0.7726,0.6463,1.1294,0.878,0.5098,0.9215
108,0.8706,0.9284,0.9766,1.0327,1.162,0.8982,0.9613,0.9091
109,0.8566,0.9262,0.8692,0.9031,1.162,0.7617,0.857,0.8725
110,0.8701,0.8184,0.7972,0.9303,1.162,0.8987,0.9198,0.8836
111,0.7677,0.8946,1.0187,0.9027,1.1435,0.8126,0.6921,0.6894
112,0.7701,0.9432,1.0585,0.9182,0.9431,0.7686,0.8329,0.6842
113,0.6245,1.0135,0.959,0.9286,0.8572,0.8177,0.9536,0.8903
114,0.748,0.7558,1.0379,1.0653,0.6421,0.7801,0.9538,0.8641
115,0.8294,0.7888,1.0396,1.0395,0.8571,0.8422,0.674,0.8889
116,0.722,0.616,1.0482,0.9898,0.938,0.7076,0.9765,0.6926
117,0.661,0.9838,1.041,0.9934,0.815,0.7014,0.969,0.6802
118,0.7579,0.982,0.776,0.9882,0.9645,0.7095,0.9805,0.6764
119,0.7008,0.9391,0.9212,0.9458,0.9668,0.7001,0.9209,0.888
120,0.7133,0.7659,0.909,1.1608,0.9734,0.6522,0.9175,0.8911
121,0.5528,0.8755,0.9607,1.0289,0.6515,0.6026,0.7075,0.9109
122,0.7828,0.9061,0.8972,0.9445,0.7993,0.2765,0.7452,0.8943
123,0.4438,0.7956,0.9065,1.029,1.0401,0.428,0.5476,0.6325
124,0.7969,0.9161,0.8767,0.8833,1.0502,0.479,0.6712,0.6054
125,0.8248,0.9418,0.6392,0.5898,0.9015,0.5519,0.8522,0.9571
126,0.6675,0.9566,0.7341,0.6269,0.9845,0.5739,0.6783,0.7797
127,0.8899,0.7809,0.742,1.0307,1.0546,0.6355,0.7873,1.029
128,0.8881,0.7364,0.6266,0.9154,0.9956,0.6846,0.7949,1.0346
129,0.7511,0.5798,0.7575,0.968,0.9103,0.5998,0.8135,0.8012
130,0.737,0.5252,0.8253,1.0548,0.9857,0.6606,0.752,1.0735
131,0.8836,0.3988,0.6768,0.9923,0.863,0.5533,0.8246,0.9834
132,0.7113,0.2208,0.5373,1.0179,0.8452,0.6967,0.8009,0.9498
133,0.5963,0.2644,0.7363,1.1322,0.8784,0.9897,0.704,0.9762
134,0.6877,0.4192,0.6232,1.167,0.9087,0.9589,0.9934,0.8338
135,0.7954,0.455,0.424,1.1588,0.8758,0.8222,0.7947,0.7538
136,0.7577,0.5374,0.6245,1.1055,0.9161,0.7983,0.9008,0.7967
137,0.6289,0.4474,0.5566,0.958,0.9113,0.6547,1.1188,0.6269
138,0.6457,0.5759,0.7387,0.9504,0.9047,0.6709,1.1829,0.8569
139,0.6418,0.4643,0.7622,1.002,0.7811,0.3667,1.1967,0.8232
140,0.5729,0.6614,0.7026,1.0116,0.8223,0.116,0.7797,0.8844
141,0.6361,0.7148,0.8193,1.0357,0.8187,0.6509,0.7942,0.7624
142,0.3123,0.8469,1.0392,0.7536,0.9969,1.039,0.3085,0.7249
143,0.7833,0.9712,0.9858,0.7295,0.9089,1.1749,0.9251,1.0604
144,0.9078,0.9148,1.0756,0.7438,0.7303,1.0229,0.5343,0.9137
145,0.8865,0.784,1.1951,0.9168,1.0853,0.9314,0.8763,0.9937
146,0.8141,0.7608,1.1872,0.658,0.8631,1.0272,0.5489,0.976
147,0.8572,1.092,0.9627,0.8789,0.9301,0.8452,1.0441,1.0109
148,0.7866,1.0942,1.0319,0.882,1.1201,0.8601,0.863,0.8991
149,0.8074,1.0941,0.9328,0.7356,1.1141,1.0406,0.9285,0.9539
150,0.7955,1.0447,1.1202,0.9704,0.9719,1.0587,0.959,0.8566
151,0.661,1.0934,1.1909,0.9407,0.9396,0.9952,0.9557,0.7585
152,0.5909,0.7699,0.8701,0.8644,0.7652,1.0087,0.9358,0.6666
153,0.5466,0.9992,0.923,1.0356,0.9586,0.9151,1.0713,0.8521
154,0.5356,1.0653,1.109,1.0265,1.0558,0.6969,1.0025,0.8198
155,0.5389,0.6966,0.7357,1.0158,1.0048,0.7765,0.9419,0.7442
156,0.5761,0.4951,1.07,0.7537,0.9908,0.7141,0.8521,0.6893
