tick,agent_id,picks,distance,idle_ticks,slow_ticks,walk_ticks
600,1,10.0,336.7,31.0,56.1,367.7
600,2,9.3,356.6,28.7,45.6,389.7
600,3,9.6,360.0,49.2,32.6,361.9
600,4,9.3,363.0,43.2,46.3,374.6
600,5,8.7,323.2,63.8,55.3,366.5
600,6,8.7,337.6,63.4,59.1,366.5
600,7,8.2,310.1,94.8,47.9,342.9
600,8,8.7,297.5,124.3,42.3,303.9
1200,1,20.8,704.4,44.2,101.3,746.2
1200,2,19.7,717.9,42.0,81.2,767.1
1200,3,20.3,712.9,63.1,78.8,734.9
1200,4,18.8,716.7,65.2,104.1,759.4
1200,5,18.8,668.5,85.1,106.0,743.2
1200,6,17.6,688.2,85.7,129.7,761.5
1200,7,17.8,633.9,143.9,99.3,704.3
1200,8,18.7,664.2,173.5,78.6,657.2
1800,1,30.8,1070.4,57.0,150.3,1128.4
1800,2,29.9,1087.6,54.7,115.3,1149.4
1800,3,30.0,1070.0,81.2,132.6,1121.9
1800,4,28.4,1064.1,80.5,171.1,1149.2
1800,5,28.1,1006.9,105.5,169.7,1134.8
1800,6,27.6,1045.2,112.2,188.5,1142.7
1800,7,26.9,978.9,177.6,151.4,1086.4
1800,8,28.1,989.4,213.6,144.8,1025.0
2400,1,40.7,1420.8,72.9,210.5,1516.2
2400,2,40.6,1436.0,68.3,159.4,1523.6
2400,3,39.9,1404.4,103.5,195.0,1500.4
2400,4,39.2,1428.0,103.0,210.8,1516.1
2400,5,37.4,1339.4,134.3,236.2,1523.3
2400,6,37.2,1390.4,155.2,239.6,1501.1
2400,7,36.7,1298.9,217.9,206.0,1451.3
2400,8,37.5,1330.4,250.3,210.6,1401.9
3000,1,50.7,1769.5,87.8,275.4,1900.8
3000,2,50.3,1792.4,79.6,210.4,1916.6
3000,3,49.6,1775.9,121.8,239.2,1889.0
3000,4,50.1,1780.6,117.7,261.0,1885.4
3000,5,47.2,1681.0,153.6,294.7,1908.4
3000,6,47.3,1755.2,182.6,287.7,1871.9
3000,7,46.2,1632.8,248.8,264.1,1828.5
3000,8,48.1,1695.0,285.7,249.1,1755.7
3600,1,60.8,2126.6,101.2,332.1,2286.4
3600,2,60.0,2125.4,103.4,268.1,2299.6
3600,3,59.8,2141.7,150.0,271.7,2256.4
3600,4,60.3,2135.1,139.1,310.6,2262.5
3600,5,56.8,2023.4,191.9,340.6,2275.9
3600,6,56.7,2090.0,218.1,356.9,2249.9
3600,7,54.4,1937.2,285.8,356.8,2227.4
3600,8,57.7,2032.5,358.4,292.2,2090.3
4200,1,71.3,2512.9,115.7,364.4,2660.2
4200,2,70.7,2482.2,113.3,306.7,2674.1
4200,3,70.2,2502.9,165.1,311.9,2632.4
4200,4,70.9,2499.5,151.6,355.8,2637.5
4200,5,66.5,2361.2,215.0,393.6,2654.3
4200,6,67.2,2460.5,229.8,405.7,2627.8
4200,7,64.7,2277.3,300.1,411.6,2608.8
4200,8,67.9,2406.3,379.6,339.5,2463.3
4800,1,81.9,2878.6,127.7,409.6,3036.0
4800,2,80.5,2853.2,126.7,346.4,3064.1
4800,3,80.9,2857.2,185.8,352.4,2999.4
4800,4,80.4,2829.0,173.1,433.3,3021.3
4800,5,75.5,2686.0,246.7,465.1,3045.0
4800,6,77.3,2799.3,255.9,469.8,3001.2
4800,7,75.1,2642.8,321.7,442.5,2978.7
4800,8,77.5,2773.9,412.6,390.6,2841.6
5400,1,91.5,3232.0,138.9,475.3,3431.8
5400,2,90.2,3215.9,138.8,396.5,3457.9
5400,3,91.1,3216.2,199.5,401.3,3382.7
5400,4,90.0,3162.8,189.8,508.0,3412.4
5400,5,85.5,3049.1,265.6,506.6,3425.4
5400,6,87.0,3170.7,286.1,512.4,3374.4
5400,7,85.1,2995.8,352.2,485.4,3348.5
5400,8,88.0,3125.6,453.3,435.1,3190.2
6000,1,102.1,3605.4,147.8,521.8,3814.1
6000,2,100.3,3570.9,154.7,443.4,3843.2
6000,3,101.0,3594.9,212.5,441.3,3771.8
6000,4,100.2,3529.2,210.7,553.7,3787.8
6000,5,95.4,3388.8,291.2,559.7,3805.8
6000,6,97.5,3538.0,329.1,538.5,3722.1
6000,7,95.6,3321.4,398.7,524.4,3691.2
6000,8,97.4,3471.2,493.7,494.2,3560.2
6600,1,112.1,3969.0,164.6,571.7,4195.9
6600,2,110.7,3932.2,169.0,482.5,4222.0
6600,3,111.2,3966.2,233.3,472.8,4141.9
6600,4,109.9,3905.2,226.1,599.8,4175.9
6600,5,104.9,3733.8,323.6,607.3,4180.9
6600,6,107.5,3889.6,357.8,596.1,4094.5
6600,7,105.1,3661.3,431.9,578.8,4069.7
6600,8,107.3,3805.6,551.6,541.6,3903.9
7200,1,122.8,4329.0,172.9,619.9,4571.9
7200,2,120.8,4289.0,184.5,520.5,4602.1
7200,3,121.7,4336.8,243.3,513.7,4525.0
7200,4,120.4,4268.9,240.8,651.6,4555.0
7200,5,115.0,4062.9,340.7,671.1,4561.4
7200,6,117.7,4243.1,375.9,650.4,4472.1
7200,7,114.7,3977.8,468.6,641.4,4437.7
7200,8,117.5,4141.6,605.2,588.8,4246.0
7800,1,132.0,4668.2,207.0,683.0,4953.1
7800,2,129.8,4607.8,213.9,594.4,4992.5
7800,3,131.0,4654.8,300.7,569.3,4880.5
7800,4,129.8,4612.2,289.3,707.7,4918.0
7800,5,123.9,4385.0,384.5,737.9,4939.5
7800,6,127.6,4575.7,450.6,689.3,4800.5
7800,7,124.2,4308.7,519.5,695.4,4801.0
7800,8,125.8,4467.1,708.5,637.0,4576.9
8400,1,141.0,5002.6,251.9,754.8,5329.7
8400,2,138.6,4911.2,266.1,668.9,5363.0
8400,3,139.6,4967.5,352.4,642.2,5259.6
8400,4,138.1,4916.5,369.7,780.3,5271.2
8400,5,131.6,4681.2,487.2,800.2,5283.5
8400,6,135.9,4876.2,542.6,750.1,5140.4
8400,7,131.9,4586.8,625.2,767.9,5140.0
8400,8,132.4,4714.5,901.0,696.0,4853.3
9000,1,150.6,5333.4,288.1,829.9,5706.7
9000,2,147.1,5228.7,300.9,751.2,5760.3
9000,3,148.3,5298.7,407.7,701.8,5629.9
9000,4,147.4,5228.4,439.4,842.3,5619.6
9000,5,140.6,4986.1,570.5,848.1,5620.8
9000,6,144.5,5182.5,635.0,806.0,5476.6
9000,7,139.8,4857.3,759.1,819.6,5448.3
9000,8,140.4,5000.7,1024.1,757.4,5173.6
9600,1,159.3,5660.3,324.2,903.2,6092.5
9600,2,156.2,5538.1,354.3,815.8,6123.1
9600,3,157.3,5609.4,474.8,761.6,5981.9
9600,4,155.7,5527.9,502.4,928.1,5985.9
9600,5,148.9,5279.1,651.7,912.6,5974.6
9600,6,152.9,5472.0,730.0,870.3,5813.6
9600,7,147.5,5152.6,875.5,874.3,5778.5
9600,8,147.6,5271.6,1192.3,805.9,5458.2
10200,1,167.9,5968.0,365.4,995.9,6482.9
10200,2,164.6,5835.4,413.8,896.0,6494.6
10200,3,165.1,5916.7,548.6,837.4,6349.6
10200,4,164.1,5809.4,577.4,1012.5,6345.4
10200,5,156.8,5556.1,742.8,984.9,6321.7
10200,6,160.9,5763.8,846.3,930.6,6138.6
10200,7,154.4,5377.3,1024.6,957.6,6091.7
10200,8,153.9,5504.5,1395.4,867.1,5728.6
10800,1,176.9,6295.8,408.4,1064.9,6855.8
10800,2,173.3,6140.5,453.5,981.0,6886.5
10800,3,173.6,6249.1,606.8,902.7,6725.6
10800,4,173.1,6125.1,638.4,1073.5,6705.1
10800,5,164.9,5852.3,827.0,1055.9,6678.5
10800,6,168.8,6074.2,954.3,986.4,6473.8
10800,7,161.6,5641.6,1174.7,1011.8,6395.5
10800,8,161.1,5764.6,1558.4,926.4,6021.0
11400,1,186.4,6637.3,438.4,1128.4,7236.5
11400,2,181.7,6453.1,496.4,1057.6,7273.3
11400,3,182.8,6581.7,662.9,954.8,7085.4
11400,4,182.2,6439.9,692.2,1142.2,7069.2
11400,5,173.4,6147.4,901.3,1115.4,7034.4
11400,6,177.5,6396.2,1032.7,1039.9,6822.1
11400,7,169.4,5928.7,1280.9,1067.4,6729.6
11400,8,168.4,6043.7,1706.1,979.0,6326.9
12000,1,195.4,6958.0,469.9,1215.5,7625.6
12000,2,190.1,6738.7,545.3,1153.0,7654.2
12000,3,191.3,6893.6,718.0,1029.3,7458.5
12000,4,190.9,6753.3,764.0,1208.3,7421.5
12000,5,182.3,6450.9,975.0,1177.6,7382.6
12000,6,185.9,6688.0,1135.4,1102.6,7148.6
12000,7,177.4,6220.6,1397.1,1121.8,7058.1
12000,8,175.4,6324.7,1825.7,1064.1,6668.0
12600,1,203.8,7262.0,512.8,1313.8,8017.1
12600,2,198.5,7034.5,603.1,1235.8,8030.2
12600,3,199.5,7173.5,787.6,1120.5,7825.5
12600,4,199.6,7056.0,840.6,1274.9,7768.9
12600,5,190.5,6727.3,1084.4,1238.3,7709.4
12600,6,193.8,6989.1,1236.1,1171.8,7490.0
12600,7,184.7,6475.6,1543.4,1188.0,7361.1
12600,8,181.9,6580.7,1998.9,1131.7,6963.8
13200,1,212.8,7582.6,569.2,1375.0,8378.8
13200,2,207.4,7349.3,660.9,1290.7,8392.7
13200,3,208.4,7490.1,834.0,1191.7,8199.2
13200,4,208.5,7379.0,892.6,1345.0,8141.9
13200,5,199.4,7034.1,1168.8,1282.6,8047.0
13200,6,202.3,7301.0,1325.3,1230.9,7831.3
13200,7,193.0,6761.1,1662.3,1239.4,7681.3
13200,8,189.3,6840.9,2183.6,1175.2,7233.0
13800,1,221.8,7903.9,606.0,1454.3,8758.9
13800,2,216.3,7650.4,712.1,1372.8,8765.6
13800,3,217.0,7788.4,881.8,1291.4,8583.8
13800,4,217.4,7694.1,965.0,1404.1,8491.4
13800,5,207.5,7327.1,1253.9,1357.3,8398.9
13800,6,210.3,7603.9,1421.9,1303.7,8177.0
13800,7,200.9,7048.1,1769.5,1300.7,8014.9
13800,8,196.4,7102.9,2345.1,1239.8,7528.9
14400,1,230.3,8222.8,638.0,1551.6,9159.6
14400,2,225.3,7945.6,781.5,1438.3,9116.3
14400,3,224.7,8088.2,942.4,1382.6,8965.5
14400,4,225.3,7979.9,1046.1,1491.1,8850.8
14400,5,215.3,7620.1,1337.5,1430.7,8758.9
14400,6,218.2,7895.6,1520.6,1378.8,8517.2
14400,7,207.9,7331.8,1901.1,1363.5,8343.6
14400,8,203.5,7375.5,2483.4,1314.1,7847.5
15000,1,240.1,8543.4,681.0,1612.1,9517.6
15000,2,233.5,8245.8,814.4,1532.2,9516.7
15000,3,234.1,8414.8,985.2,1444.6,9336.0
15000,4,233.7,8304.5,1101.9,1560.4,9224.4
15000,5,224.1,7928.7,1402.5,1492.7,9117.0
15000,6,227.2,8218.8,1588.0,1441.7,8870.9
15000,7,216.4,7636.3,2019.7,1396.8,8655.0
15000,8,211.2,7668.3,2628.8,1362.0,8150.3
15600,1,248.8,8857.0,729.5,1687.2,9899.2
15600,2,241.7,8560.3,851.0,1614.2,9919.5
15600,3,242.5,8715.3,1066.4,1508.5,9687.3
15600,4,243.0,8609.4,1178.0,1616.9,9563.8
15600,5,232.0,8214.8,1503.0,1557.9,9458.4
15600,6,235.3,8508.0,1696.9,1508.6,9199.5
15600,7,224.2,7920.6,2129.4,1464.6,8989.8
15600,8,218.4,7931.2,2790.4,1422.2,8444.5
16200,1,257.6,9175.0,764.3,1772.6,10287.4
16200,2,250.3,8858.5,894.6,1689.6,10298.2
16200,3,250.5,8997.3,1112.7,1621.1,10082.2
16200,4,251.8,8929.7,1240.7,1684.8,9932.0
16200,5,240.0,8508.7,1566.1,1648.3,9838.0
16200,6,243.7,8826.2,1788.1,1563.7,9540.1
16200,7,231.5,8185.2,2235.8,1548.2,9337.5
16200,8,225.6,8210.1,2915.3,1500.8,8774.1
16800,1,266.1,9492.7,812.5,1859.3,10669.0
16800,2,258.0,9151.7,933.7,1798.7,10707.5
16800,3,258.4,9284.5,1173.5,1716.5,10461.2
16800,4,258.9,9231.0,1304.6,1787.1,10322.1
16800,5,247.5,8787.5,1638.8,1741.0,10209.6
16800,6,251.3,9113.1,1915.5,1626.2,9859.5
16800,7,238.5,8437.5,2384.3,1613.7,9650.8
16800,8,232.5,8457.8,3101.5,1559.9,9050.0
17400,1,274.8,9803.8,868.1,1933.2,11037.2
17400,2,267.0,9464.3,983.8,1864.8,11080.1
17400,3,267.2,9584.9,1239.2,1783.3,10816.8
17400,4,266.6,9529.8,1385.8,1867.7,10684.0
17400,5,256.6,9097.7,1710.0,1797.2,10562.2
17400,6,260.4,9406.9,2016.4,1682.6,10180.3
17400,7,246.5,8720.0,2512.3,1664.6,9961.1
17400,8,240.0,8717.0,3247.8,1635.1,9355.5
18000,1,284.3,10123.8,916.6,2003.4,11401.3
18000,2,275.5,9771.6,1042.7,1934.0,11450.7
18000,3,276.1,9876.7,1324.0,1846.4,11158.5
18000,4,274.6,9829.1,1481.3,1939.3,11030.4
18000,5,263.8,9396.3,1804.8,1872.9,10923.4
18000,6,267.3,9669.0,2134.4,1776.3,10521.5
18000,7,253.7,8980.3,2667.2,1716.7,10261.7
18000,8,246.4,8946.6,3457.6,1695.9,9616.4
18600,1,293.7,10435.1,952.2,2087.2,11777.7
18600,2,283.8,10105.5,1090.6,2000.8,11834.1
18600,3,284.6,10182.9,1385.5,1918.3,11525.5
18600,4,282.8,10137.1,1543.5,2027.6,11402.0
18600,5,272.1,9703.8,1877.1,1940.0,11285.1
18600,6,275.5,9978.6,2212.6,1852.6,10882.1
18600,7,261.9,9272.0,2755.7,1787.1,10611.2
18600,8,253.7,9219.8,3614.0,1752.9,9914.5
19200,1,302.6,10761.1,981.8,2171.8,12169.2
19200,2,292.4,10425.7,1142.2,2069.3,12211.8
19200,3,293.3,10496.8,1450.0,1987.5,11886.7
19200,4,291.6,10463.9,1608.1,2089.1,11762.7
19200,5,280.2,10000.3,1967.0,1996.6,11632.8
19200,6,284.0,10278.9,2292.1,1929.5,11232.4
19200,7,269.3,9553.8,2887.1,1838.2,10928.7
19200,8,261.5,9513.8,3737.0,1813.0,10237.5
19800,1,311.9,11092.6,1025.1,2240.3,12540.0
19800,2,301.8,10750.8,1185.7,2125.2,12581.4
19800,3,302.4,10818.0,1506.3,2052.1,12249.6
19800,4,300.3,10772.7,1685.4,2154.5,12113.6
19800,5,288.8,10278.4,2046.1,2068.2,11980.5
19800,6,292.2,10581.1,2395.1,1991.5,11564.9
19800,7,277.1,9837.7,2998.2,1898.8,11263.3
19800,8,269.0,9779.8,3886.0,1873.4,10534.5
20400,1,320.8,11396.4,1087.2,2310.1,12898.1
20400,2,311.0,11044.9,1261.5,2184.4,12922.1
20400,3,310.4,11121.4,1560.8,2144.1,12637.2
20400,4,308.5,11071.7,1782.6,2218.8,12448.2
20400,5,296.4,10537.7,2151.1,2153.5,12324.9
20400,6,299.5,10859.9,2476.9,2089.5,11936.8
20400,7,284.4,10105.5,3123.7,1972.4,11592.9
20400,8,275.6,10026.7,4069.3,1944.4,10823.7
21000,1,329.0,11692.3,1133.7,2407.1,13292.3
21000,2,319.6,11329.9,1320.5,2266.3,13290.8
21000,3,318.5,11430.7,1600.8,2239.7,13031.6
21000,4,316.9,11369.6,1868.1,2287.6,12796.3
21000,5,304.2,10826.0,2237.9,2223.4,12677.6
21000,6,306.5,11137.4,2593.1,2169.4,12275.7
21000,7,292.1,10363.5,3267.9,2032.6,11893.8
21000,8,281.5,10265.9,4271.2,2007.1,11101.4
21600,1,338.2,12013.6,1182.8,2477.4,13657.5
21600,2,327.8,11635.5,1371.5,2349.1,13674.2
21600,3,327.4,11749.7,1666.9,2301.2,13389.4
21600,4,325.3,11691.3,1931.0,2358.8,13165.6
21600,5,312.7,11113.3,2334.9,2284.7,13015.0
21600,6,314.8,11437.9,2702.1,2228.8,12605.9
21600,7,299.8,10649.2,3380.3,2095.2,12228.4
21600,8,288.2,10515.2,4449.4,2069.0,11391.1
22200,1,347.6,12370.5,1206.3,2538.7,14046.9
22200,2,337.7,11967.7,1396.7,2404.9,14052.5
22200,3,336.0,12081.5,1690.8,2382.0,13793.4
22200,4,334.9,12039.7,1968.7,2409.2,13537.1
22200,5,322.2,11439.1,2371.7,2347.8,13391.4
