tick,agent_1,agent_2,agent_3,agent_4
0,,,,
1,0.0001,,,
2,0.5035,,,
3,0.6571,,,
4,0.7535,,,
5,1.1598,,,
6,0.774,,,
7,1.1363,,,
8,1.0245,,,
9,1.1112,0.0172,,
10,0.866,0.5198,,
11,1.0834,1.0391,,
12,1.0856,0.5665,,
13,1.154,1.0656,,
14,1.1012,1.0676,,
15,1.1126,1.0676,,
16,1.1692,1.0615,,
17,1.184,0.5122,,
18,1.1645,0.7354,0.0706,
19,0.987,1.0188,1.2319,
20,1.127,0.7812,1.2313,
21,0.9623,0.9542,1.2317,
22,1.0742,0.9967,1.2303,0.0005
23,0.9253,1.0034,0.3847,1.374
24,1.1215,0.875,1.0721,0.843
25,1.0242,0.923,1.0547,
26,1.079,1.0463,0.6866,
27,1.0015,0.9165,0.8311,0.0
28,1.1462,0.9559,0.8603,1.0843
29,1.0578,1.0716,1.1562,1.1052
30,1.0342,1.044,0.9691,1.2087
31,1.1314,0.9831,1.1508,1.2087
32,0.9478,1.1597,1.0502,1.2087
33,1.0736,1.0743,0.8094,0.6043
34,1.2648,1.0656,1.1306,1.2281
35,1.2649,1.1578,1.139,0.6292
36,1.0246,1.0793,1.1501,1.2036
37,1.2577,1.1482,1.1704,0.7535
38,1.3088,1.1075,1.1704,0.9261
39,1.2006,1.0322,1.1984,1.2334
40,0.9442,0.9357,1.1984,1.0055
41,0.656,1.1897,1.1724,1.2349
42,0.9473,0.9518,1.1724,0.9993
43,1.214,0.9758,1.1724,1.2354
44,0.6427,1.1716,1.1724,1.0971
45,1.2132,1.1716,1.1724,0.8445
46,1.011,1.1716,1.1817,1.2286
47,1.2118,0.8911,0.9026,0.9234
48,1.1584,0.9045,0.9442,0.958
49,1.0283,1.0582,0.9924,1.2372
50,1.2435,0.9236,1.0246,0.7036
51,1.051,0.9001,0.8065,1.176
52,1.1914,1.1053,1.151,1.19
53,1.2445,1.0831,0.9478,0.9945
54,1.0563,1.0845,1.1685,1.0397
55,1.1391,1.0845,1.1722,1.1065
56,1.0604,0.9838,0.8665,1.0808
57,1.1738,0.6929,0.9371,1.1208
58,1.1101,1.1592,1.1661,1.1863
59,1.1196,1.1633,1.1704,1.0074
60,1.0324,1.2113,0.9094,1.1399
61,0.9802,0.7436,0.9854,1.0647
62,0.7365,1.1513,1.1803,1.1399
63,0.7723,0.9,1.1803,1.1417
64,0.9166,0.8606,1.1803,1.1417
65,0.9827,1.0415,1.1803,1.1417
66,0.9259,0.9973,1.1802,1.1414
67,0.8484,0.8716,0.9963,0.7052
68,0.9157,0.6924,1.0161,1.2097
69,0.7017,0.9411,1.0201,1.2097
70,1.1227,0.845,1.0703,0.9678
71,1.2014,0.9458,1.1566,1.2428
72,1.1971,0.9706,1.1311,1.1684
73,1.2161,0.9577,1.129,0.8412
74,1.0859,0.9595,1.0893,1.1376
75,0.8114,0.9422,0.9576,1.1896
76,0.7862,0.9312,0.9325,1.0754
77,0.8189,0.9583,0.8748,1.0135
78,0.5922,0.9464,0.5959,0.965
79,0.8152,0.8799,0.7917,1.1542
80,0.6903,0.7605,0.9262,1.1205
81,0.6717,0.8397,0.7227,0.8868
82,0.9419,0.8097,0.9226,1.1149
83,0.8437,0.6547,0.8669,1.0238
84,0.803,0.8596,0.8721,1.0073
85,0.9077,0.6938,0.9346,1.1869
86,0.841,0.9145,0.8662,1.1509
87,0.8498,0.9244,0.8461,1.1933
88,0.8302,1.0188,0.9541,1.201
89,0.8272,0.8151,1.0002,1.2044
90,0.8254,0.8311,1.0087,1.206
91,0.6697,1.0242,1.0077,1.1659
92,0.8688,1.0658,1.0025,1.2078
93,0.6501,1.0036,0.9601,1.1973
94,0.575,0.965,0.8934,1.0443
95,0.5058,0.7696,0.7599,1.0086
96,0.6106,1.0906,0.7945,0.9762
97,0.5934,1.1005,0.9509,0.7074
98,0.5945,0.8804,0.887,0.9386
99,0.485,1.1083,0.8869,0.8634
100,0.3688,0.9209,0.7848,0.7739
101,0.3084,1.0924,0.7861,0.508
102,0.518,0.9129,0.873,0.5136
103,0.5145,0.9473,0.8682,0.435
104,0.4413,0.8635,0.6919,0.5266
105,0.6148,0.8585,0.7577,0.8612
106,0.7328,0.8014,0.9427,1.1215
107,0.3561,0.9251,0.5057,0.8124
108,0.5088,0.8935,0.736,1.2286
109,0.4515,0.8257,1.0064,1.2525
110,0.4896,0.9245,0.8234,1.0028
111,0.6987,0.8023,0.8615,1.0193
112,0.5865,0.9195,1.0248,1.0586
113,0.6359,0.8836,1.0028,1.0981
114,0.8509,1.1168,0.9357,1.0608
115,0.5548,0.9069,0.9348,1.155
116,0.7037,1.1085,0.9423,1.2161
117,0.9497,1.126,0.6042,1.168
118,0.7748,1.1233,0.9851,1.2122
119,0.8938,1.1346,0.8415,1.085
120,0.9245,1.1241,0.9035,1.2247
121,0.9434,0.892,0.9006,1.1908
122,0.9478,0.6643,0.8972,1.0918
123,0.9104,1.1782,0.8986,1.1736
124,0.883,0.8692,0.557,1.1378
125,0.7323,1.1064,0.9589,1.1845
126,0.9252,1.178,0.8989,1.1498
127,0.9198,1.0493,0.7521,1.1735
128,0.8868,0.7637,0.9772,1.0813
129,0.8565,0.9251,0.6149,1.0507
130,0.7691,0.937,0.956,0.9832
131,0.8262,0.9986,1.0094,0.9283
132,0.7724,0.9559,0.9148,0.4885
133,1.0596,1.0724,0.9796,0.5191
134,1.1178,1.0643,0.7798,0.975
135,0.8172,0.9715,0.8036,0.7165
136,1.1125,1.0082,0.9904,1.1363
137,1.1365,0.731,0.9457,1.0665
138,1.0858,1.1203,1.0715,0.8311
139,0.9466,1.1267,0.8633,1.0476
140,1.1756,1.1278,0.939,1.0402
141,1.1763,1.013,0.7741,1.0772
142,1.1439,1.1052,0.6663,1.0459
143,0.9805,0.911,0.5557,1.0368
144,1.1503,1.1299,0.789,1.0383
145,0.9432,1.1369,0.6558,1.039
146,1.217,1.0907,0.6491,1.042
147,1.2368,0.8475,0.7963,1.0315
148,1.2368,0.794,0.6925,1.0425
149,1.2363,0.7948,0.9279,1.0458
150,1.2368,0.8839,0.8921,1.0158
151,0.9626,0.7393,0.6695,0.9116
152,1.0309,0.9916,0.7657,1.1351
153,1.2587,0.9842,0.9195,1.0688
154,1.0109,0.9085,0.8923,0.9988
155,1.0504,0.7652,1.0863,0.9632
156,1.0643,0.9599,1.1347,0.6874
157,0.9534,0.8105,1.1851,0.8858
158,1.1421,1.0144,1.1851,0.9769
159,1.0843,0.9845,0.8465,0.962
160,1.1465,0.9893,1.1841,0.9519
161,1.0895,0.9873,0.9243,0.8807
162,1.1482,0.8217,0.9734,1.0398
163,1.1291,0.8391,1.0069,1.0272
164,1.1699,0.7073,1.1223,0.8297
165,0.8634,0.8869,1.089,0.6944
166,1.0944,0.8944,1.0934,1.239
167,1.1547,0.8975,1.0733,0.881
168,1.1274,0.9046,1.1277,1.1619
169,0.8998,0.8161,1.1449,0.8631
170,0.6307,0.6575,1.1514,1.2154
171,0.6684,0.4786,0.958,1.2449
172,0.8114,0.6077,1.0381,1.0292
173,1.0731,0.4309,1.0125,1.2785
174,0.8448,0.4385,0.9574,1.2785
