tick,agent_id,picks,distance,idle_ticks,slow_ticks,walk_ticks
600,1,10.9,316.0,40.0,53.8,345.1
600,2,10.1,316.2,47.3,47.9,351.4
600,3,9.4,318.4,63.3,50.7,350.7
600,4,9.6,309.4,90.1,37.1,319.8
600,5,9.3,302.7,96.5,36.2,319.0
600,6,9.2,284.2,145.5,26.0,273.0
1200,1,21.7,676.0,54.3,95.4,713.5
1200,2,21.3,658.8,60.6,87.2,718.5
1200,3,21.2,663.2,88.3,73.8,691.4
1200,4,20.9,659.2,128.3,63.6,659.4
1200,5,20.6,634.6,138.2,63.0,652.9
1200,6,19.9,629.6,202.2,48.6,598.6
1800,1,32.8,1032.5,73.9,129.6,1070.4
1800,2,31.6,994.0,98.2,121.3,1073.8
1800,3,32.2,1017.3,108.4,107.0,1047.8
1800,4,31.7,982.2,169.5,106.8,998.4
1800,5,30.6,964.8,189.6,102.2,1001.7
1800,6,31.0,947.1,270.4,83.7,913.0
2400,1,44.2,1390.7,93.4,163.2,1422.8
2400,2,42.5,1331.3,111.1,161.0,1440.9
2400,3,43.4,1371.8,124.5,142.7,1411.6
2400,4,42.9,1299.2,200.1,159.3,1344.6
2400,5,41.3,1296.1,223.1,138.0,1353.5
2400,6,41.9,1277.6,320.2,123.3,1245.4
3000,1,55.8,1747.2,106.9,198.8,1781.1
3000,2,53.1,1688.7,131.6,193.6,1812.1
3000,3,54.6,1721.5,150.3,173.8,1760.3
3000,4,53.8,1654.2,221.0,196.5,1701.9
3000,5,52.5,1639.1,256.2,162.1,1699.4
3000,6,52.7,1624.0,366.1,155.8,1584.5
3600,1,67.0,2110.1,122.8,229.9,2139.9
3600,2,64.4,2031.6,147.0,223.4,2167.4
3600,3,66.0,2062.4,172.4,207.2,2110.5
3600,4,65.6,2006.2,243.7,224.2,2047.2
3600,5,63.6,1997.2,278.8,183.6,2053.3
3600,6,63.7,1965.8,410.1,188.1,1917.5
4200,1,78.6,2467.5,131.9,266.7,2499.2
4200,2,75.6,2379.0,155.0,259.8,2536.3
4200,3,77.3,2427.4,181.9,235.5,2476.3
4200,4,77.2,2356.9,263.0,255.4,2395.3
4200,5,74.6,2350.1,303.0,210.8,2409.0
4200,6,75.5,2322.5,436.7,214.2,2254.6
4800,1,90.2,2830.0,143.8,297.2,2855.2
4800,2,86.9,2722.1,170.0,289.3,2893.0
4800,3,89.2,2775.7,204.0,254.7,2813.5
4800,4,87.9,2707.6,285.3,296.2,2758.1
4800,5,85.5,2704.0,325.9,235.7,2765.2
4800,6,87.0,2672.2,472.9,240.0,2588.7
5400,1,102.2,3192.3,158.6,321.5,3200.3
5400,2,98.0,3065.7,184.8,323.7,3256.3
5400,3,100.7,3136.9,213.0,287.4,3175.2
5400,4,99.6,3070.1,313.9,314.3,3095.7
5400,5,96.9,3047.2,344.3,268.8,3118.6
5400,6,98.3,3034.8,497.7,272.6,2937.6
6000,1,114.7,3555.5,165.0,344.3,3543.5
