tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6
0,0.1136,,,,,
1,0.3087,,,,,
2,0.5347,,,,,
3,0.9598,0.1534,,,,
4,0.4849,0.6773,,,,
5,0.7021,1.1233,,,,
6,1.0347,1.1735,,,,
7,1.1019,0.4323,,,,
8,1.1027,0.5354,,,,
9,1.175,0.8668,0.0001,,,
10,1.0316,0.9337,1.104,,,
11,1.1417,1.0352,1.104,,,
12,1.1064,1.1251,1.1039,,,
13,1.093,1.1008,1.1008,,,
14,1.1249,1.0661,0.5521,,,
15,1.0659,1.0658,0.8711,,,
16,0.6994,1.1003,0.5086,,,
17,0.8886,1.1858,1.118,0.0,,
18,1.0419,0.7859,1.1183,1.2472,,
19,0.9404,1.1288,1.1182,1.2476,,
20,0.8512,1.1219,0.8953,0.4239,,
21,0.9226,1.0747,1.1133,0.9575,,
22,0.9818,1.1355,0.7707,1.095,,
23,0.8905,1.1217,0.8365,0.8839,0.097,
24,1.1849,0.9095,0.9245,0.8979,0.2713,0.0
25,1.129,0.7989,0.9309,1.068,1.0795,1.2942
26,0.8217,1.0273,0.983,1.0642,0.7462,1.2943
27,1.0102,0.7643,1.0883,1.1772,1.0907,1.2943
28,1.013,1.1053,0.9736,1.1979,0.8745,1.2943
29,1.0027,0.9277,1.0776,0.9766,1.0867,0.5464
30,0.8687,1.0955,0.8961,1.162,0.9905,0.9214
31,1.0398,0.9406,0.8492,0.9123,0.889,0.6469
32,1.0198,1.1048,1.1402,0.8311,1.118,1.1189
33,0.9638,1.1118,1.1401,1.0113,0.9555,1.1189
34,0.7644,1.093,0.9503,1.1627,1.0373,1.1189
35,0.7599,0.9045,0.9879,1.2144,0.8308,1.1189
36,0.5889,1.0474,1.0311,1.0113,1.0616,0.5953
37,0.8474,0.9685,1.0108,1.053,1.01,1.0399
38,0.6363,0.877,0.919,0.9323,1.1,0.8845
39,0.8781,0.6417,1.1213,1.133,1.094,0.747
40,1.0047,0.8927,1.0581,1.0889,1.1248,1.1063
41,0.8233,0.9373,0.8642,1.1472,0.8458,1.1385
42,0.4986,0.9388,1.08,0.9701,1.0003,0.7407
43,0.5597,0.9443,0.977,1.0005,0.8112,1.137
44,0.9243,0.8147,1.1954,0.7241,1.0855,1.1196
45,0.8286,0.8588,1.0498,1.1141,0.9091,1.1216
46,1.0553,0.8327,0.7667,1.1093,0.8857,0.7478
47,0.7304,0.8532,0.5953,1.1087,0.9009,1.1698
48,0.9843,1.0098,0.9907,0.7398,1.0037,1.165
49,1.2166,1.0105,0.9106,1.0052,1.0653,0.7191
50,1.2166,0.8455,0.8712,1.0388,0.7304,1.1329
51,1.1823,0.8025,0.9981,1.1927,0.7902,1.0967
52,0.9043,0.816,0.8847,1.0504,0.7991,0.919
53,1.0245,0.8489,0.962,1.2068,0.9286,0.9687
54,1.147,0.9358,0.8561,1.211,0.779,0.9621
55,1.061,0.9236,0.9011,1.077,0.662,0.9075
56,1.0002,0.4099,1.0601,1.1744,0.8639,1.1966
57,1.0863,0.8903,0.891,1.1512,1.1416,1.2101
58,0.6081,0.7502,1.1038,1.0884,0.9565,1.2102
59,0.9583,0.837,0.8853,0.9826,0.9048,1.2007
60,0.9395,1.0414,0.6793,1.0219,1.0807,1.1862
61,0.7084,0.8143,0.8838,1.1611,1.0491,1.2447
62,0.9265,0.7953,0.9474,0.8932,0.8791,0.9021
63,0.9085,0.811,0.3955,0.4869,0.9708,1.2112
64,0.9175,0.4388,0.7584,0.9565,0.9079,1.2206
65,1.0012,0.9026,0.8558,0.86,0.7152,1.0766
66,0.8315,0.7536,0.8919,0.9656,0.85,1.2207
67,0.7565,1.012,0.9208,0.9477,0.6536,0.9957
68,0.6877,1.156,1.0565,1.1945,0.6835,1.1717
69,1.0005,1.1604,0.9745,0.8959,0.6026,0.9899
70,0.7834,1.1528,0.8529,1.1033,0.7243,0.7046
71,0.9201,1.0868,1.077,1.1033,0.7995,0.9133
72,0.8854,1.1539,1.0986,0.6045,0.7218,1.2369
73,0.7548,1.2153,0.8796,1.0001,0.9437,1.1964
74,0.5959,1.0128,0.6836,1.1205,0.9286,1.083
75,0.4976,0.8912,0.6244,1.0643,0.8828,1.1587
76,0.8039,1.0309,0.6074,1.1955,0.9649,1.2013
