tick,agent_id,picks,distance,idle_ticks,slow_ticks,walk_ticks
600,1,9.1,322.1,86.5,38.1,332.6
600,2,8.7,278.1,126.2,38.2,306.1
600,3,7.8,290.5,162.3,21.8,285.1
600,4,7.5,266.7,189.0,28.3,263.1
1200,1,19.0,642.3,156.0,77.3,669.2
1200,2,18.2,603.6,191.1,69.5,645.5
1200,3,17.3,610.4,235.2,61.8,623.0
1200,4,16.6,571.3,305.2,59.5,564.8
1800,1,28.7,980.7,211.5,114.5,1015.0
1800,2,28.6,941.2,259.5,86.2,974.7
1800,3,26.9,933.2,312.4,90.2,950.8
1800,4,25.6,896.2,430.2,70.9,857.3
2400,1,39.6,1342.4,248.8,140.9,1361.5
2400,2,38.3,1273.7,307.6,122.6,1331.3
2400,3,36.7,1254.4,365.2,141.7,1303.1
2400,4,34.9,1232.9,502.2,111.8,1201.8
3000,1,49.9,1696.2,277.5,183.0,1729.7
3000,2,48.2,1598.3,346.7,166.9,1690.1
3000,3,46.3,1591.8,416.9,182.1,1658.9
3000,4,44.0,1568.2,555.3,165.8,1568.4
3600,1,59.2,2016.2,341.5,234.1,2078.4
3600,2,58.4,1930.6,408.9,194.1,2027.8
3600,3,55.9,1930.0,507.6,197.2,1975.2
3600,4,52.3,1879.4,654.3,210.9,1899.2
4200,1,70.5,2392.6,366.0,252.6,2426.8
4200,2,69.3,2297.1,428.3,211.4,2386.5
4200,3,66.7,2311.6,534.1,212.8,2333.2
4200,4,62.6,2242.1,711.6,233.1,2241.5
4800,1,80.8,2766.5,408.6,273.7,2776.3
4800,2,79.5,2657.9,468.0,232.5,2743.9
4800,3,77.1,2662.2,591.6,228.6,2667.5
4800,4,73.5,2585.8,771.6,249.8,2560.4
5400,1,91.7,3145.9,435.2,295.6,3132.2
5400,2,89.7,3016.5,502.6,256.9,3105.0
5400,3,87.4,3007.2,653.9,249.5,2999.2
5400,4,83.9,2933.8,821.7,278.7,2900.0
6000,1,102.0,3504.9,469.5,332.4,3490.8
6000,2,100.4,3372.1,541.4,275.7,3454.4
6000,3,97.8,3366.1,711.3,267.3,3337.2
6000,4,93.9,3267.9,904.8,300.8,3216.5
6600,1,113.1,3877.9,496.7,357.0,3843.3
6600,2,110.3,3712.1,582.3,312.3,3814.3
6600,3,108.2,3700.1,765.5,299.7,3675.1
6600,4,104.6,3615.8,971.1,313.8,3539.9
7200,1,123.9,4237.4,538.0,379.5,4186.3
7200,2,120.7,4044.7,643.2,333.7,4147.6
7200,3,118.1,4032.8,846.1,319.8,3994.3
7200,4,114.2,3962.2,1048.8,334.3,3867.2
7800,1,134.0,4582.8,598.7,407.2,4523.1
7800,2,129.9,4379.7,702.5,365.4,4500.9
7800,3,127.5,4354.5,956.2,338.6,4297.8
7800,4,123.1,4251.0,1185.7,361.9,4156.3
8400,1,143.8,4916.1,680.9,430.1,4843.7
8400,2,138.6,4679.2,808.2,396.3,4821.4
8400,3,136.3,4653.3,1072.6,368.6,4601.8
8400,4,131.7,4563.0,1304.9,392.7,4464.1
9000,1,153.0,5242.6,778.3,455.5,5160.2
9000,2,147.6,4977.6,920.4,421.1,5127.1
9000,3,144.3,4942.4,1206.9,406.6,4910.1
9000,4,139.0,4828.8,1500.8,411.3,4721.9
9600,1,162.2,5562.1,870.5,492.0,5487.1
9600,2,156.6,5271.1,1037.7,450.8,5433.4
9600,3,152.2,5216.4,1373.3,434.4,5185.3
9600,4,146.7,5108.1,1671.7,435.6,4997.4
10200,1,172.0,5902.4,940.3,522.5,5824.3
10200,2,165.9,5575.2,1117.1,489.9,5765.3
10200,3,161.2,5534.1,1461.5,473.5,5519.2
10200,4,154.7,5391.0,1840.1,454.0,5265.8
10800,1,180.1,6206.5,1047.9,567.8,6154.6
10800,2,174.0,5839.1,1262.9,530.5,6057.8
10800,3,168.8,5777.8,1617.3,528.5,5809.2
10800,4,160.9,5608.4,2075.3,493.9,5507.7
11400,1,187.8,6476.8,1142.5,649.8,6505.8
11400,2,181.5,6099.3,1375.9,602.2,6398.1
11400,3,176.2,6023.7,1748.8,602.4,6130.5
11400,4,167.2,5834.1,2308.0,530.8,5749.4
12000,1,196.0,6765.3,1239.7,706.1,6844.8
12000,2,188.8,6385.6,1477.9,659.6,6745.1
