tick,agent_1,agent_2,agent_3,agent_4
0,,,,
1,0.0001,,,
2,1.0068,,,
3,0.5037,,,
4,0.7792,,,
5,1.1678,0.0005,,
6,0.701,1.1753,,
7,1.1372,0.7735,,
8,1.1361,1.1752,,
9,1.1125,0.5954,,
10,0.9832,1.0396,,
11,0.9963,1.0396,,
12,0.9944,0.5684,,
13,1.0141,0.5634,,
14,1.1046,0.9634,,
15,1.042,1.0123,,
16,0.9406,1.0579,,
17,1.033,1.0704,0.0002,
18,1.0498,0.8032,0.5684,
19,0.8445,1.0449,1.1833,
20,1.0612,0.7933,1.1834,
21,1.1039,1.0707,1.1834,
22,1.0768,1.0714,0.7892,0.0005
23,1.1026,1.0696,1.2318,1.3736
24,1.1485,0.9745,0.9861,1.3725
25,1.0624,1.0346,1.2162,0.6875
26,0.8567,0.8918,1.2318,1.2538
27,0.8761,1.0254,1.1374,1.2538
28,1.1908,0.776,1.2103,1.248
29,0.9758,1.1346,1.0315,1.1354
30,1.1242,1.0249,1.0362,1.2353
31,0.9702,0.7546,1.2307,1.2538
32,1.1738,1.1757,0.8092,1.0696
33,1.098,1.2039,0.9136,1.1314
34,1.0078,0.9035,1.1598,0.7507
35,0.9744,1.1415,1.1473,0.4347
36,1.0906,1.17,1.0024,1.2423
37,1.2201,0.999,1.158,1.2423
38,1.1651,1.0514,1.158,0.8282
39,1.2279,0.8143,1.158,1.2616
40,1.2528,1.1081,1.1638,1.2616
41,1.2148,1.1081,1.1837,1.2616
42,1.2046,0.8865,1.1837,0.9462
43,1.2074,0.8629,1.1744,1.2899
44,1.153,1.028,1.1169,1.2581
45,0.7516,1.0153,1.1169,0.959
46,1.1311,1.0209,1.054,1.2439
47,1.1311,1.0948,0.3642,1.2441
48,0.5095,0.8756,1.2147,1.2997
49,0.9712,0.8918,1.1568,1.2997
50,1.1042,1.1307,0.9373,1.2997
51,1.12,1.0855,0.9149,1.2476
52,0.8402,0.923,1.1488,1.2015
53,1.1985,1.143,0.8857,1.2166
54,0.9123,0.9361,0.949,0.6239
55,0.8874,1.0417,1.1954,0.5591
56,0.984,0.5383,1.2182,0.8062
57,0.8093,0.9296,1.2182,1.2644
58,0.5943,0.9291,1.2182,0.9484
59,0.9046,0.9114,1.2182,1.2316
60,0.7544,0.8988,0.9177,1.2311
61,0.9166,1.1109,1.0239,0.9095
62,0.717,1.103,1.0007,1.143
63,0.9323,0.9897,0.7643,1.1703
64,0.9347,1.033,0.969,1.1596
65,0.7942,0.8372,0.968,0.9955
66,1.0141,0.754,1.2033,1.1807
67,0.8557,1.1461,1.1567,1.245
68,0.9934,1.0746,1.022,1.2444
69,0.9928,1.1437,0.9177,1.2009
70,0.7944,0.9025,1.1169,1.2423
71,0.972,0.8496,,1.2423
72,0.8315,0.9544,,1.0463
73,0.9732,0.823,0.0,1.1697
74,1.0438,0.9671,1.3285,1.2423
75,1.01,0.8608,1.3286,1.3517
76,0.9602,0.77,1.3286,1.3517
77,0.8944,0.7149,0.6643,1.3517
78,0.8781,0.7186,1.3162,
79,0.8667,0.549,0.6642,0.0
80,0.8567,0.6055,0.8295,0.6875
81,0.6945,0.6735,0.9078,1.2465
82,0.8024,0.7162,0.9865,1.2465
83,0.8594,0.719,1.2025,1.2465
84,0.9451,0.7282,1.1449,1.2465
85,0.7384,0.5918,0.9468,1.2465
86,0.9916,0.3751,0.9729,0.7478
87,0.9852,0.5523,0.9866,0.6843
88,0.9371,0.8517,0.9616,0.9068
89,0.838,0.6631,1.0402,1.2869
90,0.8352,0.8782,1.0326,1.2869
91,0.4415,0.8752,1.0179,1.2203
92,0.8768,0.8798,1.0186,0.8832
93,0.6377,0.7442,1.0161,0.9126
94,0.9217,0.8185,0.9561,0.994
95,0.9112,1.0241,0.8686,0.9272
96,0.9141,0.9085,0.8278,1.2484
97,0.9114,0.9415,0.7959,1.2481
98,0.6348,0.9656,0.816,1.12
99,1.0202,1.0923,0.6961,0.8113
100,1.0047,0.7187,0.7438,1.2477
101,0.7912,1.1368,0.913,1.2476
102,0.8693,1.1368,0.862,1.2054
103,0.813,1.1131,0.8576,1.23
104,0.9552,1.1115,0.5905,1.2122
105,0.9612,0.9013,0.6923,1.2272
106,1.0316,1.105,0.9759,1.2047
107,1.0128,1.1093,0.9761,1.2088
108,1.0617,1.024,0.9697,1.1244
109,1.0239,0.7361,0.9699,1.0687
110,0.9898,0.8643,0.97,1.2505
111,0.9956,0.876,0.7762,0.8681
112,0.9233,0.8938,0.9346,1.2191
113,0.9385,0.942,1.0012,1.1368
114,0.8641,1.0397,0.9507,1.0409
115,0.5636,1.0323,0.7382,0.9876
116,0.6754,0.9677,0.8861,1.2278
117,0.496,0.8431,0.8292,1.2319
118,0.8224,0.6398,0.6225,1.227
119,0.5726,0.9728,0.7447,1.2017
120,0.6296,0.9812,0.7551,1.2232
121,1.0136,1.0712,0.9308,1.2505
122,0.9977,1.1844,0.968,1.2505
123,0.9969,0.8682,0.3742,1.2505
124,0.908,1.1919,0.532,1.2644
125,0.866,1.1927,0.8542,1.1182
126,0.9111,1.217,0.6666,1.1182
127,1.0042,1.2634,0.7375,0.5592
128,1.0053,0.608,0.9592,0.8237
129,0.8797,0.9714,0.942,1.2422
130,1.0146,0.3432,0.8624,1.19
131,1.003,0.8132,0.773,0.8318
132,1.0057,0.8257,0.8927,1.2423
133,1.008,0.9913,0.57,1.1329
134,1.001,0.9932,1.0016,0.5667
135,0.8448,0.9932,0.9456,0.5851
136,0.8503,0.6115,0.9252,1.1981
137,0.8572,0.675,0.6992,1.1608
138,0.8842,0.6152,0.994,1.0033
139,0.8983,0.9483,0.9894,1.0089
140,1.0448,1.1291,1.0816,1.1734
141,1.0792,1.1291,0.971,0.9636
142,1.0916,1.1291,0.8979,1.171
143,1.0908,1.1714,0.8996,1.0314
144,1.0917,1.1714,0.897,1.1894
145,1.0917,1.1603,0.8179,1.1477
146,1.0917,1.2651,0.8999,1.1918
147,0.8733,1.4346,0.8155,1.1453
148,0.9354,0.7173,0.5499,1.1319
149,1.1287,1.2371,0.6104,1.1376
150,0.9735,1.2371,0.6284,1.0693
151,1.0847,1.345,0.9115,1.1049
152,0.8002,0.4793,0.7895,1.0766
153,0.9611,0.3981,0.9696,1.1125
154,1.1038,1.0232,0.9389,0.9948
155,1.187,1.0232,0.8599,0.7124
156,1.153,0.5242,0.8915,0.6935
157,1.153,0.8315,0.798,1.0507
158,0.8647,1.0747,0.5449,1.0507
159,0.8794,1.0747,0.6358,0.7006
160,0.9909,1.0747,0.8686,1.151
161,0.9197,1.0747,0.8824,1.151
162,0.8545,1.0747,0.9151,1.3517
163,1.1257,0.8935,0.9374,0.6759
164,1.2007,0.939,0.7296,1.2412
165,1.2249,1.1306,0.79,1.0083
166,1.0208,1.0661,0.8594,0.4552
167,1.2491,0.9845,0.5788,0.9867
168,1.1848,1.1043,0.9279,1.0641
169,0.8426,1.1687,0.9408,1.1879
170,1.1879,1.1583,0.914,0.7374
171,1.1228,1.1391,0.9291,1.1707
172,1.1228,1.1158,0.9565,0.5854
173,1.1228,1.1824,0.7908,1.1371
174,1.1182,1.1615,0.9245,1.1371
